,press company,date,title,url,abstract,date detail,head article,main article
0,https://cointelegraph.com,"Jul 11, 2019",Bitcoin Price Slips 10% in 24 Hrs as Fed Raises Facebook Libra Concerns,https://cointelegraph.com/news/bitcoin-price-slips-10-in-24-hrs-as-fed-raises-facebook-libra-concerns,"Bitcoin fell in step with Fed Chairman Jerome Powell's bearish remarks on 
Facebook's digital currency. 13702 Total views. 192 Total shares.","Jul 11, 2019",Bitcoin price (BTC) shed more than 10% on July 11 as markets appeared to react to criticism of Facebook’s Libra from a senior United States lawmaker.,"Market visualization courtesy of Coin360Data from Coin360 sees the majority of cryptocurrencies firmly in the red Thursday, hours after Federal Reserve Chairman Jerome Powell said Facebook’s offering should not continue development.Libra, which aims to act firstly as a cross-border payment method, allegedly buoyed Bitcoin throughout recent weeks, with commentators arguing its public profile was driving publicity and uptake of Bitcoin itself. Powell’s demands, which follow similar words from representatives of the Senate House of Financial Services Committee, leant weight to that theory.“Libra raises serious concerns regarding privacy, money laundering, consumer protection, financial stability,” he said during a speech before a congressional committee. “These are concerns that should be thoroughly and publicly addressed.”“These are concerns that should be thoroughly and publicly addressed.”At press time, BTC/USD traded down 10.4% at $11,530, having risen as high as $13,160 in recent days. Bitcoin 7-day price chart. Source: Coin360The drop places the pair still within its recent corridor between around $9,700 and $13,800, with volatility still in evidence across crypto markets. Altcoins, meanwhile, delivered noticeably worse performance as Bitcoin price fell, with several assets in the top twenty by market cap shedding 15% or more.Ether (ETH), the largest altcoin, lost a similar amount to Bitcoin, hitting $272 and firmly losing support at $300 once again.Ether 7-day price chart. Source: Coin360Among the worst performers were Bitcoin SV (BSV), which lost 17.2%, and EOS (EOS), which was down 20.2%."
1,https://cointelegraph.com,"Jul 12, 2019",Trump Pump? Bitcoin Price Buoyant After US President Says He’s 'Not a Fan',https://cointelegraph.com/news/trump-pump-bitcoin-price-buoyant-after-us-president-says-hes-not-a-fan,"Trump's first-ever public comments on Bitcoin achieved precisely zero 
fallout on markets as BTC price climbed above $11,500. 14351 Total ...","Jul 12, 2019","Bitcoin (BTC) was starting to reverse upwards July 12 as a critical tweet from United States president, Donald Trump, became a hot talking point across cryptocurrency.","Market visualization courtesy of Coin360Data from Coin360 showed BTC/USD 0.9% up over the past 24 hours after a significant downturn earlier on Thursday. At press time, the pair traded around $11,600, having bounced off support at just above $11,000. Bitcoin 7-day price chart. Source: Coin360Volatility has lessened over the past nine hours, despite the first-ever public comments from Trump on crypto, which turned out to be highly negative. “I am not a fan of Bitcoin and other Cryptocurrencies, which are not money, and whose value is highly volatile and based on thin air,” he tweeted earlier.“Unregulated Crypto Assets can facilitate unlawful behavior, including drug trade and other illegal activity,” he added.Similarly dismissive of Facebook’s Libra digital currency protocol, Trump’s Bitcoin bashing nonetheless failed to leave any impression on markets, with BTC/USD showing no change in behavior after the tweets went live. “Boring market, no wonder everyone is talking Trump,” trader and investor Josh Rager summarized in a new market commentary.The phenomenon underscores Bitcoin’s newfound resilience to external criticism, which has only increased in 2019 as markets shake off the opinions of naysayers. Amongst investors, however, almost all the attention was on Trump, many in fact thanking him for drawing attention to the industry and proving it did not need his support.“Well done (Donald Trump) for bringing more awareness to (Bitcoin),” one popular response read, sharing data from Google Trends.Others tried to convince Trump to reevaluate, including Tron CEO, Justin Sun, who invited him to his existing charity dinner showdown with fellow Bitcoin bear Warren Buffett.Among altcoins, meanwhile, a more diversified picture was beginning to present. Ether (ETH) showed little change in its generally lackluster trend dropping another 1% over the past 24 hours to $270.Ether 7-day price chart. Source: Coin360Others, however, showed gains. Binance Coin (BNB), the in-house token of cryptocurrency exchange Binance, shot up 6.3% in the same period, while EOS (EOS) achieved 2.3% and Litecoin (LTC) 1.3%.At the same time, Bitcoin SV (BSV), the off-shoot of Bitcoin Cash (BCH), dropped despite the pressure on Bitcoin itself. Previously, the token had managed to capitalize on downward Bitcoin price movements, a trait which recently evaporated."
2,https://cointelegraph.com,"Jul 15, 2019","Trump Banning Bitcoin Is Feasible But Highly Unlikely, Says Economist",https://cointelegraph.com/news/trump-banning-bitcoin-is-feasible-but-highly-unlikely-says-economist,"Even if he crushed exchanges, making Bitcoin illegal would likely see 
rejection by lawmakers. 16021 Total views. 364 ...","Jul 15, 2019","United States president Donald Trump would cause a Bitcoin (BTC) price crash if he banned it, but the law would likely prevent him, economist and trader Alex Krueger concluded on Twitter July 15.","Trump, who announced his distaste for cryptocurrency in general last week, initially failed to impact market sentiment. A subsequent breakdown over the weekend sent Bitcoin below $10,000.Publishing a dedicated thread on the chances of Trump banning the cryptocurrency, Krueger argued he could theoretically have some success.By targeting entry and exit points for retail and institutional investors, the president would turn Bitcoin into an isolated, more illiquid asset as it is used by lay consumers. “Trump could also go after fiat onramps, by simply forbidding banks to service crypto exchanges, or by requiring banks to not service exchanges unless conditions XYZ are fulfilled (and make that practically impossible),” Krueger summarized.In reality, however, Trump would need to convince Congress of the need to ban Bitcoin, and lawmakers could overturn his demands, even if they occurred via an executive order or similar emergency measures.A ban is thus feasible but the probability of it becoming law is extremely low, Krueger concluded. His comments came several days after mainstream media suggested Trump had inadvertently made Bitcoin a campaign issue for the upcoming 2020 presidential elections. As Forbes noted, competing hopefuls, notably Andrew Yang, have long held an opposing view — that Bitcoin is in fact something to be embraced at national policy level."
3,https://cointelegraph.com,"Jul 15, 2019",John McAfee Doubles Down on $1M 2020 Price Prediction for Bitcoin,https://cointelegraph.com/news/john-mcafee-doubles-down-on-1m-2020-price-prediction-for-bitcoin,"“Bitcoin is at the mid 10's and people worry. LMFAO!! Why do you pay 
attention to weekly fluctuations? Look at the past few months FFS! It's 
rising ...","Jul 15, 2019",American entrepreneur and vocal crypto advocate John McAfee has doubled down on his $1 million by 2020 prediction for Bitcoin (BTC).,"Taking stock of community sentiment in light of Bitcoin’s recent price fluctuations, McAfee wrote on July 15 that he was “laughing his f------ ass off” at the seemingly overblown negativity:“Bitcoin is at the mid 10's and people worry. LMFAO!! Why do you pay attention to weekly fluctuations? Look at the past few months FFS! It's rising drastically. I'm still positive about my $1 mil BTC price by the end of 2020. Alt coins like MTC and Apollo will rise ten times more.”As of press time, Bitcoin has indeed lost a round 9% on the week — almost 4% on the day — according to Cointelegraph’s Bitcoin Price Index, and is trading just north of $10,300. Yet on the month, the coin’s chart shows a 23% gain — and caps a 100% gain over the three-month period to press time.Bitcoin 3-month price chart. Source: Cointelegraph Bitcoin Price IndexThis summer, a Wall Street Journal report had revealed that the dizzying returns from Grayscale Investments’ Bitcoin Trust — which is up almost 300% on the year — had secured its spot as the best-performing fund in the market. In a recent interview with Cointelegraph, McAfee predicted that 10 years from now, “there'll be no fiat anywhere in the world [...] everything will be cryptocurrency.” A passionate, anti-government crusader whose charisma has secured him a presumably welcome degree of notoriety, McAfee is currently in exile in Cuba., due to alleged U.S. income tax evasion charges — and is running his second campaign for the American presidency.Fellow Bitcoin bull Anthony Pompliano — co-founder of Morgan Creek Digital Assets — recently predicted the coin would hit $100,000 by the end of 2021.In contrast to McAfee’s bullish view of alts like doc.com Token (MTC) and Apollo (APL), American broadcaster Max Keiser has predicted that the altcoin phenomenon is over and all value will flow into bitcoin in the latest crypto bull market.The stakes of McAfee’s forecast could not be higher: two years ago, he originally pledged to eat his dick on national television if Bitcoin didn’t hit $500,000 by 2020. Follow the countdown here."
4,https://cointelegraph.com,"Jul 15, 2019",Bitcoin Price Clings to $10K Support After a Volatile Weekend,https://cointelegraph.com/news/bitcoin-price-clings-to-10k-support-after-a-volatile-weekend,"BTC price fell to just $9,912 as traders warned a close below $10,580 could 
spell the start of a longer bearish downturn. 8323 Total views.","Jul 15, 2019","Bitcoin price (BTC) traded above $10,000 July 15 after a weekend of heavy losses spelled disaster for cryptocurrencies across the board.","Market visualization courtesy of Coin360Data from Coin360 showed BTC/USD holding onto support above the key barrier Monday, having temporarily dropped as low as $9,912. The 9.7% daily losses compounded a worrying weekly trend which saw the pair fall rapidly from above $13,000.Bitcoin 7-day price chart. Source: Coin360Driving the bearish sentiment, analysts broadly claimed, was a mixture of criticism by United States president Donald Trump and overall market fatigue. For many, BTC/USD had long been due a pullback after weeks of successive gains, which culminated in highs of $13,800. “It’s healthy to see (Bitcoin) pullback here,” Tom Lee, head of research at Fundstrat Global Advisors, tweeted Sunday. Lee, a serial Bitcoin bull, had claimed last week that new all-time price highs were “imminent,” something which Trump’s comments appeared to subject to delays. A side-effect of Trump had been increased Google search activity around Bitcoin, something Lee says could in fact be counterproductive and not a helping hand for price growth.“As for the search traffic for bitcoin being low, I also think that is a good sign. It means the rise in bitcoin has not been accompanied by massive hype,” he added.In the short term, however, others were warning about impending moves lower. The trader known on social media as Filb Filb said that a close on Sunday below $10,580 would result in a continuation of the downtrend, a prophecy which meanwhile came true.“The price action has obviously been very bearish having lost the key low I’ve been watching at 10900. Also we are right up against the megaphone trend line. A close below 10580 would mark a new daily low and therefore I’m expecting new lows if/when that occurs,” he told followers of his dedicated Telegram trading channel. Nonetheless, it was altcoin traders who suffered the real pain this weekend. A glance at the top twenty cryptocurrencies by market cap painted another dismal picture at press time, with several coins shedding around 17% in 24 hours. Ether (ETH) fell 17.3%, taking ETH/USD to just $220 compared to highs of $350 just weeks previously. Ether 7-day price chart. Source: Coin360Bitcoin Cash (BCH) lost an identical amount, while its hard fork, Bitcoin SV (BSV), fared even worse, losing 21.5% to hit $118.50.Elsewhere, Tron (TRX), Neo (NEO) and Monero (XMR) all dropped by around 16%."
5,https://cointelegraph.com,"Jul 12, 2019","Trump Tweeting About Bitcoin Is ‘Achievement Unlocked,’ Says Coinbase CEO",https://cointelegraph.com/news/bitcoin-industry-celebrates-achievement-unlocked-as-trump-pumps-market,"The United States president unwittingly triggered a slight recovery for the 
crypto market with his first ever comments about Bitcoin. 51395 Total ...","Jul 12, 2019","Donald Trump saying he is not a fan of Bitcoin (BTC) and cryptocurrency is “yuge” for the industry, commentators were suggesting after new tweets on July 12.","In the hours after the United States’ president delivered his lackluster appraisal of crypto, the Bitcoin price stayed stable, only to then begin growing to hit 1% gains Friday. Negative or not, for proponents, the event marked a psychological milestone for Bitcoin, as Trump had previously held off from mentioning it in public. The fact that he felt the need to bash Bitcoin publicly feeds the narrative that it is both independent of global powers and unable to be crushed by them, Coinbase CEO Brian Armstrong stated, leading the responses.“Achievement unlocked! I dreamt about a sitting U.S. president needing to respond to growing cryptocurrency usage years ago. ‘First they ignore you, then they laugh at you, then they fight you, then you win.’ We just made it to step 3 y'all,” he tweeted.Armstrong exemplified the buoyant mood among Bitcoiners. Others likewise thanked Trump for the free publicity, noting a surge in interest documented by Google Trends, while the president being wrong in his opinion also became a talking point on social media. “Congratulations BTC community — the president of the United States feels we are worthy of a tweet now,” cryptocurrency entrepreneur, Simon Dixon, added. “Bitcoin has outperformed USD by 23,440,508% since it started being priced in USD.” Max Keiser, the RT host and regular Bitcoin bull, considered Trump to have nullified his chances of reelection in 2020, while eToro senior analyst, Mati Greenspan, described his words as an “early nomination for the most bullish tweet of the year.” Despite the conversely more stable price performance since the tweets, the possibility of a ‘Trump pump’ occurring for Bitcoin was also gaining traction among analysts.“Trump is bullish for Bitcoin generally because his media tactics wobble geo-political uncertainty. Thanks for all the dollars flowing into Bitcoin,” cryptographer and Hashcash inventor, Adam Back, added.In the meantime, another, lesser-known cryptocurrency took the opportunity to capitalize on the buzz. TrumpCoin (TRUMP), an altcoin all but unknown since it appeared in March 2016, was up 28% Friday."
6,https://cointelegraph.com,"Jul 12, 2019",Bitcoin Mining Industry Is Booming as Difficulty Soars 14% to New High,https://cointelegraph.com/news/bitcoin-mining-industry-is-booming-as-difficulty-soars-14-to-new-high,"Mining difficulty on the Bitcoin network has taken its steepest upturn in 
almost a year, surging by over 14% to hit 9.06 trillion. 7558 Total views.","Jul 12, 2019","Mining difficulty on the Bitcoin (BTC) network has taken its steepest upturn in almost a year, data from major Chinese mining pool BTC.com reveals.","On July 9, difficulty surged by over 14% to hit 9.06 trillion (9.06 T), at an average hash rate of 64.85 EH/s — a new all-time-high in the network’s history.The last time the network posted such a sharp increase in block producing difficulty was back in late July 2018, when it soared almost 15% over a 2,016 block interval. At that time, however, average hash rate was at 42.59 EH/s and absolute difficulty was at a significantly lower 5.95 T.As previously reported, Bitcoin’s hashing difficulty algorithm is designed to adjust every 2,016 blocks — roughly two weeks — to maintain a consistent ~10-minute block verification time. Typically, when the network sees a low level of participating mining power, difficulty will tumble — while in periods of intense network participation, it rises, working as a counterbalancing mechanism.Amid the bull market, BTC.com’s data indicates that the next difficulty increase will see this uptrend intensifying even further — within 11 days, mining difficulty is expected to surge a further 10% to hit 9.9 T.Block producing time for the recent 2,016 block period was at just 8 minutes 46 seconds — over 10% short of the desired 10 minutes.All time Bitcoin network mining difficulty. Source: BTC.comHistorical data from BTC.com reveals that in the coin’s earlier years, the network saw hikes of over 20% within a given 2,016 block interval — as in early July 2016. Back then, it is worth noting that absolute difficulty was at just 144.12 G, with an average hash rate of 1.03 EH/s.Go back still further to fall 2010, and the budding network was subject to hikes of almost 56% — but with an absolute difficulty of 2,149 - 2.15 K and a 15.37 GH/s average hash rate.During crypto winter, Cointelegraph reported that the Bitcoin network had reported its second-largest difficulty drop in history, with a -15% adjustment in early December 2018.In June of this year — as Bitcoin’s 2019 bull run gathered pace — mining difficulty hit a then all-time-high of 7.86 T, as reported at the time.To press time, Bitcoin is trading at almost $11,700 — up 2% on the day, according to Cointelegraph’s Bitcoin Price Index."
7,https://cointelegraph.com,"Jul 12, 2019",Fed Chairman: ‘No One Uses It’ — Bitcoin a Speculative Asset Like Gold,https://cointelegraph.com/news/fed-chairman-no-one-uses-it-bitcoin-a-speculative-asset-like-gold,"Fed Chairman: 'No One Uses It' — Bitcoin a Speculative Asset Like Gold. Fed 
Chairman Powell has said that a globally prevalent cryptocurrency ...","Jul 12, 2019",The Chairman of the United States Federal Reserve has said that a globally adopted cryptocurrency system could conceivably remove the need for reserve currencies. ,"Testifying before the Senate Banking Committee on July 11, Fed Chairman Jerome Powell gave his analysis of whether a cryptocurrency system with global prevalence could diminish — or even go so far as to remove the need for — so-called anchor currencies. With the U.S. dollar de facto the world’s dominant reserve currency, Powell acknowledged the possibility of a preeminent cryptocurrency redrawing the current financial landscape — yet noted that as of yet, this has stopped short of becoming a reality. The Fed chairman said: “I think things like that [the obsolescence of today’s reserve currencies] are possible but we really […] haven’t seen widespread adoption. Bitcoin is a good example, almost no one uses it for payments [...] it’s a speculative store of value like gold.”Powell’s comparison is noteworthy given the Federal Reserve Bank of New York’s role as a custodian for the gold held by entities such as the U.S. and foreign governments, other central banks, and official international organizations. Powell acknowledged that the prospect of cryptocurrencies coming to replace reserve currencies has been implied since their inception and that its realization could see the global financial system — and specifically the Federal Reserve System — profoundly transformed. He noted: “People have been talking about this since cryptocurrencies emerged, but we haven’t seen it. That’s not to say we won’t — and if we do, then yes, you could see a return to an era in the United States where we had many different currencies, in the so-called national banking era.”As reported, Powell had testified before the House Financial Services Committee earlier this week and acknowledged that the impact of Facebook’s forthcoming stablecoin Libra could be of a “potentially systemic scale” for the global financial and regulatory landscape.In China, central banking veterans have characterized the widespread anticipation of Libra as being “inseparable from the global dollarization trend,” and stressed that Beijing should respond with precautions and rigorous policy research to seek to maintain a strong monetary status."
8,https://cointelegraph.com,"Jul 15, 2019",Spam Attack? Bitcoin Average Block Size Suddenly Spikes to Over 3MB,https://cointelegraph.com/news/spam-attack-bitcoin-average-block-size-suddenly-spikes-to-over-3mb,"Blockchain validation platform VeriBlock produced almost 25% of on-chain 
Bitcoin (BTC) transactions in 24 hours on July 14, the company ...","Jul 15, 2019","Blockchain validation platform VeriBlock produced almost 25% of on-chain Bitcoin (BTC) transactions in 24 hours on July 14, the company confirmed on social media.","VeriBlock, which uses its own “Proof-of-Proof” protocol to validate blockchains using Bitcoin’s computing power, launched its mainnet implementation in March.The service allows miners to compete for block rewards on altcoin blockchains, while tapping into Bitcoin’s superior levels of security due to the computing power sustaining its Proof-of-Work algorithm. The roughly one-quarter figure signalled by VeriBlock this weekend equates to around 68,000 transactions. Veriblock had previously generated higher proportions of Bitcoin traffic. According to statistics from monitoring resource and wallet provider Blockchain, however, the more recent figures appeared to coincide with a sharp spike in the average block size on the Bitcoin blockchain.For July 13 and 14, the average block size suddenly jumped from around 1 megabyte to over 3 megabytes — by far the highest average in Bitcoin’s history. While the data is not repeated across other monitoring resources, VeriBlock will likely fuel existing speculation its activities overload the Bitcoin network with transactions, which are not genuine. The company has refuted that idea, its website still hosting comments from educator Andreas Antonopoulos from January, when he discussed VeriBlock and the issue of “spam” transactions. Despite the block size increasing, however, Bitcoin’s fee market appeared little changed in recent days. Getting a transaction processed within six blocks cost 7 satoshis per byte on July 13, and 8 per byte the following day, data from Bitcoinfees.info reports.During Bitcoin’s three-month bull market beginning April 1, the network conversely saw periods of heightened fees, these coinciding with upticks in BTC/USD as it moved from around $4,000 towards highs of $13,800."
9,https://cointelegraph.com,"Jul 10, 2019","Bitcoin Reclaims $13,000 as NY Fed Says Recession Risk Highest Since 2008",https://cointelegraph.com/news/bitcoin-reclaims-13-000-as-ny-fed-says-recession-risk-highest-since-2008,"Data from the New York Fed shows the U.S. is poised for financial turmoil, 
while bitcoin has 'clear skies' to an all-time high monthly close.","Jul 10, 2019","Bitcoin (BTC) hit $13,000 again on July 10 as the 2019 bull market delivered fresh reasons to celebrate for traders and HODLers. ","Market visualization courtesy of Coin360Data from Coin360 showed BTC/USD hitting $13,130 in early trading Wednesday, the pair reclaiming almost $1,000 in 24 hours. The past days have surprised markets, with analysts previously warning a major correction should set in after bitcoin closed below $11,450. Bitcoin 7-day price chart. Source: Coin360Now, sentiment is trending to the upside, with regular commentator Josh Rager eyeing July’s monthly close as a significant yardstick for price.“The monthly close is still a few weeks away but you can't deny the bullishness if Bitcoin can close above the previous ATH close at $13,863,” he wrote on Twitter as $13,000 returned. “On high-time frames it will be clear skies with no price history resistance overhead, only support[.] Countdown to July 31st.”At press time, BTC had slipped slightly lower to hover around $12,950. Weekly gains are now at 12.9%, while over the past month, investors have seen 68% growth. The new price highs coincided with data showing the risk to the U.S. of entering a recession was now the most severe since the 2008 financial crisis. The alarming findings came courtesy of Bloomberg journalist Tracy Alloway, who uploaded data from the New York Fed’s Recession Indicator.Bitcoin meanwhile further regained a record share of the cryptocurrency market cap at 65.1% - a figure not seen since April 2017.Altcoins were thus predictably in the red Wednesday, almost all suffering losses as attention continued to focus on bitcoin. Ethereum (ETH) shed 2.3% to trade at $309, while others lost similar amounts. The exception was exchange Bitfinex’s unus sed leo (LEO) token, which conversely gained several percentage points. Tezos (XTZ) also performed better than most. Ether 7-day price chart. Source: Coin360"
