,press company,date,title,url,abstract,date detail,head article,main article,,,,,,,
0,https://cointelegraph.com,23-Sep-19,"Major Coins Trading Sideways, Bitcoin Deepens Under $10,000",https://cointelegraph.com/news/major-coins-trading-sideways-bitcoin-deepens-under-10-000,"Major cryptocurrency markets are reporting mixed signals, with Bitcoin 
being bearish following the launch of Bakkt's physically delivered 
futures ...",23-Sep-19,"Monday, Sept. 23 ??Major cryptocurrency markets are reporting mixed signals, with Bitcoin (BTC) being slightly bearish following the launch of Bakkt?檚 physically delivered Bitcoin futures.","Market visualization. Source: Coin360The leading digital currency Bitcoin is down 1.55% on the day to trade at about聽$9,813 at publishing聽time. During the day, BTC has been trading in a narrow corridor between $9,788 and $10,097 ??the lowest and highest price points of the coin over the day.As Cointelegraph reported in a dedicated analysis earlier on Monday, if Bakkt momentum picks up, Bitcoin prices could see resistance about $10,630 on the day. On the other hand, support on the weekly Bollinger Bands sits about $7,700. If this level is broken, the price needs to hold $7,150 before the monthly moving average is breached.Bitcoin 24-hour price chart. Source: Coin360Ether (ETH), the second-biggest cryptocurrency by market capitalization, is slightly down by 0.2% over the day, trading at $207.07 at publishing time. The major altcoin saw its highest price point over the week on Sept. 19, reaching $223.70, with a weekly low of $191 on Sept. 16.Ether seven-day price chart. Source: Coin360Conversely, XRP is in the green today, having gained 2.68% to trade at around $0.280 at publishing time. The third-largest coin traded at about $0.258 on Sept. 16, which was XRP?檚 lowest price point on its weekly chart, while the high was $0.323 on Sept. 18.XRP seven-day price chart. Source: Coin360On the top 20 cryptocurrencies list, Chainlink (LINK), Tezos (XTZ) and IOTA (MIOTA) are major gainers, up 3%, 4.22% and 4% respectively. Major losers are Stellar (XLM) and Monero (XMR), which are down by more than 3%, while Algorand (ALGO) has lost 5.93% on the day.Also on Monday, Binance officially announced the listing of XTZ, launching three new trading pairs featuring BTC, top stablecoin Tether (USDT) and Binance?檚 native token Binance Coin (BNB).The total market capitalization of all cryptocurrencies is at $265 billion at publishing聽time, up from a weekly low of $259 billion earlier on Monday.Total market capitalization of all cryptocurrencies: Seven-day chart. Source: Coin360",,,,,,,
1,https://cointelegraph.com,25-Sep-19,Bitcoin Price: Multiple Timeframes Show Macro Bullish Trend Intact,https://cointelegraph.com/news/bitcoin-price-multiple-timeframes-show-macro-bullish-trend-intact,"Bitcoin price has lost about 16% in the past few days but the overall macro 
trend remains bullish on multiple timeframes, technical analysis ...",25-Sep-19,"Bitcoin price made a strong downside move yesterday, dropping nearly 16% from the daily open at $9,691 to a new local low at $8,164. In doing so, price broke strong support at $9,090 and exited the range that it has been trading in since June. Bitcoin?檚 price action remains bearish below this range.","BTC/USD Daily Chart. Source: TradingViewThere were three patterns widely identified by traders on the Bitcoin chart ??the descending triangle, descending channel and bull pennant. Bitcoin bears pointed to the ?渄escending triangle??on the chart for the reason behind the drop. This pattern was technically unconfirmed on candle charts.聽BTC/USD Daily Chart. Source: TradingViewHowever, the line chart, which only accounts for candle closes, showed a confirmed descending triangle (2 opposing touches up and down) with a much higher horizontal base than was being drawn on candle charts ??$9,481 rather than $9,090. Savvy traders were able to catch the break down $300 ahead of most by utilizing the line chart.聽BTC/USD Daily Chart. Source: TradingViewBitcoin bulls viewed this corrective move as a return to the EQ (dashed center line) of the descending channel that confirmed weeks ago on the chart. Price remained above this center line for over a month. Bulls will want to see this area recaptured to indicate likely price appreciation.BTC/USD Daily Chart. Source: TradingViewTraders that viewed BTC price action as a pennant or triangle were proven wrong, as price made a strong move below support.BTC/USD Daily Chart. Source: TradingViewBitcoin price entered a parabolic uptrend from the bottom at $3,128.89 to the local top at $13,868, where the digital asset then commenced a corrective move. Currently, Bitcoin price is hovering around the 50% retracement聽 ??not technically a Fibonacci level, but an area that legacy traders have watched for decades and frequently refer to as the ?淒ow level.?澛燘itcoin price consolidated at both the 23.6% and 38.2% Fib retracement levels before moving into a larger correction. The price remains more ?渃orrective??than ?渂earish??on longer multiple time frames, as a 50% move is expected in a strong bull market.聽In fact, the ?済olden pocket??retrace would be closer to the $7,200 level, and would still be considered bullish.聽Institutional traders view the Optimal Trade Entry (OTE) as a 70.5% retracement, which would be $6,296. The macro landscape remains bullish, and within the realm of a ?渉ealthy correction.?滲TC/USD Weekly Chart. Source: TradingViewThe daily Relative Strength Index (RSI) is currently sitting at 23, strongly oversold and the lowest that it has been in 2019. For comparison, at the $3,128 low, the RSI was roughly 27.聽It dropped to 10, weeks before the eventual low in price and levels this low suggests the likelihood of a bounce in Bitcoin price, at least for temporary relief.聽Lower time frames are even further oversold, with the popular 4 hour RSI hitting an astounding low of 10.5 RSI. Traders who heavily utilize RSI expect that the oscillator will move from overbought to oversold and vice versa on every time frame.Traders should note that the RSI was dramatically overbought at the June high, with a bearish divergence on RSI. Therefore, the expectation was to see Bitcoin price continue down to coincide with the oversold RSI, which has now occurred.聽Divergence traders will look for an eventual bullish divergence in oversold territory to signal the likely bottom, as it did at the $3,128 low. This would require price making a lower low in a few days, with RSI continuing to push up, making a higher low.聽BTC/USD Daily Chart. Source: TradingViewThe weekly RSI also crossed below 50, a strong bearish signal. That said, there are still 4 days remaining until the weekly close, so this remains unconfirmed for now.聽The popular TD Sequential indicator is flashing a strong buy signal on the daily chart, although those who use this tool understand that price can often continue down to 13 candles before reversing (if it does).聽BTC/USD Daily Chart. Source: TradingViewBelow is more than a year's worth of TD Sequential 9s on the daily chart. Blue checks indicate those that played out correctly. Red checks indicate a failure.聽Note that the results have been a mixed bag on sell signals, with 4 blue checks and 3 red. This indicator has been far more reliable on the buy side, with 3 blue and only 1 red ??in November 2018.BTC/USD Daily Chart. Source: TradingViewBitcoin bull markets are marked by drops of roughly 40% and the current drop from the 2019 high is 41.17% and at the top of the anticipated range. This process has taken longer than previous corrections in a bull market.聽BTC/USD Daily Chart. Source: TradingViewThe daily chart shows a bearish bias amongst the key Exponential Moving Averages (EMA) (21 in purple, 50 in blue, 200 in red). BTC/USD Daily Chart. Source: TradingViewMost importantly, Bitcoin price broke below the 200 EMA for the first time since the massive bullish candle that started at $4,200 and signaled the end of the bear market (the first higher high in price since the all-time high).聽The 200-EMA was sitting at roughly $4,600 at that time (blue arrow). Any price action below this line remains bearish.聽BTC/USD Daily Chart. Source: TradingViewThe weekly EMAs show that Bitcoin price has broken below the 21 for the first time since April, which was at roughly $5,300. Currently, Bitcoin is above the 50 EMA and many traders point to it as a likely place for the corrective action to end.聽The 50-EMA currently sits near $7,800 and is rising. A touch of the 20-EMA signaled the dead bottom of the last bear market, and currently sits at roughly $4,550. Strongly bearish traders view this as a likely place for the bottom of this corrective move.聽BTC/USD Daily Chart. Source: TradingViewNature abhors a vacuum and for crypto this is the CME gap.Traders have been watching the massive gap on the CME futures chart since it was formed in June, asserting that gaps must be filled. While this is not always the case, a strong argument was made for price returning to this area.聽Yesterday?檚 candle definitively filled the CME gap, closing below the bottom. Interestingly, there is also a gap well above the current price, at roughly $11,700. Those who were sure that the lower gap required filling should be eyeing that upper area for an eventual move.聽BTC/USD Daily Chart. Source: TradingViewYesterday?檚 price movement, while significant, should not have caught traders off guard. The larger picture shows consistent price action with previous corrections.聽Further price depreciation will have traders looking to EMAs, Fib levels and key supports for a bottom, as well as eventual potential bullish divergence with RSI on the daily chart.聽Bears will look for continued price movement down, or previous supports remaining as resistance.聽The views and opinions expressed here are solely those of the author (@scottmelker) and do not necessarily reflect the views of Cointelegraph. Every investment and trading move involves risk. You should conduct your own research when making a decision.",,,,,,,
2,https://cointelegraph.com,23-Sep-19,"Fake Bitcoin Investment Platform From ?楨lon Musk??Promises 4,000% ROI",https://cointelegraph.com/news/fake-bitcoin-investment-platform-from-elon-musk-promises-4-000-roi,"Kate Winslet is among the victims of scammers using celebrities to 
advertise the nonexistent Bitcoin platform and steal money. 7421 Total 
views.",23-Sep-19,Scammers are using fake mainstream news articles to advertise a nonexistent and potentially dangerous Bitcoin investment platform.聽,"According to the dedicated website used to lure would-be clients, the so-called ?淏itcoin Profit??uses celebrity endorsements as part of its marketing strategy.聽The site, economicsworld[dot]info, includes testimony from the likes of actress Kate Winslet and Australian businessman Andrew Forrest, also known as Twiggy.聽With alleged backing from Richard Branson, Elon Musk and Bill Gates, Bitcoin Profit is one of the more brazen scams to emerge from the cryptocurrency underworld.聽Each celebrity has a feature with their photograph, along with a balance sheet of alleged investments in Bitcoin and associated returns.聽The balance sheet appears identical for each star, with only the currency symbol changing. In one week alone, perpetrators claim, buying $10,394 worth of BTC netted a return of $421,226 ??or 4,110%.Winslet, whom United Kingdom-based daily news outlet the Mirror informed about the scam, subsequently hit back, complaining about the use of her image without permission along with the false statements.?淭his misleading promotion is completely disingenuous and categorically false. We are dealing with this through the appropriate channels,??the publication quoted a spokesperson as saying.聽Bitcoin Profit is reminiscent of the ongoing scam operations which plague cryptocurrency accounts on Twitter. Fake entities impersonating well-known figures from the industry are attempting to fool novices into participating in fake giveaways.Scammers continue to exploit the lack of technical understanding around cryptocurrency, with regulators frequently warning about the emergence of new schemes.",,,,,,,
3,https://cointelegraph.com,24-Sep-19,Bitcoin Network Hash Rate Mysteriously Flash Crashes by 40%,https://cointelegraph.com/news/bitcoin-network-hash-rate-mysteriously-flash-crashes-by-40,"Bitcoin's network hash rate plummeted by 40% yesterday, Sept. 23, but has 
pared most of the losses since. 35272 Total views. 375 Total shares.",24-Sep-19,"Bitcoin?檚 (BTC) network hash rate dipped a record 40% yesterday, Sept. 23, in a sudden shock for the network.","Bitcoin network hash rate, Nov. 2018-present. Source:聽Coin.danceData from Coin.dance ??corroborated by other聽sources聽??indicates that the network?檚 hash rate plummeted yesterday from over 98,000,000 TH/S to 57,700,000 TH/s.The flash drop remains unexplained as of press time and is all the more striking given the Bitcoin network?檚 record-breaking string of new all-time high hash rates throughout summer.Just five days ago, Cointelegraph had reported that Bitcoin?檚 hash rate had passed a record 102 quintillion hashes in a historic milestone.As previously noted, the hash rate of a cryptocurrency ??sometimes referred to as hashing or computing power ??is a parameter that gives the measure of the number of calculations that a given network can perform each second.聽A higher hash rate means greater competition among miners to validate new blocks; it also increases the number of resources needed for performing a 51% attack, making the network more secure.By press time, Bitcoin?檚 hash rate has somewhat recovered back to almost 88,300,000 TH/s ??yet remains well below its earlier records.Throughout summer, cryptocurrency analysts had argued that the network?檚 record-breaking streak of all-time hash rate highs was a bullish indicator for the top coin?檚 price performance.聽In a tweet posted this August, Bitcoin investor Max Keiser had claimed that:?淧rice follows hashrate and hashrate chart continues its 9 yr bull market.?滲ack in November 2017, Bitcoin had seen a sudden hash rate downturn of almost 50%, accompanied by slowed transaction processing times, a price dip, and even miners??short-lived switch over to the forked network, Bitcoin Cash (BCH).",,,,,,,
4,https://cointelegraph.com,24-Sep-19,Day Trading Bitcoin: Why 95% of Traders Lose Money and Fail,https://cointelegraph.com/news/day-trading-bitcoin-why-95-of-traders-lose-money-and-fail,"It is estimated that 95% of traders lose money ??and yes, Bitcoin is 
certainly not immune to the same market forces and human emotion.",24-Sep-19,"Almost all traders are aware of the widely publicized statistic that ??5% of traders lose money.??When you drill deeper, research implies that this number is likely higher. The profession chews up and spits out aspiring traders at an astounding rate.聽","So why are so many intelligent people drawn to a profession with incredibly high odds of failure?There are the obvious reasons ??the appeal of working for yourself, sitting in your underwear on your couch all day making millions. There?檚 the (false) promise of ?渆asy money??and the draw of independent wealth.聽The truth is, day trading is extremely difficult, emotionally taxing and far more likely to destroy your life than enrich it.聽Let?檚 start with a few key statistics, from online educational resource Tradeciety:The last point suggests that day traders even continue to trade when they receive a negative signal regarding their ability.聽Astounding. Almost everyone loses, they lose fast, they underperform simple, mindless investments, and they continue trading even after being proven unprofitable. Why?The truth is, most would-be traders are woefully underprepared for the challenge ahead and learn many hard lessons with their real money. They underestimate the psychological challenges of trading and fail to eliminate emotion from their trades.聽They fail to trade with a defined system. When they have a defined system, they often take trades outside of their own, established rules. These are all obvious reasons.聽Perhaps a less notable reason that traders fail is the principle of ?渞andom reinforcement.??This concept also explains why they often continue trading, even after failing repeatedly. As defined by Investopedia, ?淩andom Reinforcement??is:Using arbitrary events to qualify (or disqualify) a hypothesis or idea; attributing skill or lack of skill to an outcome that is unsystematic in nature; finding support for positive or negative behaviors from outcomes that are inconsistent in nature?攍ike the financial markets.The market has a tendency to reward bad habits, while concurrently punishing positive behaviors, especially with a small sample set. Let?檚 take a theoretical example to display this principal.Bob wants to leave his job and become a crypto trader. He sets aside some starting capital, follows the markets and the ?渂ig names??on twitter. He sees them talking about an altcoin, opens the chart and sees that price is rising fast. He buys, goes to take a shower, returns and sells for a quick profit. He does this again before lunch and strings together a few successful trades. Bob starts to feel confident that he is a talented trader.聽So what is the problem? Bob is trading without a system or a plan and is being fooled into believing that a successful outcome on a few random trades is indicative of likely success moving forward. The market has rewarded his bad behavior. We know how this story ends ??Bob continues to make impulsive trades and eventually loses his capital.聽There is a flip side to this coin. Let?檚 say that Bob learns his lesson and spends months developing a trading plan, complete with risk management, proper portfolio allocations and trading rules.聽He identifies a trading opportunity that fits, takes the perfect entry and??stops out of his trade. He tries again. And again. He loses 7 times in a row. The market is punishing Bob for his good behavior. Bob starts to doubt his system and takes a high-risk trade that violates his system ??and is successful. To his surprise, he tries this a second time and also makes money. Bob is now back to square one, trading without a system because the market has rewarded his bad behavior.Through random reinforcement, the market has re-conditioned the way Bob approaches trading by distracting him away from his trading plan. He has allowed himself to be manipulated into an impulsive, high risk, revenge based trading approach.聽The concept of random reinforcement was never more evident than in the crypto bubble of 2017. During this parabolic bull market, it was easy to mistake luck for skill.聽Amateur traders were making money hand over foot by simply throwing cash into random altcoins and selling after massive, immediate gains. Everyone was a ?済enius??in the 2017 crypto market. Then 2018 happened ??the bubble popped, and these amateur traders were ill-prepared to deal with the drawdown. They failed to sell their assets and held blindly until they had lost everything.Understanding that markets are dynamic and in constant flux is key to being profitable. A trader must learn to be able to determine when a certain string of losses or profits can be attributed to their skill and when it is random. This is done by trading with a defined plan over a long period of time.聽Every trader should have a well developed and tested (through paper trading) plan, with written rules for entries, exits and stop losses, position sizing and risk. They should NEVER trade outside their plan.聽No more than 1% of a trader?檚 portfolio should be at risk on any single trade ??this is the key to sustaining multiple, consecutive losses. They should test and tweak their plan over a long period of time ??hundreds of trades. A good system gives a trader an edge over a long time frame because randomness becomes less of a factor with a larger sample.A good trade should be defined as one where a trader planned their trade, traded their plan and managed their risk ??those are all elements they can control. It is NOT defined by the outcome.聽A bad trade, on the other hand, is where a trader fails to follow their rules and executes trades against their better judgment. This is always going to be a bad trade even if it happens to be profitable.聽By developing a well-tested plan, traders can overcome the pitfalls of random reinforcement, eliminate emotion and impulse, and learn to be profitable. That?檚 how you become a part of the 5% that make it as traders.The views and opinions expressed here are solely those of the author (@scottmelker) and do not necessarily reflect the views of Cointelegraph. Every investment and trading move involves risk. You should conduct your own research when making a decision",,,,,,,
5,https://cointelegraph.com,24-Sep-19,"France: 25,000 Major Retail Stores to Accept Bitcoin in 2020",https://cointelegraph.com/news/france-25-000-major-retail-stores-to-accept-bitcoin-in-2020,"By early 2020, support for Bitcoin payments will launch at over 25,000 
sales points for 30 French retailers, including sportswear giant 
Decathlon ...",24-Sep-19,"By early 2020, support for Bitcoin payments will be launched at over 25,000 sales points for 30 French retailers, including sportswear giant Decathlon and cosmetics store Sephora.","French crypto news outlet Cryptoglobe reported聽the development, announced during Paris Retail Week, on Sept. 24.The new cryptocurrency payments system is launching via a partnership between point-of-sale technology provider Global POS, the EasyWallet application and payments platform Easy2Play.While payments will be made in Bitcoin (BTC), funds will be automatically converted into euros at the moment of sale.聽Conversion services are to be provided by two partners, Deskoin and Savitar, both of whom are currently applying for Digital Asset Service Provider accreditations under France?檚 PACTE Act.Alongside Decathlon and Sephora, well-known retailers signing on to the initiative include Boulanger, World House, Intersport, Cultura, Maisons du Monde and Norauto.St茅phane Djiane, CEO and founder of Global POS, has given a statement proposing that:""This is an important symbolic step in the evolution of payment methods in France. However, more than a symbol, what we bring to 25,000 outlets is the ability to safely enter the world of Economy 3.0.?滲y enabling consumers to use their cryptocurrency holdings at physical retail locations within a legalized and regulated framework, the initiative aims to broaden adoption beyond the currently estimated 4 million French crypto owners.聽While Bitcoin remains the sole cryptocurrency on the cards for now, Dijane has indicated the platform intends to roll out support for altcoins in the future.In January of this year, a handful of tobaccos shops in Paris started to sell聽Bitcoin, notwithstanding mixed messages from local regulators and the central bank.Update: The original version of the article incorrectly included Foot Locker as one of the retailers, which was removed. ",,,,,,,
6,https://cointelegraph.com,24-Sep-19,"UK Startup Launches Crypto Insurance, 24/7 Bitcoin-Monitoring Service",https://cointelegraph.com/news/uk-startup-launches-crypto-insurance-24-7-bitcoin-monitoring-service,"UK Startup Launches Crypto Insurance, 24/7 Bitcoin-Monitoring Service. A 
cryptocurrency insurance policy covering theft and loss has been ...",24-Sep-19,Cardiff-based cryptocurrency insurance startup Coincover has launched an insurance policy covering theft and loss.聽,"Local news outlet Whales247 reported on Sept. 24 that this is ?渢he first and only service to guarantee digital funds held online will not be lost or stolen.?澛燙oincover?檚 service reportedly monitors the wallet at all times and issues warnings in case of suspected theft, recovers funds in case of private key loss, manages key backups, provides cash replacement value in case of theft, and checks for any suspicious activity.Furthermore, the startup covers over 100 different crypto assets and the company has been invited by the UK?檚 Department for International Trade as one of the eleven insurance technology companies to share expertise in the Silicon Valley market. Coincover co-founder David Janczewski commented on the development:?淐ryptocurrency ownership is growing fast and becoming more mainstream, but it can still feel like a risky investment. Virtual currencies, by their very nature, are a new concept for many.?滼anczewski also notes that cryptocurrencies have been attributed to crime and scandal since the start as well as hacks and thefts. These are the issues his company is trying to solve, he explained.As Cointelegraph recently reported, according to industry experts the cryptocurrency insurance market is expected to grow at a faster rate if United States regulators provide more regulatory clarity.Meanwhile, cryptocurrency insurance is becoming a more prevalent service in the industry, namely for custodial services. For instance, earlier this month Bitcoin (BTC) futures firm Bakkt announced that deposits held in its warehouse are protected by a $125 million insurance policy.",,,,,,,
7,https://cointelegraph.com,25-Sep-19,"Google?檚 Quantum Computer Breakthrough Not a Risk to Bitcoin, Says Dev",https://cointelegraph.com/news/googles-quantum-computer-breakthrough-not-a-risk-to-bitcoin-says-dev,"24, ex-Bitcoin Core developer Peter Todd led the criticism, which followed 
claims from Google it had achieved ?渜uantum supremacy.??In a paper ...",25-Sep-19,A well-known cryptographer has poured cold water on fresh fears that recent advances in quantum computing could endanger Bitcoin (BTC) security.聽,"In a Twitter discussion on Sept. 24, ex-Bitcoin Core developer Peter Todd led the criticism, which followed claims from Google it had achieved ?渜uantum supremacy.?滻n a paper seen by the Financial Times, the tech giant said it had created a computer that solved an equation which would otherwise take 10,000 years in just 3 minutes 20 seconds.聽?淭o our knowledge, this experiment marks the first computation that can only be performed on a quantum processor,??the publication quoted the paper as saying.聽Quantum computing has previously formed an area of contention for cryptocurrency proponents. In 2017, for example, experts dispelled myths that such machines could undermine the security of the Bitcoin blockchain.聽Similarly, Todd now concluded that financial impediments to Google?檚 latest creation alone would keep Bitcoin free from potential trouble.聽?淚t means nothing because Google's quantum breakthrough is for a primitive type of quantum computing that is nowhere near breaking cryptography,??he wrote about the new achievement.He added:聽?淲e still don't even know if it's possible to scale quantum computers; quite possible that adding qbits will have an exponential cost.?滶arlier this month, details emerged that the United States??National Security Agency, or NSA, was attempting to research and create quantum-resistant cryptography.",,,,,,,
8,https://cointelegraph.com,25-Sep-19,Fold App Raises $2.5M to Bring Bitcoin Lightning Payments to Starbucks,https://cointelegraph.com/news/fold-app-raises-25m-to-bring-bitcoin-lightning-payments-to-starbucks,"The Fold app, a mobile shopping app that supports the Bitcoin Lightning 
Network, has added a fiat currency payment option following a $2.5 ...",25-Sep-19,"The Fold app, a mobile shopping app that supports Bitcoin?檚 Lightning Network enabling users to withdraw funds to an external Bitcoin (BTC) wallet, has raised $2.5 million and added a fiat currency payment option.聽","In a Sept. 25 blog post, Fold?檚 editor, Will Reeves, informed the public that the app?檚 users can now spend both fiat currency and Bitcoin at online and in-store retailers by synchronizing their credit card or Lightning wallet.聽Fold has also enabled its users to stack sats when making purchases with fiat and Bitcoin at major retailers such as Amazon, Uber, Starbucks and Hotels.com, further rewarding users for shopping in Bitcoin.Moreover, Fold revealed new partnerships with investors such as venture capital funds Craft Ventures, Goldcrest Capital, Slow Ventures, Fulgur Ventures and digital asset management firm Coinshares, which resulted in a $2.5 million contribution towards further development.Earlier this year, another Bitcoin rewards shopping app Lolli teamed up with major American grocery chain Safeway and pet retailer Petco to give customers 3.5% back in BTC on all their purchases. The company also added major booking service Hotels.com to its list of supported merchants.Meanwhile, American Express is also looking to achieve with its Hyperledger-based rewards platform, which is geared toward enabling partner merchants to create customized rewards offers for the financial corporation?檚 clients.Cryptocurrency payments are gradually becoming mainstream when it comes to the retail sector. The Kaspersky Lab Global IT Security Risks Survey, published in February, reported that a respectable 13% of more than 12,000 consumers across 22 countries had used cryptocurrency to pay for their online purchases.By early 2020, support for Bitcoin payments will be purportedly launched at over 25,000 sales points for 30 French retailers, including sportswear giant Decathlon and cosmetics store Sephora.",,,,,,,
9,https://cointelegraph.com,24-Sep-19,Kim Dotcom to Sell His ?楤uilt on Bitcoin??Token Next Month on Bitfinex,https://cointelegraph.com/news/kim-dotcom-to-sell-his-built-on-bitcoin-token-next-month-on-bitfinex,"Crypto exchange Bitfinex is relaunching its IEO platform with Kim Dotcom's 
Bitcoin-integrated KIM token as the first offering. 10747 Total views.",24-Sep-19,Cryptocurrency exchange Bitfinex has announced the relaunch of its Initial Exchange Offering (IEO) platform Tokinex as Bitfinex Token Sales and will offer the token of P2P digital content and monetization blockchain K.IM on October 22.,"The news was revealed in a press release shared with Cointelegraph on Sept. 24.聽Per the release, K.IM has raised $2.5 million in funding from BnkToTheFuture, Bitcoin Capital and Max Keiser. According to the project?檚 roadmap, the platform is expected to go live in Q3 2020 alongside a formal listing on Bitfinex.聽Entrepreneur, digital rights activist and founder of now-defunct file-sharing website Megaupload, Kim Dotcom, commented on the development:?淐ombining the internet with Bitcoin gives us a real chance of achieving the original promise of the internet; freedom of speech, commerce and finance. [...] I founded K.im to allow artists, content creators and digital businesses to cut out all the middlemen and sell content and digital goods without censorship and outside of monopolies.?滱ccording to Dotcom, the Bitcoin blockchain has been able to scale so far and can now support a slew of new possibilities.?淲e can finally create our KIM token on top of Bitcoin thanks to recent technical breakthroughs like Lightning and Liquid. Bitfinex is the perfect partner to help us distribute KIM tokens, built on Bitcoin, to those who want to access the freedoms that our products provide,??Dotcom explained.聽Bitfinex meanwhile notes that the renewed IEO platform will have ?渄irect integrations with the Bitfinex exchange itself.??The company?檚 chief technology officer Paolo Ardoino commented on the current IEO landscape:?淢ost IEO?檚 are marketing campaigns that focus on achieving a short-term result, but that?檚 not how real businesses are built. Successful businesses are built through long-term, sustainable growth.?滲itfinex also announced that its native utility token, Unus Sed Leo (LEO), will be part of all future token sales and its holders will have access to higher allocations than those participating with other digital assets.As Cointelegraph recently reported, United States-based cryptocurrency exchange Coinbase has also indicated it is considering the launch of an IEO platform.",,,,,,,
