,press company,date,title,url,abstract,date detail,head article,main article
0,https://www.forbes.com/,"Nov 20, 2019",Bitcoin Is Crashing Again,https://www.forbes.com/sites/investor/2019/11/20/bitcoin-is-crashing-again/,"I reiterate, all you need to know is which way bitcoin (BTC) is going in 
the long term to develop a very profitable strategy. Get the direction 
wrong ...","Nov 20, 2019,10:14am EST", (Getty Images),"Bitcoin is going down. It is in a bear market.That is bad news if you are a short-term holder and good news if you are a long-term acquirer.I reiterate, all you need to know is which way bitcoin (BTC) is going in the long term to develop a very profitable strategy. Get the direction wrong and you will lose. If you don’t “know” the direction, you are ill advised to play.I believe the direction is up and significantly up, but for now in the short term it is down.Now to get a view of how things can pan out it’s best to remove as much noise as possible. The easy way to do this is to use moving averages. The trouble is everyone is doing that, which tends to weaken the usefulness of that tool. Anyway, here is BTC with a 200 moving day average, which is the long-term indicator many watch.The Bitcoin chart with a 200 movign day averageClassically, the current breakdown would be considered bearish. I’m not a fan of moving averages because they change with the current price as it changes, so that leaves a misleading trail. They also tell you after the event that things are bearish. Now the moving average says the market is moving up on average and only gives a sell hugely below the high. In volatile markets this is a chronic problem.So what I sometimes do is “doctor” the chart manually to de-noise it. The recent sharp rise and fall is pure noise:The recent fall and rise on the Bitcoin chart is pure noiseSomething hit the price then an event (the president of China spoke on blockchain) poked it up. These events are outside of “the trend” so let’s imagine they didn’t happen. Like a soviet political artist, let’s airbrush these inconvenient events from history.You get this:The Bitcoin chart with the noise removedNow that’s a pretty clear picture. Bitcoin is tanking towards a capitulation. That bottom looks to be quite near in terms of time but the bottom is hard to call. Here are some ideas:Some suggestions about where the bottom might be for BitcoinI think the high and low bounds are unlikely but you can’t really guess or for that matter buy the low because a capitulation, even though it looks important on the chart later, is often an ephemeral moment that only exists for minutes and trades little volume.To reverse this trend will not take much but to do so will need a catalyst and there is none in sight at the moment. Instead there looks to be a hodlers’ opportunity to get some cheap coins coming up.Forbes CryptoAsset & Blockchain Advisor cuts through the hype and identifies real investor opportunities in the emerging world of blockchain and crypto assets. Click to learn more.–-Clem Chambers is the CEO of private investors website ADVFN.com and author of Be Rich, The Game in Wall Street and Trading Cryptocurrencies: A Beginner’s Guide. In November 2018, Chambers won Journalist of the Year in the Business Market Commentary category in the State Street U.K. Institutional Press Awards. "
1,https://www.forbes.com/,"Nov 23, 2019","From Bitcoin To No Coin, Crypto World Under Pressure As Values Tumble",https://www.forbes.com/sites/mikeosullivan/2019/11/23/from-bitcoin-to-no-coin-crypto-world-under-pressure-as-governments-react/,"There is a burgeoning debate about central bank issued digital currencies, 
and in the past month bitcoin has fallen by over thirty percent, with a ...","Nov 23, 2019,04:35pm EST","LONDON, ENGLAND - NOVEMBER 20: A visual representation of the cryptocurrency Bitcoin on November ... [+] 20, 2018 in London, England. Cryptocurrencies including Bitcoin, Ethereum, Ripple and Litecoin showed unprecedented growth in 2017, growing more than 5000%, with market-leader Bitcoin topping out at nearly 20,000 USD per Bitcoin just before the new year. Since then however, the whole cryptocurrency sector has declined dramatically losing over 80% it's value. In recent days, Bitcoin has dropped sharply to new yearly-lows to around 4300 USD at the time of writing. The sector has divided opinions within financial circles with some leading figures claiming it's revolutionary effects on the monetary system, whilst others calling it nothing other than a speculative bubble. (Photo by Jordan Mansfield/Getty Images)","Things are stirring in the cryptocurrency world. There is a burgeoning debate about central bank issued digital currencies, and in the past month bitcoin has fallen by over thirty percent, with a sharp acceleration downwards in recent days. In its short life as a trading asset, bitcoin has appeared to move in sync with equities, so this recent move may spark some concern. A more intriguing, related question is whether bitcoin is an indicator of risk appetite or a beneficiary of risk aversion. Indeed, within the less ‘independent’ crypto currency community there is a view abroad that bitcoin and crypto currencies are a ‘safe haven’ in the same way people might for instance, regard gold. Bitcoin Down Over 30%My own sense is that crypto currencies in general and bitcoin specifically are not safe havens. They have failed the purpose they were intended to fulfill in that they are not actively used as a means of exchange. Few retailers accept them, fewer consumers actively use them and transaction costs are still very high. The technology associated with cryptocurrencies is also complex enough to dissuade most households from using them. For many people the process of setting up a crypto wallet, and mentally translating crypto prices into everyday currencies is too demanding to bother with. This ‘ease of use’ is a cognitive barrier to entry and something that will take time for many to overcome, even Millennials. In addition, the infrastructure around cryptocurrencies is fragile in at least two respects. Parts of that system, such as exchanges are prone to hacking and ransoming, and can also be shut down at the whim of governments. Bitcoin Not A Safe HavenFrom the point of view of cryptocurrencies as assets, very basic data analysis suggests that optically bitcoin has a low correlation with safe havens like gold. This does not mean that bitcoin is a good diversifier or a safe haven. It has been highly volatile over the past two years and is subject to trading and liquidity risks not normally associated with safe havens. A further clue as to the true nature of cryptocurrencies as investable assets comes from the community of people who hold and trade them. The micro-structure (or plumbing) of markets, as well as the anthropology and sociology of those who populate them (which will have to be the subject of a future missive) is crucial to the way they behave and subsequently to their risk characteristics. In this light the fact that the biggest holder of bitcoins is apparently the FBI says a lot. A good deal of trading in cryptocurrencies takes place in Asia, other emerging markets like Russia and in hubs like Zug. Though admittedly not scientific, nor thorough, I suspect that many bitcoin traders also trade equity futures and currencies and use the same equity trading rules (technical) to buy and sell bitcoin (cryptos now have their own rating system, FCAS). If this generalization holds, it suggests that risk budgeting may drive a positive correlation between cryptocurrencies and equities, especially at market highs and lows. Another observation is that for its size (the top ten cryptocurrencies barely add up to the market cap of Citigroup) the crypto market attracts an inordinately large amount of attention, which may draw money in at high points. To my mind this points to bitcoin having a pro-cyclical bias in terms of its riskiness as a trading asset. Authorities React With Digital CurrenciesOn a structural basis the fall in bitcoin may also signal trouble in the cryptocurrency world, which effectively exists to create means of exchange beyond the normal frameworks of governments and central banks. Note that bitcoin rallied to its year high in the immediate aftermath of Facebook’s announcement of the Libra project in mid June. The current disarray surrounding Facebook’s Libra project is a sign of the operating and regulatory complexities facing cryptocurrencies. More powerful still is the incentive that central banks and fiscal authorities around the world have for the bitcoin not to succeed. Witness as an example the vigour with which the Chinese – who tightly control money flows – have clamped down on cryptocurrency exchanges. The next steps in the crypto or digital currency (they are almost the same in that crypto currencies are digital currencies that use cryptography) industry for central banks to issue their own coins, and for the digital payments industry. More thorough regulation, cleaner cross-border payment processes and more reliable identification mechanisms will be part of the workload of central banks and governments. It all suggests that instead of being a safe haven, bitcoin may become extinct. "
2,https://www.forbes.com/,"Nov 22, 2019","Bitcoin Isn’t Down Because of China, It’s Down Because You Don’t Need It",https://www.forbes.com/sites/oliverrenick/2019/11/22/bitcoin-isnt-down-because-of-china-its-down-because-you-dont-need-it/,"Crypto markets are not reeling this week because China is “cracking down on 
Blockchain.” Tokens have been getting slammed since the ...","Nov 22, 2019,02:07pm EST","BEIJING, Nov. 7, 2019 -- A visitor tours a display center of the National Big Data Comprehensive ... [+] Pilot Area in southwest China's Guizhou Province, May 22, 2019. (Photo by Ou Dongqu/Xinhua via Getty) (Xinhua/Ou Dongqu via Getty Images)","Crypto markets are not reeling this week because China is “cracking down on Blockchain.” Tokens have been getting slammed since the summer because most of them are unnecessary, and because the need for coins that may offer some utility is not as imminent as buyers thought it would be. This is most obvious with King Crypto, bitcoin, whose purported use-case as a store of value is not looking very compelling.The risk-reward in bitcoin has always been an extreme one, which is why its biggest proponents/salespeople assigned astronomic price targets to it. Widespread adoption is an extremely low-probability event with an enormous payoff if the stars align. And let’s be clear: the things that need to happen for the world to turn to bitcoin – complete central bank impotence, widespread currency debasement, falling equity markets and the abandonment of traditional gold – means betting on bitcoin is essentially betting against the house. Hence the “short bankers, long bitcoin” meme. To say bitcoin will offer a 100x return yet also say it’s a highly probabilistic event is inherently contradictory and hugely dishonest.The market is now realizing this. As the global economic slowdown of the last nine months shows signs of stabilization and the Federal Reserve sees no need for more interest-rate cuts, the case for bitcoin is taking body blows. None of the stories about adoption are turning out, big tech giants from Facebook to Google are doing everything possible to dominate electronic pay and finance, and projects designed to make bitcoin a means of exchange are either slow, fruitless, or both.In short, the house does not look like it’s in a losing position just yet. And so bitcoin is getting killed. Sure, the U.S. and China could have a major fallout, get into a currency war, and Chinese citizens could rush to crypto as a way to get money out of the system. That’s why bitcoin will never be worthless, and why every investor should watch its price action, but that scenario is looking way, way further away from reality than the cryptoknights had so many believe.Bitcoin’s violent moves are a factor of the speculative nature described above. Because its probability of success is low, it is closer to a roulette wheel than any traditional asset class. Average people were lured into the bitcoin sales pitch in 2017 when the economy was tearing hot, cash flow was heavy, stocks were churning out huge gains, and people could afford to take a gamble. Why not roll the dice?Now those buyers are losing faith in their chances of winning, and are using this year’s rally to get out. As the fundamental reason for owning bitcoin as a store of value also loses luster amid a stabilizing economic situation, the true believers may start bailing out too. If it continues, it should be a warning sign to more traditional investors who made a similar bet in gold, and maybe even those who ran to Treasury bonds as a hedge against chaos, too."
3,https://www.forbes.com/,"Nov 16, 2019","Perhaps Google Will Kill Bitcoin, After All",https://www.forbes.com/sites/billybambrough/2019/11/16/perhaps-google-will-kill-bitcoin-after-all/,"Now, Google, in partnership with U.S. banking giant Citigroup, has said 
it's planning to launch its own fully-fledged ""smart checking"" bank ...","Nov 16, 2019,08:20pm EST","The bitcoin and cryptocurrency industry was spooked earlier this year by reports search giant Google had achieved so-called quantum supremacy, something that could potentially break bitcoin's cryptography (but likely won't). ","Meanwhile, the bitcoin price has climbed this year, largely due to interest in bitcoin and crypto from the world's biggest technology companies–with others, including the likes of iPhone-maker Apple and online retailer Amazon, branching out into traditional financial services. Now, Google, in partnership with U.S. banking giant Citigroup, has said it's planning to launch its own fully-fledged ""smart checking"" bank accounts via Google Pay–piling pressure on bitcoin developers to improve user experience and adoption or face redundancy. Google is the latest tech giant to make a move into financial services, promising users better ... [+] access to digital money than traditional banks. Google's planned bank account, code-named Cache and expected to allow users to add Google's analytic tools to traditional banking products, is due to be launched sometime next year, alongside Facebook's planned bitcoin rival, libra.""Our approach is going to be to partner deeply with banks and the financial system,"" Google executive Caesar Sengupta told the Wall Street Journal newspaper, which first reported the story. ""It may be the slightly longer path, but it’s more sustainable. If we can help more people do more stuff in a digital way online, it’s good for the internet and good for us.""Google is not planning on selling the financial data of its checking account users, according to Sengupta. Google does not currently share data from its Google Pay service, which boasted an estimated 11.1 million U.S. users last year, with advertisers. The move by Google follows the launch of Apple's Goldman Sachs-backed credit card this last summer, ride-hailing app Uber's offer of bank accounts and credit to its drivers, and Amazon's plans to introduce personal accounts for its customers.Bitcoin and other major cryptocurrencies have, meanwhile, struggled to attract new users and retail acceptance with price speculation still the biggest driver of bitcoin interest.The bitcoin price rallied earlier this year amid reports some of the world's biggest technology ... [+] companies were about to jump into bitcoin and crypto but has since stalled as regulatory fears mount. Bitcoin evangelicals point to the need for a decentralized, user-controlled alternative to the fiat currency system as the reason for bitcoin's eventual success, but the world's technology giants are moving fast to implement many of bitcoin and crypto's most highly prized features. Micro-blogging platform Twitter, led by the chief executive of payments company Square, Jack Dorsey, is a Silicon Valley outlier for its support of bitcoin.And public opinion is with the tech companies. Last month, Apple, Google, and Amazon were found to be the most valuable brands in the world, according to Interbrand's annual survey. Despite public concerns around data-privacy, digital security and the power of tech giants, users have failed to abandon their services–Google's superior digital money service could be a greater threat to bitcoin than its quantum supremacy."
4,https://www.forbes.com/,"Nov 21, 2019","As Bitcoin Plummets Below $8,000, Crypto Heavyweights See The Price Going 
Sharply Higher—Here’s Why",https://www.forbes.com/sites/billybambrough/2019/11/21/crypto-heavyweights-tim-draper-tom-lee-and-cz-all-see-bitcoin-going-sharply-higher-heres-why/,"Bitcoin investor and venture capitalist Tim Draper, who has previously 
called a bitcoin price prediction of $250,000 per bitcoin ""conservative,"" 
has ...","Nov 21, 2019,01:39am EST","Bitcoin and crypto markets have been on a downward trend since bitcoin hit a year-to-date high of over $13,000 per bitcoin set in late June.","The bitcoin price, which has this morning dipped below $8,000, has bounced wildly over recent months as crypto traders and investors search for direction, try to guess the mood of regulators, and struggle with ""dismal"" bitcoin trading volumes. However, bitcoin's biggest bulls have come out in force to reassure investors bitcoin is far from dead (though that could change)–and all point to different reasons for why they see bitcoin going higher. Draper Associates founder Tim Draper thinks adoption of bitcoin's lightning network will eventually ... [+] push the bitcoin price sharply higher. Bitcoin investor and venture capitalist Tim Draper, who has previously called a bitcoin price prediction of $250,000 per bitcoin ""conservative,"" has predicted that the likes of the bitcoin Lightning Network, designed to make smaller bitcoin transactions quicker and cheaper, will be the catalyst for the next bitcoin bull run. ""I think bitcoin payment processors are really going to open the floodgates,"" Draper said, speaking during a Q&A session at the Malta AI & Blockchain Summit earlier this month and reiterating he expects the bitcoin price will reach a quarter of million dollars by 2022 or 2023. ""It’s because of Lightning Network and OpenNode and maybe others that are allowing us to spend bitcoin very freely and quickly, so that it’s not just a store of value but it can be used for micro-payments; it can be used for retail, it can be used all over.""Bitcoin's Lightning Network has long been touted by some as a potential game changer for bitcoin and crypto payments, though adoption has not come as quickly as some had hoped. Elsewhere, Changpeng Zhao, the chief executive of the world's largest bitcoin and crypto exchange by volume Binance, said he expects the bitcoin price to rise simply as the bitcoin industry grows. ""If you look at the fundamental technology and a longer term view, across a five year or ten year horizon, we're very confident the industry will get bigger and when the industry gets bigger the prices will go higher,"" Changpeng Zhao, who's often known simply as CZ, told Bloomberg, a financial newswire. ""If you look at the short term view, bitcoin and cryptocurrency is a smaller market cap instrument so there will be higher volatility,"" CZ added, attempting to explain away bitcoin's recent downward trend. The bitcoin price, after a strong start to the year, has fallen steadily over the last few months. Meanwhile, bitcoin and cryptocurrency analyst Tom Lee has said bitcoin will need to pass $150,000 per bitcoin, a rise of over 1,600% from current prices, before a long-awaited bitcoin exchange-traded fund (ETF) could work.Lee, who founded strategy research boutique Fundstrat Global Advisors, thinks that though ""demand for an ETF is monstrous,"" the U.S. Security and Exchange Commission (SEC) ""needs to punt the ETF until crypto becomes bigger.""According to Lee, a significant increase in the bitcoin price will increase investor confidence in bitcoin and crypto–but proper regulation and oversight will be needed. ""Institutions aren't going to touch crypto if they think the SEC isn't doing a good job,"" Lee reportedly said, speaking at the Blockshow conference in Singapore last week. "
5,https://www.forbes.com/,"Nov 15, 2019",Bitcoin Could Be About To Make A Significant Move,https://www.forbes.com/sites/billybambrough/2019/11/15/bitcoin-could-be-about-to-make-a-significant-move/,"The bitcoin price has historically moved sharply towards the end of the 
year but there's no ... [+] guarantee 2019 will be the same. SOPA 
Images/ ...","Nov 15, 2019,12:29pm EST","Bitcoin and cryptocurrency investors have been closely watching the market over the last few weeks, with November and December a historically key time for major market moves. ","Last November, the bitcoin price halved from around $6,000 per bitcoin to just $3,000, while the year before November kicked off bitcoin's epic bull run to almost $20,000. The bitcoin price has historically moved sharply towards the end of the year but there's no ... [+] guarantee 2019 will be the same. Looking further back, November 2013 saw the bitcoin price suddenly climb from around $200 per bitcoin to over $1,000 by the middle of December. Bitcoin traders have noticed the pattern, though have struggled to explain why the price seems inclined to move suddenly in the final couple of months of the year. ""A year ago, today was the day bitcoin started its drop from $6,000 to $3,000,"" one prominent bitcoin and crypto trader wrote on Twitter yesterday. ""Two years ago, today was the day bitcoin started its parabolic rise from $6,700 to $20,000.""Others cautioned against making bets the market will move again this year, with bitcoin and crypto market analyst, previously of brokerage eToro, Mati Greenspan warning, ""both [the 2017 and 2018 bitcoin spike and slump] were irrational and unexplainable moves that were eventually reversed by the market.""The bitcoin and cryptocurrency market has been sliding so far this November, with the bitcoin price down some 6% since the start of the month. In October, after weeks of stagnation, the bitcoin price suddenly dropped only bounce higher again a couple of days later, leaving many bitcoin and crypto analysts scratching their heads over the exact cause of the extreme market volatility. The bitcoin price has continued to swing wildly despite hopes the market would have calmed and ... [+] matured. Meanwhile, technical data suggests bitcoin could be heading into rough waters, with a closely-watched chart shrinking to its narrowest since June. The tightening of the trading range between bitcoin’s 50- and 200-day moving averages could trigger a sell signal, it was first reported by Bloomberg, a financial newswire–with one analyst seeing echos of last November's sell-off. ""The best way to describe the market is it’s retracing last year’s bear market,"" said Bloomberg Intelligence analyst Mike McGlone.""It’s in no hurry to take out the old highs—there’s a hangover of residual selling from the parabolic rally in 2017. There’s just a lot of people who bought it, got way too overextended, who will be responsive sellers."""
6,https://www.forbes.com/,"Nov 14, 2019",Blow To Bitcoin As Former ECB Boss Makes Dire Warning Over Crypto’s Future,https://www.forbes.com/sites/billybambrough/2019/11/14/blow-to-bitcoin-as-former-ecb-boss-makes-dire-warning-over-cryptos-future/,"Now, former European Central Bank (ECB) president Jean-Claude Trichet has 
slammed bitcoin and Facebook's libra project, warning bitcoin is "" ...","Nov 14, 2019,03:56am EST","Bitcoin and cryptocurrencies have attracted strong criticism from the world's central bankers this year–sparked, perhaps, by Facebook's plans for its own bitcoin rival. ","The bitcoin price soared in the first six-months of this year only to stall amid concerns lawmakers and regulators could be poised to crackdown on the nascent bitcoin and crypto industry. Now, former European Central Bank (ECB) president Jean-Claude Trichet has slammed bitcoin and Facebook's libra project, warning bitcoin is ""not real"" and not the future of money. Jean-Claude Trichet, president of the European Central Bank from 2003 to 2011, was speaking at a ... [+] conference in Beijing amid reports China could soon relax its strict cryptocurrency restrictions. ""I am strongly against bitcoin, and I think we are a little complacent,"" said Trichet, speaking during a panel discussion at Beijing-based media group Caixin’s annual conference last weekend. His comments were first reported by the South China Morning Post newspaper. ""[Bitcoin] itself is not real, with the characteristics that a currency must have.""Trichet also slammed bitcoin and cryptocurrency speculation, which he branded ""not healthy.""""Even if [the cryptocurrency] is supposed to be based on underlying assets, I am observing a lot of speculation. It is not healthy,"" Trichet said, adding buying a cryptocurrency is ""in many respects pure speculation.""Bitcoin and cryptocurrency adoption has failed to live up to sky-high expectations since bitcoin exploded into the public consciousness in 2017.Bitcoin soared in 2017 from under $1,000 per bitcoin to almost $20,000, sparking a digital gold rush and making many early adopters overnight millionaires. Trichet's remarks come amid excitement in the bitcoin and cryptocurrency industry that China could be about to relax its strict crypto restrictions following a ban on bitcoin exchanges in 2017. Last month, some bitcoin and cryptocurrency market analysts pointed to comments made by China's president President Xi Jinping that the country should ""seize the opportunity"" of bitcoin's blockchain technology as the reason behind bitcoin's sudden rally.The bitcoin price rallied hard earlier this year after a disastrous 2018 but that rally has stalled. ... [+] ""We are already in a domain which has much less physical currency,” he said. ""Whether we are in a domain where that will be replaced with crypto? I have doubts there.""Trichet's comments echo remarks made by new ECB president Christine Lagarde earlier this year when she warned cryptocurrencies are ""shaking the system""—something that could signal a change in the ECB's approach to bitcoin and crypto and potentially spur adoption.Elsewhere, the last ECB president, Mario Draghi, has said that bitcoin and crypto ""are not designed in ways that make them suitable substitutes for money.""Forbes CryptoAsset & Blockchain Advisor cuts through the hype and identifies real investor opportunities in the emerging world of blockchain and cryptocurrencies. Click to learn more. "
7,https://www.forbes.com/,"Nov 11, 2019",Facebook’s Crypto Boss Is Surprisingly Bullish On Bitcoin,https://www.forbes.com/sites/billybambrough/2019/11/11/facebooks-crypto-boss-is-surprisingly-bullish-on-bitcoin/,"Now, Facebook's head of cryptocurrency projects, David Marcus, has said 
that he sees bitcoin as ""digital gold,"" and while it's held back by its ...","Nov 11, 2019,01:01am EST","The bitcoin and cryptocurrency industry has struggled with social media giant Facebook's troubled plans to launch a bitcoin rival, dubbed libra, next year. ","Some have suggested technology companies would be better off adopting bitcoin than attempting to create a centralized alternative, as micro-blogging platform Twitter is doing. Now, Facebook's head of cryptocurrency projects, David Marcus, has said that he sees bitcoin as ""digital gold,"" and while it's held back by its extreme volatility, bitcoin ""serves a completely different purpose.""Facebook's David Marcus made the comments about bitcoin at the New York Times DealBook Conference ... [+] last week. ""I don’t think of bitcoin as a currency,"" Marcus said, speaking at the New York Times DealBook Conference last week. ""It’s actually not a great medium of exchange because of it’s volatility. I see it as digital gold.""Many have made the comparison between bitcoin and gold in the past, with those most bullish on bitcoin hoping that the digital token could eventually surpass gold's $8 trillion market value. The total value of all bitcoin is currently just $160 billion, some 50-times less than gold. Bitcoin's extreme volatility, which has seen it swing wildly over the last few years from under $1,000 per bitcoin at the beginning of 2017 to almost $20,000 less than 12 months later, has led to fears financial regulators could crackdown on bitcoin and cryptocurrency investment opportunities.Bitcoin and cryptocurrency market watchers had hoped prices might begin to stabilize as the market matured but that has failed to happen with bitcoin continuing to make daily market moves far beyond traditional currencies, commodities, or company stocks.The bitcoin price, which was heavily sold off last year, rebounded strongly through the first half of 2019, largely due to reports technology companies were beginning to take an interest in bitcoin and crypto. After Facebook unveiled it plans for a bitcoin rival, taken by many as a tacit endorsement of bitcoin and blockchain technology, bitcoin's latest bull run stalled as investors fretted it could lead to an increase in regulation. U.S. president Donald Trump was among world leaders, politicians and regulators who publicly spoke out against Facebook's libra plans, with some of them suggesting it could encourage criminal activities and undermine central bank control of the economy. The bitcoin price has rebounded this year after a sell-off in 2018 but has failed to return to its ... [+] 2017 highs of almost $20,000 per bitcoin. Facebook has argued it would like to work with regulators and governments around the world to create libra and has distanced its project from bitcoin and existing cryptocurrencies. ""[Bitcoin is] an investment class that’s decorrelated from the rest of the market,"" Marcus added. ""Why feel threatened by that?""""People don’t use a unit like digital currency of bitcoin to pay for things just because it’s so volatile. It serves a completely different purpose.""Unveiled earlier this year, Facebook's libra project is intended to serve as a digital currency and is expected to be primarily used in parts of the world with less developed financial infrastructure. Facebook's plans have, however, somewhat unraveled since June, with a handful of the originally 28 companies assembled by Facebook to form the Libra Association quitting the group and Facebook's chief executive Mark Zuckerberg criticised by U.S. senators.Forbes CryptoAsset & Blockchain Advisor cuts through the hype and identifies real investor opportunities in the emerging world of blockchain and crypto assets. Click to learn more."
8,https://www.forbes.com/,"Nov 10, 2019","Did A Manipulator Drive Bitcoin’s $20,000 Peak? Plus, Why Bitcoin Trumps 
Gold.",https://www.forbes.com/sites/cryptoconfidential/2019/11/10/did-a-manipulator-drive-bitcoins-20000-peak-plus-why-bitcoin-trumps-gold/,"According to a new report, an unidentified Bitfinex account used tether to 
manipulate the bitcoin price between March 2017 and March 2018 by ...","Nov 10, 2019,11:00am EST","Get Forbes' top crypto and blockchain stories delivered to your inbox every week for the latest news on bitcoin, other major cryptocurrencies and enterprise blockchain adoption.","GettyResearchers have cast fresh doubt over whether bitcoin's epic bull run happened organically, suggesting it may have been caused by a single, large player manipulating the bitcoin market.According to a new report, an unidentified Bitfinex account used tether to manipulate the bitcoin price between March 2017 and March 2018 by creating unprecedented demand for the digital token. Over that period, the total market value of bitcoin soared from $16 billion to $326 billion.Microsoft is taking its secret platform for creating crypto tokens out for a test drive. The tech giant’s new crypto-assets mint lets enterprises design, issue and manage a wide range of digital assets. Several companies, including a video game outfit and a virtual reality platform, have already used the platform to create experimental tokens, while others like General Electric are waiting in the wings to create their own.Big picture: Major companies like JPMorgan have already minted similar tokens, and Facebook is working with a group of companies like Uber, Spotify and Vodaphone on the Libra Project. Microsoft’s work, using the same standard as the other participating blockchain developers, could pave the way for an explosion of similar enterprise-grade tokens.Stellar, the tenth largest cryptocurrency by market cap, saw its price soar this week after the Stellar Development Foundation ""burned"" more than half the digital token's supply—worth a staggering $4.7 billion.Bitcoin remained largely flat following the news, while other smaller tokens, including Ripple's XRP, rose slightly.Plus: one reason why bitcoin is better than gold.Source: Messari. Prices as of 4:00 p.m. on November 8, 2019. Recent data gathered by popular employment site Indeed shows that over the past year, the share of blockchain and cryptocurrency job postings is up more than 25%, while the share of searches for those jobs has fallen by more than half. For the same period two years ago, Indeed saw a 14% bump these types of job searches.The companies with the most job blockchain and crypto job postings on Indeed over the past year were mainstream powerhouses like Deloitte, IBM, Accenture and Cisco. Cryptocurrency Bank Vanished, Leaving Customers in a $16M Hole [Daily Beast]Biglaw Powerhouse To Accept Bitcoin As Payment [Above The Law]The ‘Bitcoin Rich List’ Has Grown 30% in the Last Year, But Why? [CoinDesk]From Pigs to Party Fealty, China Harnesses Blockchain Power [Bloomberg]"
9,https://www.forbes.com/,"Nov 8, 2019",The Real Reason Behind Bitcoin’s Epic Rally Revealed?,https://www.forbes.com/sites/billybambrough/2019/11/08/real-reason-behind-bitcoins-epic-rally-revealed/,"The bitcoin price surged throughout 2017 only to fall back sharply the 
following year; though ... [+] bitcoin has staged something of a recovery 
in ...","Nov 8, 2019,03:47am EST",Bitcoin and cryptocurrency traders and investors have long been eying a return to bitcoin's all-time high set in late 2017. ,"The bitcoin price, which began 2017 at under $1,000, surged to almost $20,000 in under 12 months–catapulting bitcoin and crypto into the mainstream and making many early adopters overnight millionaires. Now, researchers have cast fresh doubt over whether bitcoin's epic bull run happened organically, suggesting it may have been caused by single, large player manipulating the bitcoin market. The bitcoin price surged throughout 2017 only to fall back sharply the following year; though ... [+] bitcoin has staged something of a recovery in 2019.Researchers John Griffin and Amin Shams, finance professors at the University of Texas and Ohio State University, respectively, found that around half of bitcoin's value between March 2017 and March 2018 was created by trades between bitcoin and tether, a so-called stablecoin with links to the British Virgin Islands-based Bitfinex bitcoin and cryptocurrency exchange. Bitfinex and Tether Ltd, which controls the stablecoin tether, are owned by the same people and the two companies share senior staff.Earlier this year, tether surpassed bitcoin in daily and monthly trading volume to become the most traded cryptocurrency on the market.According to the researchers, an unidentified Bitfinex account used tether to manipulate the bitcoin price by creating unprecedented demand for the digital token. Over the period, the total market value of bitcoin soared to $326 billion, from $16 billion at the beginning of the year. Bitcoin's market capitalization is now around $165 billion, making it the most valuable cryptocurrency by a considerable margin. ""Even a fairly small amount of capital can manipulate the price of bitcoin,"" Griffin told the Wall Street Journal newspaper, which first reported the study.""If it’s not Bitfinex, it’s somebody they do business with very frequently.""""We find that the identified patterns are not present on other flows, and almost the entire price impact can be attributed to this one large player,"" Griffin and Shams wrote. ""We map this data across both blockchains and find that the one player or entity (labeled as 1LSg throughout the paper) is behind the majority of the patterns we document.""The pair of researchers examined the entire transaction history of bitcoin and tether for the study–a data set of 200 gigabytes.The findings of the study will add fuel to speculation tether has been used to manipulate the bitcoin price. Last year, U.S. federal prosecutors began investigating whether tether trading had been used to move the bitcoin price. The bitcoin price has remained highly volatile since its 2017 bull run, though has failed to return ... [+] to its all-time high of almost $20,000 per bitcoin.The study could potentially worry bitcoin traders, many of whom believe bitcoin's incredible 2017 surge was due to banks and other institutional investors eying the bitcoin and cryptocurrency market. Bitcoin's subsequent fall to around $3,500 in 2018 has been explained through regulatory fears and some institutions thought to be interested in bitcoin parking their crypto plans. This year, bitcoin has rallied somewhat, climbing back above $10,000 per bitcoin, following reports social media giant Facebook, among other big technology companies, are interested in bitcoin and blockchain technology.Facebook has announced plans to release its own bitcoin competitor, dubbed libra, some time next year but has run into fierce governmental push back, with some companies who had signed up to Facebook's independent Libra Association dropping out. "
