,press company,date,title,url,abstract,date detail,head article,main article
0,www.coindesk.com,"Jan 17, 2020",Bitcoin Falls Back After Briefly Breaking $9k Resistance,https://www.coindesk.com/bitcoin-falls-back-after-briefly-breaking-9k-resistance,"Other cryptocurrencies continue to recoup losses from late 2019. Bitcoin's 
bulls have failed to make a solid move above $9,000, having briefly ...","Jan 17, 2020 at 12:57 UTC","Bitcoin's bulls have failed to make a solid move above $9,000, having briefly topped the level earlier on Friday.","After an indecisive Thursday, prices started their rise during the Asian trading day. Based on CoinDesk's Bitcoin Price Index, the top cryptocurrency by market cap moved from just under $8,700 at 01:00 UTC to $9,009 around 10:00 UTC – the third attempt to break through this morning.At press time, prices had dropped back to $8,841 – a gain of 1.05 percent over 24 hours. “$9,000 would be a test as it is seen as a key resistance level, both from a technical and psychological point of view,"" wrote Simon Peters, eToro analyst and crypto expert, in a note Friday. ""Such an increase would also see the price challenge the current 200-day moving average, a strong indication that bitcoin is entering into bullish territory."" He added: ""However, there is always the risk of retracement if the community thinks bitcoin is overbought."" The recent rally has not just bitcoin-only movement. Most other cryptocurrencies have also experienced strong gains in the past 24 hours. Coins in the top 10, including ether, XRP and Binance coin, are also coming close to two-month highs. There are also some outliers. Following the launch of Binance futures Thursday, ethereum classic is now trading at just below $10, the highest since October 2018. This strong surge in alternative cryptocurrencies has had a slight effect on the broader dynamics of the asset class. Bitcoin dominance – the coin's share of the total cryptocurrency market – has dropped from nearly 2 percent since last Friday. Bitcoin currently makes up approximately 66 percent of the total market, according to CoinMarketCap. Declining dominance suggests traders are placing proportionally less value into bitcoin, attracted to the possibility of making better returns from bets outside of the original cryptocurrency. Should the bulls be able to push bitcoin firmly back above the $9,000 threshold, the market may face a short squeeze  – a sharp rise in a particular asset's price following a series of mass liquidations. There's some precedent for this. In the space of a few days at the beginning of April last year, bitcoin increased by more than $1,000 after finally moving past the long-fought-over $4,200 resistance line. Data collected by crypto analytics site Skew show that the April move caused more than $500 million worth of short liquidations on BitMEX (see chart below). According to CoinGecko, BitMEX’s BTC/USD derivatives volumes have increased over the past seven days. Daily volumes were approaching $3.5 billion at press time, more than a billion dollars higher than last Friday.Helped along by the hype surrounding Facebook's Libra coin, the April move triggered a bull run that ultimately took bitcoin up to $13,000 by the end of June 2019. Looking at prices today, it's possible that should a short squeeze happen soon, the stars could align for a second time. Disclosure: The author holds positions in bitcoin, binance coin and ethereum, as well as other crypto assets.The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
1,www.coindesk.com,"Feb 9, 2020",Bitcoin Breaks Above $10000 in Spot Market,https://www.coindesk.com/bitcoin-breaks-above-10000-in-spot-market,"For the first time in three months, bitcoin's price is being quoted in five 
digits to the left of the decimal. The top cryptocurrency crossed above ...","Feb 9, 2020 at 12:45 UTC","For the first time in three months, bitcoin’s price is being quoted in five digits to the left of the decimal. ","The top cryptocurrency crossed above $10,000 at 04:10 UTC and printed a high of $10,176 during the early European trading hours. That was the highest level since Oct. 26, according to CoinDesk’s Bitcoin Price Index. At press time, bitcoin is changing hands at $10,130, representing 3 percent gains on a 24-hour basis. The move above $10,000 is accompanied by an improvement in the on-chain fundamentals and looks sustainable. “This breakout is the real deal. Fundamental investment activity is backing this $10k breakout,” Willy Woo, partner at Adaptive Capital, tweeted early Sunday. With the surge above $10,000, the cryptocurrency's year-to-date gains have risen to 41 percent and its market capitalization has increased to $183 billion. The cryptocurrency is now up more than $3,500 from the low of $6,425 registered in mid-December. Bitcoin picked up a bid below $7,000 in early January and has been rising ever since in a textbook bull move: a steady uptrend with regular low-volume pullbacks testing dip demand.Bigger gains for altcoinsA majority of top alternative cryptocurrencies (or ""altcoins"") are outperforming bitcoin, leading bitcoin’s dominance of the overall cryptocurrency market to fall to 64 percent, the lowest level in seven-months.Ethereum’s ether token (ETH) is currently trading at $230, the highest level since August, a 78 percent gain on a year-to-date basis. Prominent names like litecoin (LTC), EOS and binance coin (BNB) are up 70 to 90 percent, and bitcoin cash (BCH) and bitcoin SV (BSV) added 120 percent and 250 percent, respectively, according to data site CoinMarketCap. These coins, however, are lagging bitcoin on a 24-hour basis. The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
2,www.coindesk.com,"Jan 14, 2020",Bitcoin Price Rallies 3.7 Percent to Hit Two-Month High,https://www.coindesk.com/bitcoin-price-rallies-3-7-to-hit-2-month-high,"The price of bitcoin (BTC) has risen once again after a successful launch 
of CME's bitcoin options surpassed rival Bakkt on its BTC futures ...","Jan 14, 2020 at 03:26 UTC",The price of bitcoin (BTC) has risen once again after a successful launch of CME’s bitcoin options surpassed rival Bakkt on its BTC futures contracts in the first day of trade volume.,"On Jan. 14 at around 00:30 UTC, the price of the world’s largest cryptocurrency by market value rose above an area of resistance that had stifled previous rallies near $8,200 for over a week beginning Jan. 7.As of press time, BTC is changing hands at $8,413 after reaching its highest point in nearly two months at around $8,446, CoinDesk BPI data shows.This comes several hours after the successful launch of Chicago-based derivatives exchange CME’s futures contracts for BTC, which surpassed rival Bakkt in reported volume within its first day of trading. Global Head of crypto trading giant Cumberland,  Chris Zuehlke said institutional investors are seeking traditional risk management tools to support greater entry into crypto.“As with any new financial product, we expect volume will grow organically as investors get more comfortable trading it,”  Zuehlke said.An option on a futures contract gives a holder the right, but not the obligation, to buy or sell a specific futures contract at a strike price on or before the option's expiration date.Joshua Green, head of trading at cryptocurrency trading firm Digital Asset Capital Management, said the rise in BTC’s value was “nothing obvious” citing a potential short-squeeze.“Maybe some negative gamma from spot moving through that strike (of $8,250) or people covering shorts that were put on in a notification of Chinese New Year sell-off,” Green said.  Justin Chow, global head of business development at Cumberland said BTC's recent rally was being led by altcoins, specifically BTC forks such as Bitcoin SV and Bitcoin Cash.""While the CME BTC Options launch corresponded to the move, BTC forked coins and other altcoins that have upcoming halvings are the strongest performers,"" Chow said.BSV and BCH are currently posting a 22.1 and 6.84 percent rise respectively over a 24-hour period.Other notable cryptocurrencies are also up on BTC’s good fortune with ether and XRP both up 2.95 and 2.16 percent, respectively.The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
3,www.coindesk.com,"Feb 10, 2020",Bitcoin Takes a Dive After the Longest Daily Winning Run Since September,https://www.coindesk.com/bitcoin-takes-a-dive-after-the-longest-daily-winning-run-since-september,"The case for deeper pullback would weaken if prices rise above $10,010, 
violating the bearish setup on the hourly chart. Bitcoin is feeling the 
pull ...","Feb 10, 2020 at 11:00 UTC","Bitcoin is feeling the pull of gravity at press time, despite having confirmed its longest daily winning streak since September on Sunday. ","The top cryptocurrency by market value dropped from $10,197 to $9,732 during the Asian trading hours and is currently trading at $9,850, according to CoinDesk's Bitcoin Price Index. The
sharp pullback has blanketed Sunday's ascent from $9,900 to $10,180 and is suggesting
bullish exhaustion.Bitcoin
closed out (UTC) Sunday with a 2.75 percent gain, having risen by 5, 1.4, 0.5 and
1 percent on Wednesday, Thursday, Friday and Saturday, respectively.That is the longest daily winning streak in five months, as seen below. Bitcoin produced five straight green candles (days with net gains) from Aug. 30 to Sept. 3, marking a convincing move higher from $9,350 to $10,783. The rally, however, ended up recharging bears' engines for a deeper slide. The latest winning streak is preceded by a sharp rise from lows near $6,850 observed in early January. Such solid rallies are often followed by corrections. Bitcoin could soon test dip demand by revisiting deeper support levels.Bitcoin ended Sunday with a green ""marubozu"" candle, which comprises a strong body and small or no wicks. It indicates buyers were in control from the open to the close, and is reflective of strong bullish sentiment.So far, however, the followthrough has been negative. In fact, today's red candle has already engulfed Sunday's bullish marubozu. A failed bullish marubozu at multi-month highs, or after notable price rallies, often precedes a deeper pullback. So, a slide to the former resistance-turned-support at $9,586 (Nov. 4 high) cannot be ruled out. A violation there would expose the Jan. 19 high of $9,188 and the Feb. 4 low of $9,075.  The short-term outlook would turn bearish if prices find acceptance below $9,075, invalidating the higher-lows setup. If the support at $9,586 holds ground, the bulls will likely once more target the Oct. 26 high of $10,350. Bitcoin has lost its upward trajectory, as indicated by the downside break of the ascending trendline. The
ongoing drop looks to have legs as it is backed by an uptick in selling volume,
as represented by red bars. The case for a deeper pullback to $9,586 would be invalidated if prices rise above $10,010 with strong volumes, invalidating the lower-highs setup on the hourly chart.Disclosure: The author holds no cryptocurrency at the time of writingThe leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
4,www.coindesk.com,"Feb 6, 2020",Bitcoin Rises Above $9700 to Reach Highest Point in 3 Months,https://www.coindesk.com/bitcoin-rises-above-9700-to-reach-highest-point-in-3-months,"Bitcoin (BTC) has continued its journey north to reach its highest point in 
over three months after defying expectations of a temporary pullback ...","Feb 6, 2020 at 02:04 UTC",Bitcoin (BTC) has continued its journey north to reach its highest point in over three months after defying expectations of a temporary pullback in its price.,"Over the course of eight hours, starting at 10:00 UTC on Feb. 5, the price of BTC rose 5.9 percent from $9,250 to around $9,775 before a small sell-off ensued that brought prices back to current levels at around $9,559.Oliver von Landsberg-Sadie, CEO of U.K. crypto firm BCB Group said the recent moves in BTC were likely due to shallow market depth amplifying buyer bids. “Any meaningful size still rocks the boat while the background bullish drivers are the usual suspects with the upcoming halving,” Landsberg-Sadie said.Still, the impact to BTC’s latest price rise could also be attributed to activity in the altcoin market.Su Zhu, co-founder at Three Arrows Capital, said the price movements were being led by large-cap altcoins, especially ether (ETH).“There were some statements from the [Commodities Futures Trading Commission] that ether futures would be coming before the end of the year and some positive technological progress has been recently achieved on both the ethereum base layer as well as the progress to ETH2.0,” Zhu saidThe seven-day short-term change in ETH’s price is up 18.5 percent alongside XRP, which is beginning to pull BTC higher; bitcoin cash (BCH) and bitcoin SV (BSV) are up 17.6 and 12.9 percent, respectively, over a 24-hour period, Messari data shows.The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
5,www.coindesk.com,"Jan 6, 2020",Bitcoin Eyes Price Breakout Amid US-Iran Tensions,https://www.coindesk.com/bitcoin-eyes-price-breakout-amid-us-iran-tensions,"Bitcoin is drawing bids amid heightened geopolitical uncertainty and could 
soon rise above key resistance at $7,580, confirming a short-term ...","Jan 6, 2020 at 11:12 UTC",View,"Bitcoin is drawing bids amid heightened geopolitical uncertainty and could soon rise above key resistance at $7,580, confirming a short-term bullish breakout. The top cryptocurrency is currently trading at $7,530, representing a 1 percent gain on a 24-hour basis, according to CoinDesk's Bitcoin Price Index. Prices are now up nearly 10 percent from lows near $6,850 registered during the Asian trading hours on Friday. Notably, the cryptocurrency picked up a bid at lows near $6,850 after the U.S. launched an airstrike at Baghdad’s international airport, killing top Iranian General Qassem Soleimani. Tensions escalated over the weekend, with Iran's supreme leader Ayatollah Ali Khamenei promising revenge and President Trump warning Tehran against retaliatory actions. Through all this, bitcoin remained bid and hit a two-week high of $7,580 earlier Monday. Hence, many in the investor community think the U.S.-Iran tensions are powering gains in bitcoin. After all, the cryptocurrency is considered as digital gold by the likes of Michael Novogratz, the founder of the cryptocurrency asset management firm Galaxy Digital.  Novogratz tweeted on Sunday:Backing Novogratz's view is popular trader Holger Zchaepitz, who expects bitcoin and gold to continue rising on the back of tensions in the Middle East. While Novogratz and Zchaepitz consider bitcoin a safe haven, trader Ran NeuNer believes the cryptocurrency is still an uncorrelated asset and could be the best hedge against risk intensification. With the safe-haven narrative strengthening, bitcoin looks set to scale resistance at $7,580. Bitcoin is forming an inverse head-and-shoulders breakout on the daily chart (Bitstamp prices). A UTC close above $7,580 would confirm the breakout (a short-term bearish-to-bullish trend change) and open the doors for $8,735 (target as per the measured move method). The breakout looks likely, with the 14-day relative strength index hovering at a two-month high of 56.00. A reading above 50 indicates bullish conditions. The long-tails attached to the hammer candle created in the seven days to Dec. 22 and the last week's doji candle indicate seller exhaustion and support the case for a breakout on the daily chart. Even so, the bulls are cautioned against being too ambitious, as prominent analysts like @BitBitCrypto and Peter Schiff think the cryptocurrency has rallied since Friday due to speculators buying on the hope that bitcoin will attract haven demand from traditional investors. So, an inverse head-and-shoulders breakout could end up trapping bulls on the wrong side of the market or may remain elusive if that flow dries up. A failure to hold above today's low of $7,342 would validate the bearish view put forward by the descending 10-week moving average and likely yield a re-test of $6,850. Disclosure: The author does not currently hold any digital assets. The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
6,www.coindesk.com,"Feb 3, 2020",Bitcoin Price Spikes to 3-Month High as Bull Cross Approaches,https://www.coindesk.com/bitcoin-price-spikes-to-three-month-high-as-bull-cross-approaches,"Bitcoin's ongoing upward trend still looks strong with the 50- and 100-day 
averages eyeing their first bullish crossover since March 2019.","Feb 3, 2020 at 11:15 UTC",Bitcoin printed a three-month high on major exchanges early Monday with key indicator eyeing its first bullish turn in 11 months. ,"Prices rose to $9,615 on
Luxembourg-based Bitstamp exchange during the Asian trading hours. That was the
highest level since Oct. 28. The top cryptocurrency also hit a three-month high
of $9,628 and $9,615 on Bitfinex and Coinbase, respectively. Meanwhile, bitcoin’s global average price, as calculated by CoinDesk’s Bitcoin Price Index (BPI), fell $30 short of Friday’s high of $9,633 – the highest level since the end of October. Notably, the move higher happened as China’s stock market fell 8 percent in early trading – likely due to the coronavirus outbreak and its potential impact on the nation's economy. The Chinese equity markets were closed last week for the extended New Year holiday. Futures on the S&P 500, however, remained bid and rose 0.65 percent despite the risk-off mood in the Chinese markets. Traditional safe havens like gold are also facing selling pressure at press time – a sign the broader markets may be done pricing the negative impact of coronavirus on the global economy. Interestingly, bitcoin’s break above $9,600 was quickly undone with a drop back to $9,250. The cryptocurrency was last seen trading around $9,330, representing a marginal loss on a 24-hour basis. Despite the pullback from three-month highs, the overall trend remains bullish with the list of technical indicators calling an upside move growing with each passing week.Soon to join that bandwagon is a bull cross of the 50- and 100-day moving averages (MAs), as seen below.The 50-day MA is trending north and looks set to cross above the 100-day MA in the next day or two. The resulting bullish crossover would be the first since March 2019. MA crossovers are lagging indicators and often trap buyers on the wrong side of the market. For instance, the 50- and 100-day bull cross observed in June and August 2018 has failed to inspire buyers. However, back then the broader market conditions were bearish – bitcoin topped out at $20,000 in December 2017 and had been charting lower highs ever since. Such crossovers, however, are widely followed and tend to attract stronger buying pressure when the broader market conditions are looking bullish. The latest bull cross is accompanied by a bullish higher lows and higher highs setup. Further, key indicators like the weekly MACD histogram and the relative strength index are reporting bullish conditions. Hence,
BTC may see increased chart-driven buying on the back of the bull cross. As for the next 24 hours, the odds appear stacked in favor of a drop to $9,000.The four-hour chart shows bitcoin has been largely restricted to a narrow range of $9,200-$9,600 since Jan. 29. A
convincing move above $9,600 would imply a continuation of the rally from the
Jan. 24 low of $8,213 and open the doors to $10,000.A
downside break would expose the psychological support of $9,000. If that level
is breached, sellers will likely attack the 200-day MA located at $8,874. The RSI on the four-hour chart is trending south, indicating scope for a range breakdown. Supporting the bear case is the long upper shadow attached to today’s daily candle. Dips to the 200-day MA, if any, will likely be short-lived, as longer-term indicators are biased bullish.  Disclosure: The author does not currently hold any digital assets. The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
7,www.coindesk.com,"Jan 14, 2020",Resurgent Bitcoin Will Likely Shrug Off Long-Term Bear Cross,https://www.coindesk.com/resurgent-bitcoin-will-likely-shrug-off-long-term-bear-cross,"Bitcoin's short-term technical charts indicate scope for a test of the 
200-day average at $9,100. A breakout on a longer duration chart has ...","Jan 14, 2020 at 11:25 UTC",Bitcoin is better bid at press time and could maintain its recent upward trajectory despite a long-term bearish indicator making its first appearance in 19 months. ,"The top cryptocurrency rose to a two-month high of $8,580 during Tuesday's Asian trading hours and is currently trading at $8,480 indicating a 4.8 percent rise on a 24-hour basis, according to CoinDesk's Bitcoin Price Index. Bitcoin is now up by more than 30 percent from the low of $6,425 reached in December 2019. While the cryptocurrency is showing signs of life following the gloomy second half of 2019, a widely tracked technical indicator is about to flash a bearish signal. The 50-candle average on the three-day chart is trending south and looks set to cross below the 100-candle average in the next few days. That would be the first bearish crossover of the two averages since June 2018. However, moving averages are based on historical data and tend to lag prices. To put it another way, crossovers are the result of the price action that has already happened and have limited predictive powers. While bitcoin did drop in the days leading up to and after the confirmation of the same bear cross in June 2018, the broader market conditions were bearish at the time, as seen below. The 50- and 100-candle MAs produced a bear cross in the three days to June 21, 2018 (above left). Prices had fallen from $7,800 to $6,300 in the first two weeks of June and dropped further to lows below $5,800 by the end of the month. A subsequent rise ended up creating a bearish lower high at $8,500 and prices remained below the 50-candle MA till April 2019. It's worth noting that bitcoin had rallied by more than 1,300 percent in 2017 before falling by 50 percent in the first quarter of 2018. Essentially, the market had a hard landing after the staggering annual gain, and the bear cross likely gave traders a reason to unwind their long positions. This time, however, the situation is very different. Bitcoin has recently broken out of a six-month falling channel, signaling a resumption of the rally from lows near $4,100 seen in April 2019 and opening doors for a re-test of October highs above $10,000.Further, the breakout comes four months ahead of the mining reward halving – a process that reduces the supply of bitcoin. Alex Benfield, data analyst at Digital Assets Data, told CoinDesk the event could bode well for prices.Historically, bitcoin tends to hit a new market cycle top (the highest point from the preceding bear market low) in the calendar year of a halving, but before the event, according to popular analyst Rekt Capital.  So, the cryptocurrency could rise above the 2019 high of $13,880 ahead of the May 2020 halving. All in all, the impending three-day chart bearish crossover should not be a cause for worry for the bulls. The high-volume bounce from the ascending trendline on the 4-hour chart (above left) indicates the rally from the Jan. 3 low of $6,853 has resumed. Prices could challenge the 200-day average resistance at $9,097 (above right) in the next few days. The daily chart (above right) also indicates the path of least resistance is to the higher side. For instance, the recent inverse head-and-shoulders breakout and the subsequent rise to two-month highs is telling a tale of a successful transition from a bearish-to-bullish setup. The immediate bullish case would weaken if prices close (UTC) below $8,200 today. That level acted as strong resistance multiple times over the weekend. A UTC close below the higher low of $7,667 created on June 10 is needed to confirm a short-term bearish reversal. Disclosure: The author does not hold any cryptocurrencies.The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
8,www.coindesk.com,"Jan 27, 2020",Bitcoin Eyes $8.8K After Largely Erasing Last Week's Dip,https://www.coindesk.com/bitcoin-eyes-8-8k-after-largely-erasing-last-weeks-dip,"Bitcoin's four-hour chart indicates the recent pullback has ended and the 
bulls have regained control. The weekly chart is also aligned in favor ...","Jan 27, 2020 at 11:20 UTC","Bitcoin has erased much of the losses seen in the second half of the last week and looks set to revisit resistance near $8,800.","The number one cryptocurrency found bids near $8,270 during the Asian trading hours on Sunday and rose as high as $8,677 around 01:00 UTC Monday, according to CoinDesk's Bitcoin Price Index. With the $400 recovery, bitcoin has retraced 80 percent of the drop from $8,793 to $8,213 observed during the three days to Jan. 25. Some analysts believe the overnight price rise has marked an end of the corrective pullback from the Jan. 19 high of $9,188 and has put the bulls back in the driver's seat. The argument has merit, as the correction had taken the shape of a typically bullish falling-wedge pattern, which was breached to the higher side 24 hours ago. As a result, bitcoin looks set to challenge higher resistance levels. At press time, the cryptocurrency is changing hands near $8,610, representing a 2 percent gain on a 24-hour basis. Bitcoin activated twin bullish cues on Sunday: the move above $8,350 confirming a wedge breakout, and the break above $8,530 confirming a double-bottom breakout. The latter has been reinforced by dip demand near $8,530, as highlighted by the long tail attached to the current four-hour candle.The falling-wedge breakout indicates the rally from the Jan. 3 low of $6,850 has resumed, while the double bottom breakout has opened the doors for $8,800 (target as per the measured move method). That roughly coincides with Wednesday's high of $8,793, the level at which bitcoin started to fall. A break above $8,793 would expose the 200-day average lined up near $9,000. If that hurdle is crossed, the recent high of $9,188 would come into play. However, the cryptocurrency may have a tough time forcing a break above $8,793 if trading volumes continue to remain weak.As can be seen on the above chart, volumes haven't picked up post-breakout. Green bars, representing buying volumes, have been smaller than the red bars (selling) observed throughout the pullback from $9,200. The MACD histogram, an indicator used to identify trend changes and trend strength, has crossed above zero, signaling a bullish reversal on the weekly chart for the first time since August. With the shift, the bullish signal provided by the falling channel breakout witnessed earlier this month has gained credence. The immediate bullish case would weaken if prices find acceptance under $8,530. In that case, sellers may test dip demand by pushing prices to last week's low of $8,200.  Disclosure: The author holds no digital assets at the time of writing. The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
9,www.coindesk.com,"Jan 10, 2020",This Metric Suggests Bitcoin Has Bottomed Out,https://www.coindesk.com/this-metric-suggests-bitcoin-has-bottomed-out,"However, bitcoin's difficulty adjustment – a measure of how difficult it is 
to find blocks on the blockchain – indicates the bear market, which 
began ...","Jan 10, 2020 at 16:50 UTC","Bitcoin likely carved out a major price bottom in December, according to a non-price metric, which has proved to be a reliable price indicator in the past. ","The leading cryptocurrency is currently trading above $7,700, having hit eight-month lows below $6,500 in mid-December. While the bounce is encouraging, the cryptocurrency remains trapped in a six-month-long bearish channel. Thus, the technical bias is still bearish. However, bitcoin’s difficulty adjustment – a measure of how difficult it is to find blocks on the blockchain – indicates the bear market, which began at highs above $13,800 in June 2019, may have bottomed out near $6,500 in December. The mining difficulty fell from 13.7 trillion in November to 13 trillion in December – the first downward adjustment in 12 months – according to data source data.bitcoinity.org. Historically, negative monthly difficulty adjustments have marked major price bottoms, according to popular analyst “Nunya Bizniz.” For instance, the sell-off from the record high just shy of $20,000 seen in December 2017 ran out of steam near $3,100 in December 2018 with the consecutive monthly downward difficulty adjustments at the end of 2018, as seen below (red lines).Going further back, the difficulty dropped from 0.0494 trillion (49.4 giga) in April 2015 to 0.0488 trillion (48.8 giga) in May 2015. Interestingly, bitcoin’s decline from the December 2013 high of $1,153 bottomed out around $200 in April-May 2015. The cryptocurrency traded in a sideways manner for a couple of months before beginning an ascent in October 2015. The peculiar behavior could be explained by monthly declines in difficulty caused by miner capitulation. Note that mining difficulty is adjusted higher or lower every two weeks in correspondence with the amount of the computational power (hash rate) dedicated to mining. The latter is dependent on mining profitability, which is heavily influenced by price. Thus, a monthly mining difficulty decrease is essentially the result of a slide in the hash rate caused by small and marginal miners shutting down operations during sustained market sell-offs and dwindling mining profitability. What’s more, while shutting down operations miners often sell their coins at market price in order to recoup mining losses, accentuating the sell-off. Only when the supply from these miners is absorbed do selling pressures weaken and the cryptocurrency finds a bottom. Meanwhile, remaining miners tend to hold their coins and sell later for profit when prices increase, further decreasing supply in the short term and driving the cryptocurrency higher, Alex Benfield, data analyst at Digital Assets Data told CoinDesk. Also, mining difficulty decreases happen a few months before reward halvings – a process aimed at curbing inflation by cutting rewards per block mined in half every four years. “Reward halvings increase the scarcity of bitcoin,” said Banfield.So, miners who sustained the bear market likely anticipated a price rise on reward halving and held their coins, creating a supply shortage in the short term and driving prices higher. Bitcoin’s 17.48 percent drop in November was caused by miner capitulation, according to market analyst Willy Woo. The argument may have merit because bitcoin fell from $13,800 to $7,500 in three months to September. Such a price drop may have hurt weak miners, forcing capitulation. Interestingly, selling pressures has also ebbed in the last four weeks. Also, the latest downward adjustment in the difficulty happened five months ahead of the reward halving. Therefore, big miners could create a supply shortage in the short term, lifting prices higher. All in all, there is a strong reason to believe bitcoin bottomed out in December with the downward adjustment in difficulty and could regain poise over the coming months. Even so, investors need to observe caution, as noted by Gabor Gurbacs, digital asset strategist and director at VanEck/MVIS. After all, there are additional factors like tax cycles, regulatory actions, cyber security events and derivative expirations that could influence prices significantly.The leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent operating subsidiary of Digital Currency Group, which invests in cryptocurrencies and blockchain startups."
