,press company,date,title,url,abstract,date detail,head article,main article
0,https://www.blockmedia.co.kr/,2019. 6. 20.,윙클보스 “비트코인 1만5000달러 간다”,https://www.blockmedia.co.kr/archives/95491,"암호화폐 시장에서 FOMO는 가격 상승으로 매수를 고민하다가 매수에 나서는 단계로 볼 수 있다. 국내 전문가들도 비트코인이 더 상승할 
여력이 ...",2019년 6월 20일,윙클보스 “비트코인 1만5000달러 간다”,"윙클보스가 언급한 1만 달러의 중요성은 톰 리의 발언에서 찾아볼 수 있다. 톰 리는 런던에서 열린 ‘크립토컴페어 디지털에셋 서밋 2019’에서 ‘＊FOMO 단계‘에 대해 언급했다. 그는 “과거에도 FOMO에 대한 두려움을 볼 수 있었다”면서 “비트코인 1만 달러는 FOMO 단계이며, 이 단계에 도달할 경우 비트코인은 200%에서 400%까지 상승했다”고 말했다.＊FOMO란 ‘Fear Of Missing Out’의 약어로 좋은 기회를 놓치고 싶어하지 않는 마음을 말한다. 암호화폐 시장에서 FOMO는 가격 상승으로 매수를 고민하다가 매수에 나서는 단계로 볼 수 있다.국내 전문가들도 비트코인이 더 상승할 여력이 있다고 분석하고 있다. 비트코인이 투자 자산으로서의 가치가 증명되었고 올해 여러 호재들이 기다리고 있기 때문이다. 이용재 넥스트머니 작가는 “올 7월 Bakkt 테스트 거래가 실시되고 비트코인 ETF도 사실상 승인될 것으로 보인다”면서 “글로벌 기업들의 시장 진입과 비트코인 반감기는 가격을 밀어 올리는 요인으로 작용할 것”이라고 말했다.흐름은 고무적이다. 지난 4월 4000달러에 미치지 못하던 비트코인은 3개월 동안 빠르게 상승하며 9200달러를 돌파했다. 지난 4일 비트코인 가격이 1000만원 아래로 떨어지며 930만원으로 급락하기도 했지만 1주일 만에 상승세로 전환해 연고점을 돌파했다. 현재 비트코인 가격은 글로벌 시세 9290달러이며, 국내 시세로는 9500달러를 기록중이다. .기사제보 및 보도자료 : press@blockmedia.co.kr

"
1,https://www.blockmedia.co.kr/,2019. 6. 15.,"""비트코인, 금보다 정치 중립적이다"" - AdC CEO",https://www.blockmedia.co.kr/archives/94762,"현지 시각 6월 15일 외신 AMBCrypto의 보도에 따르면, AdamantCapital CEO이자 공동창립자인 투르
드미스터(TuurDemeester)가 비트코인이 금 ...",2019년 6월 15일,"“비트코인, 금보다 정치 중립적이다” – AdC CEO","현지 시각 6월 15일 외신 AMBCrypto의 보도에 따르면, AdamantCapital CEO이자 공동창립자인 투르 드미스터(TuurDemeester)가 비트코인이 금보다 정치 중립적이라고 주장했다.그는 개인 트위터를 통해 관련 주장을 전했는데, 그의 근거는 다음과 같다.1. 비트코인은 클라우드에 저장되어있다. 일반적으로 금괴는 국가의 영토 내에 보관되지만, 비트코인은 이런 물리적 한계에 제약받지 않는다.
2. 금은 항상 소유한 개인이나 기관에 통제되어왔다. 비트코인은 특정 기관에 얽매이지 않으며 전 세계에서 보유, 관리가 진행된다.
3. 물리적 특성이 없는 비트코인은 금보다 장기 보유에 적합하다.
4. 비트코인 거래를 위해서는 금과는 달리 평가 인증서 등이 필요하지 않다.<비트코인 19년 이후 가격 추이, 출처:Coinmarketcap>비트코인 가격은 19년 들어 계속해서 상승세가 이어지고 있다. 1월 1일 3,840달러에서 19년을 시작한 비트코인은 현재 225% 상승한 8,646달러에 거래되며, 한국 거래소에서는 1,000만원을 상회한 상황이다."
2,https://www.blockmedia.co.kr/,2019. 5. 14.,"비트코인 가격, 오를 수 밖에 없는 5가지 이유",https://www.blockmedia.co.kr/archives/89443,"지난주 6000달러를 돌파했던 비트코인은 최근 7000달러를 넘어선 이후 이제는 1만 달러에 대한 전망도 나오고 있습니다. 2018년
암호화폐 시장에 ...",2019년 5월 14일,"비트코인 가격, 오를 수 밖에 없는 5가지 이유","이 기사는  5월 13일 프라임 회원에게 먼저 공유된 기사입니다. 누구도 미래를 예측할 수는 없지만 과거를 통해 힌트를 얻을 수는 있습니다.  암호화폐와 블록체인 전문 사이트 펀드스트렛과 코인체피캣 , 핵트 등에 따르면 연초 이후 비트코인이 급등한 이유는 다섯가지입니다.1.비트코인  3월 이후 매집 급증 지난 3월 초부터 비트코인에 대한 매집(accumulation)이 지속됐는데 특히 비트코인 가격이 저점이었던 3월에 트렌드가 확연해집니다.TradingView를 통해 차트를 확인하면 더 뚜렷합니다. Bitcoin A(보유) / D(거래.유통) 차트에 따르면  파는 사람보다 보유하고 싶어하는 사람이 더 많다는 것을 알 수 있습니다.  A / D 라인은 아래 그래프 비트코인의 가격 상승으로 이어집니다.2.미사용 거래↑..가치저장 수단 부각 흥미로운 것은 비트코인을 보유하는 이들 중 상당수가 사용하지 않고 있습니다. Crypto Daily에 따르면, 비트코인 네트워크의 미사용 트랜잭션이 급증했습니다. 사실 미사용 거래건수는 2018년 중반 이후 점점 더 선형적으로 증가하고 있으며, 이 추세는 올해 1 월에 강화되기 시작했습니다. 비트코인을 한 번 구매한 뒤 유통하는 것이 아니라 무기한 보유 하려는 경향이 강해진다는 것입니다. 보유하는 이유는 향후 가격 상승을 기대하기 때문입니다. 비트코인 가격이 오를 것 같은데 미리 파는 사람은 없을 것입니다. 비트코인이 디지털 금으로 평가받는 이유도 이 때문입니다.3.잠자던 비트코인 고래 활성화 비트코인이 4000달러 밑으로 하락하자 대량으로 거래하는 고래도 움직이기 시작합니다. 블룸버그에 따르면 1년 6개월 이상 잠자던 비트코인 고래가 보유한 암호화폐 휴면계정의 지갑이 활성화되기 시작했습니다. 특히, 연중 저점이었던  4월 초 20% 이상 급증했습니다.이 기간 이례적으로 비트코인 고래가 지갑을 통해 거래를 진행했습니다. 트위터 사용자에게 고래들의 거래 내역을 알람 해주는 웨일얼로트 ( BTC)는 지난 4월 초 수십 만명의 BTC 거래를 알렸습니다. Chepicap 에 따르면 , 일부 고래는 2시간 만에 16만7000 BTC (1억 2200만 달러)를 이동하기도 했습니다.특히, 비트코인이 5% 넘게 급등했던 지난 4월 초 시장에 영향을 줄 만큼 거래가 진행됐다는 것은 단순히 트레이더 끼리 비트코인을 거래한 것을 웃도는 수준의 구매자가 등장 했음을 의미합니다. 실제 이 시간을 계기로 비트코인 가격은 저항선인 4600달러선을 가뿐히 넘고 장기 상승 추세를 만들었습니다.4.Bitcoin Dominance비트코인의 도미넌스 급상승은 암호화폐 시장에서의 시장지배력 우위를 보여주는 지표입니다. 비트코인의 점유율은 지난 일요일에 59.4 %로 가장 높았고, 이는 2017 년 12 월 이후로 최고 수준입니다. 이는 암호화폐 생태계 플랫폼이 알트코인에서 비트코인으로 순환매가 일어났음을 의미합니다.CoinMarketCap이는 알트코인과 토큰이 생태계에서 비중이 사라진아는 의미일까요? 전혀 아닙니다. 현재 비트코인만 오르는 것처럼 느껴집니다. 하지만 이는 암호화폐에서 시계가 빨라서 그런 것입니다. 불과 3월개월 전까지만 해도 비트코인의 시장점유율은 50% 이하였습니다.오히려 연초 이후 암호화폐 시장을 이끄는 리더는 바이낸스토큰(BNB), 라이트코인(LTC), 비트코인캐시(BCH)였습니다. 또 테조스(Tezos)와 베이직어텐션토큰(BAT) 역시 두 배 이상 올랐지요. 순환매 주기의 일환입니다. 이 사이틀이 비트코인을 중심으로 이동한 것처럼 보이지만 곧 알트코인으로 힘이 이동할 때가 올 것입니다. 이날 라이트코인과 비트코인 캐시가 두 자릿수 이상 오르는 등 힘을 받고 있다는 것 자체가 시장이 팽창하고 있음을 알려주는 신호입니다.5. 자산 변동성과 음의 상관관계 ‘비트코인’주식과 채권, 상품 등 대안 자산과 비교해볼 때 비트코인이 음의 상관관계를 보여주고 있다는 점 또한 투자자산으로 가치를 부각시키고 있습니다.펀드스트렛에 따르면 비트코인은 어떤 경우에서도 음의 상관관계를 갖는 자산클래스로서의 가치를 입증하고 있습니다. 연초 이후 비트코인은 80% 수익을 내고 있는데요. 미국과 중국 간 무역 분쟁으로 증시 변동성이 커지는 가운데서도 비트코인은 영향을 받지 않고 있습니다. 펀드스트렛에 따르면 비트코인은 미국 주식, 채권, 원유, 금 등 그 어떤 주요 자산과도 상관관계를 갖지 않고 있습니다. 위기 상황이 부각될 때 비트코인이 가치저장 수단으로 부각되고 있는 이유입니다. 기본적으로 투자자들은 글로벌 변동성으로부터 자산을 보호하기 위해 투자처를 찾기 때문입니다.암호화폐 전문미디어 CCN도 세계경제의 정치적, 경제적 혼란이 비트코인 가격 상승을 부르고 있다고 이야기합니다.미국과 중국의 무역전쟁이나 최근 브라질 위기 등은 빙산의 일각입니다.  사람들로 하여금 비트코인에 관심을 갖게 만든다는 것입니다. 이미 국제통화기금 (IMF)과 세계은행 및 경제협력개발기구 (OECD)는 세계경제성장에 대한 전망을 모두 낮췄고 유럽, 미국, 아시아의 중앙은행들은 경제성장과 물가상승률이 둔화되는 디플레이션을 우려하고 있습니다. 이런 상황에서도 꾸준히 상승 흐름을 만들어가고 있는 비트코인입니다.고려할 사항은!물론, 투자에 있어 선택과 판단은 투자자의 몫입니다. 앞서 5가지 비트코인 상승 요인을 언급했지만 미래는 예측하기 어렵습니다.  단기적으로도 연초 이후 2배 이상 오른 비트코인의 시가총액은 930억달러.  시장을 둘러싸고 투자 심리가 개선되고 있지만 시장점유율이 2017년 이후 최고 수준에 도달한 만큼 단기 저항에 부딪힐 가능성도 존재합니다. 트레이더들은 단기 저항에 흔들릴 가능성도 염두해둘 것을 당부하며 진입 시기를 조율할 것을 권했습니다. "
3,https://www.blockmedia.co.kr/,2019. 6. 16.,[길거리 크립토] 대학생들이 바라보는 비트코인,https://www.blockmedia.co.kr/archives/93000,"[블록미디어 신지은 앵커·문정은 기자] 비트코인에 큰 관심을 보이며 투자하고 있는 것으로 알려진 밀레니얼 세대. 실제로 그들은
암호화폐에 관심이 ...",2019년 6월 16일,[길거리 크립토] 대학생들이 바라보는 비트코인,"비트코인 투자 붐이 한창 일었던 2017년말 한국금융투자자보호재단이 서울과 6대 광역시 및 경기지역 신도시 등에 거주하는 25세~64세 2530명을 대상으로 조사한 결과, 암호화폐를 실제로 구매한 경험이 있다고 응답한 비율은 13.9%였으며 이 중 20대가 22.7%로 가장 높은 비율을 차지했었다.이로 부터 1년 6개월이 지난 현재, 20대 젊은층들은 여전히 비트코인을 환영하고 블록체인에 대한 관심도가 높아졌을까. 이를 알아보고자 국내 암호화폐 거래소 한빗코와 <블록미디어>가 ‘길거리 인터뷰’를 공동 기획하고 수원에 위치한 성균관대학교 자연과학캠퍼스의 대학생 30명과 이야기를 나눴다. 그들의 이야기를 들어보자. ◆ “블록체인 몰라도 비트코인은 안다…하지만 도박 아닌가?”지난 1월 미국 유명 ETF 전문 투자자문사 ETF스토어(ETFStore)의 네이트 제라시(Nate Geraci) 최고경영자(CEO)는 “밀레니얼 세대 투자자들 중 90%는 금과 같은 전통 자산보다 비트코인 투자를 선호한다”고 말한 바 있다. 그렇다면 한국의 20대 젊은이들도 비트코인에 관심이 많을까.그들의 이야기를 들어보니 실상은 달랐다. 밀레니얼 세대에 속하는 국내 대학생들은 비트코인을 여전히 ‘어렵고, 모르고, 어두운’ 가상화폐 정도로 인식하고 있었다.컴퓨터공학을 전공하는 한 학생은 “블록체인은 비트코인과 관련이 있는 것으로만 알고 있다”고 답했으며, 신소재공학을 공부 중인 한 학생은 “학기 과제 중에 인공지능(AI)와 블록체인 등 여러 기술 가운데 하나를 선택해야 했는데 블록체인은 어려워서 택하지 않았다”고 말했다.비트코인에 대한 이미지는 어떨까. 대학생들의 답변을 한 데 모으면 비트코인은 한때 이슈화된 불안하고, 어렵고, 어두운 존재였다. 소프트웨어를 전공 중인 학생들은 비트코인에 대해 ‘좋지는 않은 것 같다’ ‘어렵다’ ‘잘 모르겠다’ ‘하면 안 되는 거 아니냐’ 등의 반응을 보였다. 전기전자를 전공하고 있는 한 학생은 비트코인에 대해 “‘인생 역전’이 떠오른다”며 “반대로 망할 수도 있는 것”이라고 답했다.비트코인을 ‘가상화폐’라고 부르다 보니 실체 없는 불확실한 존재로 바라보는 시선도 있었다. 주변 친구들이 비트코인에 투자해 수익을 올리거나, 반대로 투자금을 잃은 사례를 모두 목격하면서 리스크가 큰 대상이라는 인식이 강하게 자리잡은 것.기계과에 다니는 한 학생은 비트코인에 대해 “생활에 적용이 안되고 있고 실체가  없다”며 “악용할 수 있는 여지가 있을 것 같다”고 말했다. 기계공학 전공 학생 또한 “어떻게 보면 도박 같다”며 “비트코인은 불특정 다수가 참여할 수 있어 변동성이 큰 것 같다”고 답했다.◆ 부정적 인식 개선…업계·정부 모두의 과제이처럼 부정적 인식이 자리잡은 배경에 대해 업계는 2017년 비트코인 붐, 사건·사고 등 부정적 뉴스 노출, 블록체인 실증사례 부족 등을 꼽았다. 실제 2017년 11월 처음으로 비트코인 가격이 1000만 원을 돌파하고 다음달 바로 2000만 원을 넘어섰다. 그러다 지난해 초 비트코인 가격이 급락세로 돌아서며 투자금을 잃는 사례가 나타났다. 이후 암호화폐 시장이 전반적으로 침체기에 접어들면서 비트코인은 ‘한 때다’ 라는 인식이 자리잡았다는 것이다.또 국내 대표 암호화폐 거래소 빗썸이 해킹을 당하거나 블록체인 기업이 ICO(암호화폐 공개) 모집 자금을 먹튀하는 등 여러 사건 사고가 터지고, 이를 주류 언론매체가 다루면서 일반인들의 부정적 인식에 영향을 미친 것으로 업계는 보고 있다. 김진우 스톰 한국 커뮤니티 매니저는 “공신력 있는 기관들이나 정부, 특히 주류 미디어들에서 노출된 블록체인과 암호화폐, 비트코인 관련 내용은 좋은 쪽보다 나쁜 쪽이 많다”며 “굳이 암호화폐 전문 채널을 구독하거나 찾아보지 않는 이상 블록체인과 비트코인에 대한 진짜 의미를 아예 접하거나 듣기 힘들다”고 말했다.실제 20대 중반의 김희연 에어블록 사업개발담당자는 주변 지인들로부터 ‘무슨 일을 하는거냐’는 질문을 받는 경우가 종종 있다고 토로했다. 그는 “‘너도 비트코인 하는거 아니냐’는 질문을 받을 때가 있다”며 “비트코인 가격이 급등하고 업계 내에서는 ICO 붐이 일어 투기 인식이 강해진 건 사실”이라고 말했다. 이어 “당장의 부정적 인식은 아쉽지만, 이러한 영향으로 블록체인 업계 내에 자금이 들어오고, 인재가 유입하는 등 기술이 발전하는 계기도 됐다”고 덧붙였다.업계의 자성적 노력도 있다. 지난달 국내에서 처음 열린 ‘이드콘(Ethcon) 한국 2019’은 블록체인을 잘 모르는 사람들, 일반 개발자들도 참여를 장려시키는 노력을 했다. 실제 이드콘 준비 과정에 참여했던 김희연 에어블록 사업개발담당자는 “블록체인에 관심이 조금이라도 있는 일반인들의 참여를 유도하려 해킹이나 개발자 동아리, 컴퓨터 공학 게시판 등에 컨퍼런스 홍보를 했었다”며 “하지만 대부분 컨퍼런스 참여자들은 블록체인 개발자들이 많았다”고 말했다.또다른 업계 관계자는 “블록체인 업계 또한 부정한 방법으로 투자자들에게 피해를 주는 안좋은 사례를 만들지 말고, 기술 개발이나 서비스, 제품으로 블록체인의 효율성을 증명해 나가야 한다”고 강조했다. 이어 “정부 또한 규제나 가이드라인을 제시해 산업 기준을 만들어 관련 업계의 비즈니스 판단에 도움을 줘야 한다”고 덧붙였다.기사제보 및 보도자료 : press@blockmedia.co.kr

"
4,https://www.blockmedia.co.kr/,2019. 6. 17.,"비트코인, 홍콩 시위로 안전자산 존재감 과시 ... 홍콩 거래량 급증",https://www.blockmedia.co.kr/archives/94970,"P2P 비트코인 거래 서비스를 제공하는 로컬비트코인스에 따르면 홍콩에서의 비트코인 주간 거래량은 지난 몇 주 사이에 300만
홍콩달러(미화 38만달 ...",2019년 6월 17일,"비트코인, 홍콩 시위로 안전자산 존재감 과시 … 홍콩 거래량 급증",P2P 비트코인 거래 서비스를 제공하는 로컬비트코인스에 따르면 홍콩에서의 비트코인 주간 거래량은 지난 몇 주 사이에 300만 홍콩달러(미화 38만달러)에서 600만 홍콩달러(미화 76만달러)로 증가했다.출처: Josh Olszewicz@CarpeNoctom뉴스BTC는 최근 일부 홍콩 부호들이 개인 자산을 해외로 보내기 시작했다는 로이터 보도가 나온 가운데 브레이브 뉴 코인의 조시 올제비츠가 홍콩에서의 비트코인 증가 추세를 처음 발견했다고 전했다.홍콩의 대규모 시위와 연관된 것으로 추정되는 홍콩에서의 비트코인 거래 증가는 거시경제적 혼란에 대한 헤지 수단으로서 비트코인의 사용이 늘고 있음을 확인해주는 사례로 해석된다.*이미지 출처: Shutterstock
5,https://www.blockmedia.co.kr/,2019. 6. 25.,비트코인 SV 사상 최고가 기록 ... 고래들의 인위적 부양 의혹,https://www.blockmedia.co.kr/archives/96172,"비트코인의 경우 전체 네트워크 거래에서 상위 100 트랜잭션이 차지하는 비중은 10%로 BSV와 큰 차이를 보여준다. 일부에선 루크가
발견한 ...",2019년 6월 25일,비트코인 SV 사상 최고가 기록 … 고래들의 인위적 부양 의혹,"24일(현지시간) 뉴스BTC에 따르면 BSV는 전일 243달러까지 상승, 사상 최고가에 도달했다. 이는 BSV가 세계 최대 암호화폐 거래소 가운데 하나인 바이낸스의 상장 폐지 결정 이후 사양길을 걷게 될 것이라는 예상을 완전 뒤엎는 결과다. 또 BSV 투자자들이 이 네트워크의 설립자 크레이그 라이트와 BSV의 미래를 여전히 신뢰하고 있음을 보여주는 결과로도 해석된다.그러나 암호화폐 분석가 케빈 루크는 BSV 전체 거래량에서 큰 손들이 차지하는 비중이 비정상적으로 크다는 사실을 밝혀냈다. 그는 BSV 가격이 사상 최고가를 기록했던 23일 트위터를 통해 상위 100 트랜잭션이 전체 거래의 86.4%를 차지했음을 지적하며 BSV 네트워크를 완전한 유령 타운으로 규정했다.출처: Kevin Rooke@kerooke비트코인의 경우 전체 네트워크 거래에서 상위 100 트랜잭션이 차지하는 비중은 10%로 BSV와 큰 차이를 보여준다.일부에선 루크가 발견한 비정상적인 BSV의 거래 패턴과 관련, 간혹 나타날 수 있는 현상이며 한번의 데이터에 너무 큰 의미를 부여할 필요가 없다는 입장이다. 하지만 소수 트랜잭션이 전체 네트워크 거래량의 절대 다수를 차지하는 현상은 네트워크 사용자들이 아닌 기득권을 지닌 대형 플레이어들에 의한 인위적 가격 부양 의혹을 쉽게 지우기 어려울 것으로 보인다.뉴욕시간 24일 오후 2시 4분 BSV는 코인마켓캡에서 전일(24시간 전) 대비 0.41% 내린 235.46달러를 가리켰다.*이미지 출처: Shutterstock"
6,https://www.blockmedia.co.kr/,2019. 6. 12.,[전문가 코멘트] 비트코인의 분명한 방향 결정될 때까지 인내심 갖고 기다려야 – 크립토 독,https://www.blockmedia.co.kr/archives/94057,"[뉴욕 = 장도선 특파원] 비트코인의 분명한 방향이 결정될 때까지는 인내심을 갖고 기다릴 필요가 있다고 암호화폐 분석가 크립토 독이
밝혔다. 그는 10 ...",2019년 6월 12일,[전문가 코멘트] 비트코인의 분명한 방향 결정될 때까지 인내심 갖고 기다려야  – 크립토 독,그는 10일(현지시간) 트위터에 “지금까지는 아무 것도 없다. 오늘 흥미로웠지만 강세론자들은 중요한 저항선을 돌파한 뒤 그 자리를 고수하지 못했다”면서 “우리는 아직도 어제와 상당 부분 같은 상황이다. 더 많은 기다림이 … ”라고 적었다.크립토 독은 이어 “나는 이 상황이 풀릴 때까지 대부분 (자금을) 테더에 넣어둘 생각이다. 비트코인이 7000달러대 하단을 시험하기를 바라고 있지만 그 수준까지 하락할 것으로 확신하지는 않는다”고 밝혔다. 그는 “인내하면 결실을 맺게 될 것이다. 조만간 시장의 분명한 방향을 알게 될 것이다”라고 덧붙였다.11일 뉴스BTC에 따르면 비트코인은 7일째 7440 ~ 8100달러 범위에 갇혀 있다.*이미지 출처: Shutterstock
7,https://www.blockmedia.co.kr/,2019. 6. 21.,[전문가 코멘트] 비트코인 1만달러 도달시 대규모 연쇄 숏커버링 ...,https://www.blockmedia.co.kr/archives/95792,"[뉴욕 = 장도선 특파원] 비트코인이 일정 가격 수준에 도달하면 숏 커버링에서 대규모 연쇄 반응이 촉발될 가능성이 있다고 암호화폐
분석가 닉 정이 21 ...",2019년 6월 21일,[전문가 코멘트] 비트코인 1만달러 도달시 대규모 연쇄 숏커버링 가능성 – 닉 정,
8,https://www.blockmedia.co.kr/,2019. 6. 25.,"비트코인 상승세, 페이스북 리브라 영향 아니다",https://www.blockmedia.co.kr/archives/96301,"[뉴욕=박재형 특파원] 비트코인의 최근 1만1000달러를 넘어서는 상승세가 페이스북 암호화폐 리브라의 영향이라는 분석이 많지만
비트코인의 모멘텀 ...",2019년 6월 25일,"비트코인 상승세, 페이스북 리브라 영향 아니다","25일(현지시간) 코인텔레그래프에 따르면, 페이스북이 공식적으로 리브라 암호화폐 프로토콜을 공개했을 시점에 비트코인은 이미 9000달러 이상 기격으로 거래되고 있었다.현재 비트코인의 가격 급등이 페이스북 덕분이라는 여러 분석가들의 주장에 불구하고, 데이터를 보면 비트코인의 모멘텀이 리브라보다 훨씬 앞서 있다는 것이다.페이스북은 비트코인이 9200달러 수준이던 지난 18일 암호화폐 리브라의 백서를 공개했는데, 비트코인은 그 후 며칠 하락했다가 올해 최고치 1만1300달러를 돌파했다.비트코인의 강세장이 지난 4월1일 시작된 후 몇 번의 상승과 하락 주기를 거치면서 이전까지의 하락 추세를 완전히 반전시켰다.그럼에도 불구하고, 페이스북이 비트코인 가격 인상을 부채질하고 있다는 견해가 주류 언론들을 중심으로 계속 확산하고 있다.코인텔레그래프는 이러한 현상이 리브라에 대한 관심과 홍보가 향후 암호화폐 시장에 시너지 효과를 불러올 것이라는 기대감에서 비롯된 것으로 보인다고 지적했다.또한 일부에서는 페이스북 암호화폐 자체에 대한 기대감보다 비트코인에 대한 믿음이 부족해서 리브라에 의한 비트코인 가격 상승 효과를 강조하는 것으로 볼 수 있다고  덧붙였다."
9,https://www.blockmedia.co.kr/,2019. 6. 4.,[스팟시황] 비트코인 다시 1000만원 밑으로... 조정인가,https://www.blockmedia.co.kr/archives/92719,"3일까지 최고 1050만원원을 기록했던 비트코인은 4일 새벽 5시를 기점으로 하락하기 시작 했다. 하락은 9시 이후에도 이어져 한때
960만원 선까지 ...",2019년 6월 04일,[스팟시황] 비트코인 다시 1000만원 밑으로… 조정인가,
