,press company,date,title,url,abstract,date detail,head article,main article
0,https://www.blockmedia.co.kr/,1개월 전,비트코인이 $7000 장벽을 넘지 못하고 있는 3가지 이유,https://www.blockmedia.co.kr/archives/132908,"[뉴욕 = 장도선 특파원] 7000달러가 단기적으로 비트코인의 주요 저항선으로 등장했다. 비트코인은 최근 두 차례 7000달러 도전에서 
실패를 경험 ...",2020년 3월 27일,비트코인이 $7000 장벽을 넘지 못하고 있는 3가지 이유,"비트코인의 7000달러 돌파 여부가 시장의 단기 방향 결정에 중요하다는 지적이 나오는 가운데 비트코이니스트는 비트코인이 며칠째 이 저항선을 넘어서지 못하고 있는 요인을 3가지로 정리했다.첫째는 글로벌 시장의 불확실성이다. 지난 몇 주간 거의 모든 시장이 하락하면서 저가 매수 관심은 커졌지만 앞으로 더 큰 변동성이 찾아올 것이라는 두려움이 투자자들을 제약하고 있다는 지적이다. 글로벌 시장이 지난 며칠간 회복세를 보였음에도 앞으로 다시 하락할 수 있다는 우려는 가시지 않았다. 비트코인도 예외는 아니라는 설명이다.많은 사람들의 시급한 현금 필요성이 두 번째 요인으로 지적됐다. 코로나바이러스 위기로 급여를 받지 못하고 있는 사람들은 비트코인 등 자산을 서둘러 처분해야 한다. 직장이 안정된 근로자들도 미래에 직면할 가능성이 있는 위기 때문에 섣불리 비트코인의 저가 매수에 나서지 못하는 것으로 분석된다.젊은 세대의 관심이 암호화폐 이외 다른 곳으로 분산됐을 가능성이 세 번째 요인으로 꼽혔다. 비트코인의 주된 투자자들은 선진국가의 35세 이하 젊은층으로 알려져 있다. 이들이 지금 코로나바이러스와 관련, 가족들의 안전을 챙기고 조정된 작업환경에 적응하느라 암호화폐에 관심을 쏟을 여력이 없을 것으로 추정된다는 게 비트코이니스트의 판단이다.비트코인은 뉴욕 시간 오후 3시 15분 코인마켓캡에서 24시간 전 대비 0.08% 오른 6654.78달러를 가리켰다.*이미지 출처: Shutterstock"
1,https://www.blockmedia.co.kr/,1개월 전,비트코인 시장 연속적인 폭락 이유 – 멀티코인 캐피털,https://www.blockmedia.co.kr/archives/131706,"비트코인 가격이 급격히 떨어져 채굴에 따른 채산성이 악화하면서 채굴기 가동을 멈춘 것이 블록 생성 시간을 지연시키면서 거래소 사이의 
암호화폐 ...",2020년 3월 19일,비트코인 시장 연속적인 폭락 이유 – 멀티코인 캐피털,"18일(현지시간) 디크립트에 따르면, 이 회사는 비트코인 가격의 연속적인 폭락 배경을 네트워크의 한계, 비트멕스의 시스템 문제, 그리고 채굴업자들의 채굴 중단이 복합된 결과라고 분석했다.보고서는 비트코인과 이더리움 네트워크는 글로벌 시장 규모의 운영에 한계가 있는데, 네트워크 사용량이 단시간에 급증할 경우 주요 거래소들에서 비트코인 거래가 어려워지며 소형 거래소에 유동성이 몰린 결과 엄청난 가격 변동이 일어난다고 지적했다.이러한 상황에서 주요 비트코인 선물 거래소 중 하나인 비트멕스가 디도스 공격을 받아 시스템 복구를 위해 가동을 일시 중단하면서 투자자들의 포지션 청산이 막히고 시장이 더욱 혼란에 빠졌다.보고서는 또한 비트코인 채굴업자들이 시장 폭락의 영향으로 채굴을 중단한 것 역시 비트코인의 급락을 부추긴 원인으로 들었다.비트코인 가격이 급격히 떨어져 채굴에 따른 채산성이 악화하면서 채굴기 가동을 멈춘 것이 블록 생성 시간을 지연시키면서 거래소 사이의 암호화폐 거래를 더욱 어렵게 만들었다는 설명이다.보고서는 이러한 일이 벌어진 것은 암호화폐의 시장 기반이 아직 미숙하다는 것을 보여주는데, 이는 앞으로 다양한 차원에서 개선할 여지가 많고 그만큼 투자 가능한 기회도 많다는 사실을 보여주는 것이라고 덧붙였다."
2,https://www.blockmedia.co.kr/,1개월 전,비트코인 폭락장에도 장기 보유자들 동요 없었다,https://www.blockmedia.co.kr/archives/131476,"[뉴욕=박재형 특파원] 비트코인 가격이 최근 3600달러까지 폭락할 당시 비트코인을 매도한 사람들은 대부분 단기 보유자들이었다고 
17일(현지시간) ...",2020년 3월 18일,비트코인 폭락장에도 장기 보유자들 동요 없었다,"암호화폐 시장을 분석하는 코인메트릭스의 자료에 따르면, 지난 12일과 13일 비트코인이 올해 들어 최악의 폭락을 기록할 당시 비트코인 장기 보유자들은 매도 대열에 동참하지 않았던 것으로 나타났다.코인메트릭스는 대규모 매도 압력에 따라 비트코인 가격이 단시간에 급락하는 동안 대부분의 비트코인 매물은 단기 보유자들로부터 나온 것으로 분석했다.실제로 이 기간 동안 시장에서 팔려 나간 비트코인 수가 약 27만7000개였는데, 이 중 1년 이상 거래가 없었던 비트코인은 4131개에 불과했다.이에 따라 코인메트릭스는 비트코인 장기 보유자들의 경우 이번 폭락 사태 가운데서도 대부분 비트코인을 그대로 보유하고 있는 것으로 결론지었다. "
3,https://www.blockmedia.co.kr/,1개월 전,"비트코인, 7년만에 최대 폭 하락… 그 원인은?",https://www.blockmedia.co.kr/archives/131039,"이에 따라 비트코인 역시 하락한 것이라고 분석했다. 그리고 미 연방준비제도 이사회가 추가적인 주식 시장 붕괴를 막기 위해 최대 1조 
5천억 달러를 ...",2020년 3월 13일,"비트코인, 7년만에 최대 폭 하락… 그 원인은?","코인텔레그래프는 이날 비트코인이 하루만에 28.35% 하락하면서 4679달러를 기록했는데, 이는 2019년 4월 이후 처음 기록한 최저가라고 밝혔다. 또 이 가격은 2020년 최고가인 10,500달러에서 한 달도 안 돼 58.07% 하락한 것이라고 했다고 전했다.코인텔레그래프는 다우와 S&P500 선물시장, 그리고 금이나 은 선물도 하락하고 있다면서 코로나바이러스로 인한 불확실성 때문에 모든 자산에 대한 투자자들의 신뢰도가 계속 하락하고 있다고 분석했다. 이에 따라 비트코인 역시 하락한 것이라고 분석했다.그리고 미 연방준비제도 이사회가 추가적인 주식 시장 붕괴를 막기 위해 최대 1조 5천억 달러를 투입하겠다고 발표했지만, 처음으로 쏟아부은 5천억 달러는 시장 하락세를 타개하는데 거의 도움이 되지 않았다고 코인텔레그래프는 보도했다.또 코인텔레그래프는 강한 매수세로 인한 학률적으로 상대적인 강세 지수는 보이지 않기 때문에 투자자들이 아직 코인을 매수할 준비가 되어있지 않다고 덧붙였다.마지막으로 코인텔레그래프는 이번 방어선은 4030달러가 될 것이며, 이 마저 떨어지면 지난 2년간 제일 최저가인 3000달러 대까지 떨어질 것이라고 내다봤다.코인데스크는 암호화폐에 대한 롱과 숏 포지션이 모두 청산되며 레버리지가 강한 쪽으로 가격이 기울었다고 분석했다. 하방 압력이 강해져 과장된 가격 하락이 일어난 것이라며, 비트맥스의 시스템 장애가 이번 하락의 원인 중 하나라고 분석하기도 했다.뉴스BTC에서는 “비트코인이 하루 만에 최고가였던 8000달러에서 크게 떨어졌다”며 “이런 형상은 투자자들을 당황하게 만들고 비트코인의 매수 압력이 사라지기 때문에 더 단기적인 하락세를 보일 수 있다”고 지적했다.트위터의 유명 암호화폐 분석가 하스카는 최근 비트코인 현재 가격과 4천 달러 사이를 지지하는 오더북이 없다는 점을 지적했다. 이는 비트코인이 5천 달러 이하로 떨어지면서 많은 매도가 일어난 반면, 이를 매수하려는 투자자는 별로 없기 때문이다. 이 때문에 당분간은 암호화폐의 하락세가 더 이어질 수 있다고 짚었다.기사제보 및 보도자료: press@blockmedia.co.kr


"
4,https://www.blockmedia.co.kr/,2020. 3. 9.,'플러스토큰'은 왜 비트코인 하락 요인으로 주목되나?,https://www.blockmedia.co.kr/archives/130435,"[블록미디어 강주현 기자] 비트코인이 지난 주말동안 9100달러에서 10% 하락한 7900달러 선에서 9일 거래되고 있다. 이와 같은 
비트코인 가격 하락 ...",2020년 3월 09일,‘플러스토큰’은 왜 비트코인 하락 요인으로 주목되나?,"플러스토큰은 중국의 최대 암호화폐 다단계 사기 프로젝트로, 3조 5천억 원 규모의 사기 피해액을 기록했다. 플러스토큰은 빗썸 등, 유명 거래소에 상장된 플러스토큰을 기반으로 10~30%의 월 수익을 투자자들에게 보장했다. 체인애널리시스에 따르면, 이같은 홍보로 플러스토큰은 비트코인 20만 개, 이더리움 78만 9000개, 이오스 2600만 개를 끌어모았다.지난해 6월 플러스토큰의 창립자들이 체포된 이후로 플러스토큰 자금은 지속적으로 다른 지갑으로 이체되고 있다. 이 자금은 대부분 후오비에서 운영하는 장외거래 플랫폼을 통해 브로커들이 이체하는 것으로 보인다. 이 때문에 최소 한 명 이상의 플러스토큰 관련 사기범이 아직 잡히지 않은 것으로 보인다고 뉴스BTC는 보도했다.또 뉴스BTC는 지난해 4월 중순부터 장외거래 브로커로 인해 유입된 비트코인 급증은 비트코인 가격 하락과 관련이 있다고 분석했다. 그 예로, 체인애널리시스에 따르면, 테더와 비트코인 거래량이 플러스토큰이 폐업한지 며칠이 지난 9월 23일 급증했고 24일부터 떨어진 바 있다.이로써 플러스토큰 자금 유출은 비트코인의 공급을 증가시키고 시장 역할을 변화시켜 가격 변동성을 증가시킨다고 볼 수 있다. 그러나 체인애널리시스는 이것이 끝이 아니라고 밝혔다. 1억 3400만 달러에 해당하는 2만 BTC가 현금화되었지만 여전히 차질을 겪고 있으며 아직 한 지갑에 1억 1천만 달러에 달하는 이더리움이 보관돼 있기 때문이다.기사제보 및 보도자료: press@blockmedia.co.kr


 "
5,https://www.blockmedia.co.kr/,1개월 전,"[기승전비트코인] 4화 - 비트코인은 반감기, 달러는 곱배기?!",https://www.blockmedia.co.kr/archives/132098,"... [기승전비트코인] 4화 – 비트코인은 반감기, 달러는 곱배기?! 최창환 | 2020년 3월 21일 | Block TV, 
기승전비트코인. [기승전비트코인] 4화 – 비트코인은 반감기, ...",2020년 3월 21일,"[기승전비트코인] 4화 – 비트코인은 반감기, 달러는 곱배기?!","기사제보 및 보도자료: press@blockmedia.co.kr



 "
6,https://www.blockmedia.co.kr/,1개월 전,[전문가 코멘트] 비트코인 10만달러 가능한 이유 – 바이낸스 CEO,https://www.blockmedia.co.kr/archives/132633,"[뉴욕=박재형 특파원] 주요 암호화폐 거래소 바이낸스의 CEO 창펑 자오가 비트코인 가격이 10만달러, 시가총액은 2조달러에 달할 수 
있을 것으로 ...",2020년 3월 25일,[전문가 코멘트] 비트코인 10만달러 가능한 이유 – 바이낸스 CEO,
7,https://www.blockmedia.co.kr/,1개월 전,[전문가 코멘트] 비트코인 주 저항선 6410달러에 포진 – 닉 정,https://www.blockmedia.co.kr/archives/131897,"[뉴욕 = 장도선 특파원] 비트코인이 19일(현지시간) 급등세를 연출, 6000달러를 돌파한 가운데 6410달러가 주요 저항선으로 
지목되고 있다고 암호 ...",2020년 3월 20일,[전문가 코멘트] 비트코인 주 저항선 6410달러에 포진 – 닉 정,
8,https://www.blockmedia.co.kr/,1개월 전,"[전문가 코멘트] 은행, 정부 아닌 비트코인이 세상 살릴 것 – 팀 드레이퍼",https://www.blockmedia.co.kr/archives/131681,"[뉴욕=박재형 특파원] 비트코인 시장이 폭락세에서 벗어나 부분적인 회복 가능성을 보이는 가운데 억만장자 투자가 팀 드레이퍼가 비트코인에 
대한 ...",2020년 3월 19일,"[전문가 코멘트] 은행, 정부 아닌 비트코인이 세상 살릴 것 – 팀 드레이퍼",
9,https://www.blockmedia.co.kr/,1개월 전,비트코인 6900달러 돌파 못하면 재 하락 불가피 전망,https://www.blockmedia.co.kr/archives/132402,"24일(현지시간) 유투데이에 따르면, 한동안 약세를 면치 못하던 비트코인 가격이 전일 6000달러를 넘어 상승세를 이어가자 시장에서는 
추가 상승에 ...",2020년 3월 24일,비트코인 6900달러 돌파 못하면 재 하락 불가피 전망,"24일(현지시간) 유투데이에 따르면, 한동안 약세를 면치 못하던 비트코인 가격이 전일 6000달러를 넘어 상승세를 이어가자 시장에서는 추가 상승에 대한 기대감이 높아졌다.이러한 가운데 일부 트레이더들은 비트코인의 추가 상승에 대한 기대를 하면서도 비트코인의 약세 마감 여부에 대해서는 조심스러운 견해를 제시하고 있다.트레이더SZ는 아직 약세 시나리오에 있는 것으로 보이는 비트코인이 본격적으로 롱 포지션을 열기 시작하려면 앞으로 며칠 연속 6900달러 위에서 마감할 수 있어야 한다면서, 다시 5850달러 이하로 떨어지면 트레이더들이 매도에 나설 것으로 예상했다.암호화페 트레이더 조지는 전일 급상승하기 전까지 비트코인이 바닥을 찍지 않은 것으로 보인다면서, 빠르게 오른 만큼 빠르게 떨어질 수 있다는 점에서 자신은 당분간 숏 포지션을 고수할 생각이라고 밝혔다.암호화폐 분석가 미카엘 반데포프는 비트코인이 6800-6950달러 범위를 신속하게 돌파한다면 7800달러를 향한 추가 상승이 가능하겠지만 실패할 경우 5200달러 또는 4800달러 범위까지 하락할 수 있을 것이라고 지적했다.코인마켓캡 자료 기준 비트코인은 뉴욕시간 오전 9시40분 현재 9.1% 오른 6707달러를 기록했다. "
10,https://www.blockmedia.co.kr/,1개월 전,비트코인 데스 크로스 임박 신호 ... 시장에 주는 의미는,https://www.blockmedia.co.kr/archives/132252,"[뉴욕 = 장도선 특파원] 비트코인의 50일 이동평균(MA)이 200일 MA 아래로 떨어지는 '데스 크로스(death cross)' 
발생이 조만간 예상되면서 향후 ...",2020년 3월 23일,비트코인 데스 크로스 임박 신호 … 시장에 주는 의미는,23일(현지시간) 코인데스크에 따르면 비트코인 일간 차트(아래 왼쪽)에서 데스 크로스는 하루나 이틀 뒤 나타날 것으로 전망되며 확인될 경우 2019년 10월 26일 이후 첫번째 사례가 된다.*이미지 출처: Shutterstock데스 크로스는 기술적으로 장기 약세 추세를 가리키는 지표지만 과거 데이터를 기반으로 한다는 점에서 향후 가격 전망 역할에는 한계가 따른다는 지적을 받는다.실제로 과거 비트코인 데스 크로스가 하락론자들을 함정에 빠뜨린 사례는 여럿 목격됐다. 지난해 10월 25일 데스 크로스 발생 후 비트코인은 48시간 이내 6500달러에서 1만350달러로 급등했다. 2018년 3월 말에도 비트코인은 데스 크로스가 확인된 뒤 6500달러에서 9950달러로 상승했다.하지만 현재 글로벌 시장이 코로나바이러스로 인한 공포와 충격 상황에 처해 있어 이번 데스 크로스가 비트코인의 하락으로 이어질 가능성은 배제할 수 없다.코인데스크는 투자자들이 경기 침체 우려 속에 비트코인을 안전자산 보다는 유동성 출처로 간주해 매도에 나설 수도 있다고 내다본다.비트코인은 뉴욕 시간 오전 9시 42분 코인마켓캡에서 24시간 전 대비 1.15% 오른 6133.12달러를 가리켰다.*이미지 출처: Shutterstock
11,https://www.blockmedia.co.kr/,1개월 전,"[기승전 비트코인] 3화 - 비트코인, 경제 위기 상황 속에서 트리플 ...",https://www.blockmedia.co.kr/archives/131306,"... [기승전 비트코인] 3화 – 비트코인, 경제 위기 상황 속에서 트리플 호재?? 강주현 기자 | 2020년 3월 17일 | 
Block TV, 기승전비트코인. [기승전 비트코인] 3화 – 비트 ...",2020년 3월 17일,"[기승전 비트코인] 3화 – 비트코인, 경제 위기 상황 속에서 트리플 호재??","기사제보 및 보도자료: press@blockmedia.co.kr


 "
12,https://www.blockmedia.co.kr/,1개월 전,"비트코인 채굴난, 사상 두 번째로 큰 폭 하락",https://www.blockmedia.co.kr/archives/132835,"암호화폐 가격 하락으로 인해 비트코인 컴퓨팅 파워가 지난 3개월 분의 상승분을 모두 반납했다. 현재 채굴자들은 비트메인의 앤드마이너 
에스9( ...",2020년 3월 26일,"비트코인 채굴난, 사상 두 번째로 큰 폭 하락","보도에 따르면, 비트코인 채굴난이 감소했다는 것은 일부 채굴자들이 최근 채굴 경쟁에서 손을 떼고 있다는 것이고 이는 암호화폐 가격의 하락으로 인해 채굴에 뒤따르는 수익이 떨어졌기 때문이다.채굴난이 낮아지면 개인 채굴자들의 비트코인 일일 채굴량이 많이 줄어들기 때문에 채굴난 하락은 암호화폐 채굴을 계속하는 채굴자들에겐 유리할 수 있다. 역사상 가장 큰 비트코인 채굴 난이도 하락은 지난 2011년 10월에 일어났다.코인데스크는 또 시가총액 기준 세계에서 가장 큰 블록체인 네트워크는 세계 표준시 기준 3월 26일 오후 3시 경 채굴난을 13조 9100억으로 조정했다고 밝혔다. 이는 9일 전 16조 5500억에서 하락한 것이다. 암호화폐 가격 하락으로 인해 비트코인 컴퓨팅 파워가 지난 3개월 분의 상승분을 모두 반납했다. 현재 채굴자들은 비트메인의 앤드마이너 에스9(AntMiner S9) 같은 구형 장비와 비슷한 채굴기를 사용하고 있다.채굴이란 많은 전기를 소비하는 전문화된 컴퓨터가 필요한 작업이며, 채굴 업체들은 일반적으로 비트코인을 팔거나 빌려서 채굴 비용을 처리한다.비트코인 채굴 난이도는 한 블록 평균 생산 시간을 약 10분으로 유지하기 위해 보통 약 14일이 걸리는 2016블록마다 블록이 저절로 난이도가 조정되도록 설계되어 있다. 따라서 14일 주기로 많은 컴퓨팅 파워가 꺼지면 채굴자들이 2016개의 블록을 생성하는데 시간이 더 늘어나고 그 다음에는 채굴하기가 쉬워진다. 블록 생산이 쉬워지면 반대로 그 다음에는 채굴 난이도가 올라가게 된다.중국 채굴업체 풀인(PoolIn)의 공동창업자 겸 최고운영책임자 크리스 주는 비트코인 폭락 이후, 몇몇 주요 채굴장의 해시율이 떨어졌기 때문에 향후 몇 주 내로 해시율이 20~30%는 떨어질 것으로 보인다고 지난 12일 말한 바 있다.이 때문에 평균 블록 생산 시간이 12분 가량 증가해 채굴 조정 기간이 17일로 길어졌다. 이는 기존 채굴자들이 전기 값을 내면서 비트코인을 더 많이 채굴하기 위해서는 평소보다 3일이 더 걸린다는 뜻이다.기사제보 및 보도자료: press@blockmedia.co.kr   "
13,https://www.blockmedia.co.kr/,1개월 전,[코인시황] 시장 전반 하락…비트코인 6209달러,https://www.blockmedia.co.kr/archives/133180,"코인마켓캡 기준 비트코인은 24시간 전 대비 6.02% 하락한 6209.15달러에 거래되고 있다. 이더리움과 XRP 각각 4.16%, 
2.85% 하락한130.53달러 ...",2020년 3월 29일,[코인시황] 시장 전반 하락…비트코인 6209달러,"(사진출처: 코인360)코인마켓캡 기준 비트코인은 24시간 전 대비 6.02% 하락한 6209.15달러에 거래되고 있다. 이더리움과 XRP 각각 4.16%, 2.85% 하락한130.53달러와 0.1752달러에 거래되고 있다.오전 7시 52분 기준, 상위 100개 암호화폐 움직임을 보면 7개 암호화폐를 제외한 93개의 암호화폐에 하락의 의미하는 빨간불이 켜져 있다.암호화폐 전체 시장 규모는 1748억달러이며 비트코인의 시장 점유율은 64.9%를 기록했다.상승률 탑 3 순위에는 EDC Blockchain이 49.96% 급등하며 0.05965달러에 거래되고 있다. 그 다음으로 Horizen이 6.99% 상승한 5.71달러에, Status가 3.77% 상승한 0.01624달러를 기록했다.미국의 신종 코로나바이러스 감염증(코로나19) 확진자가 급증하면서 약 12만 명을 기록했다.실업보험 청구건수는 328만명을 넘어섰고, 유가는 폭락했다.미국 연방준비제도의 무제한 양적완화 조치에도 실물경기 지표들이 최악의 기록들을 보이면서 증시와 암호화폐 모두 하락하는 모양새다.기사제보 및 보도자료: press@blockmedia.co.kr   "
