date,price,open,high,low,vol,change
2020-03-16,155.09 ,178.16 ,183.99 ,151.09 ,5.03M,-12.95%
2020-03-15,178.16 ,167.37 ,189.52 ,165.60 ,4.35M,6.41%
2020-03-14,167.43 ,178.29 ,180.43 ,164.23 ,5.69M,-5.58%
2020-03-13,177.33 ,146.83 ,188.79 ,134.50 ,13.17M,20.71%
2020-03-12,146.90 ,267.06 ,267.75 ,142.32 ,10.34M,-44.99%
2020-03-11,267.06 ,271.73 ,274.88 ,250.97 ,3.14M,-1.70%
2020-03-10,271.68 ,273.23 ,277.71 ,263.48 ,3.42M,-0.57%
2020-03-09,273.23 ,272.61 ,280.08 ,253.20 ,6.08M,0.24%
2020-03-08,272.57 ,330.77 ,330.79 ,268.76 ,4.87M,-17.59%
2020-03-07,330.77 ,350.71 ,351.00 ,328.54 ,2.91M,-5.68%
2020-03-06,350.70 ,337.18 ,352.29 ,332.54 ,4.02M,4.00%
2020-03-05,337.20 ,319.51 ,343.07 ,319.51 ,4.07M,5.52%
2020-03-04,319.55 ,329.58 ,331.96 ,310.92 ,3.09M,-3.04%
2020-03-03,329.57 ,339.06 ,339.27 ,321.61 ,3.85M,-2.78%
2020-03-02,338.99 ,312.42 ,342.56 ,310.82 ,4.04M,8.50%
2020-03-01,312.43 ,306.32 ,323.97 ,304.56 ,3.69M,2.00%
2020-02-29,306.31 ,315.12 ,322.32 ,305.69 ,3.40M,-2.81%
2020-02-28,315.17 ,324.42 ,329.19 ,299.80 ,4.73M,-2.85%
2020-02-27,324.41 ,316.73 ,334.78 ,307.94 ,4.95M,2.41%
2020-02-26,316.77 ,353.11 ,361.25 ,302.24 ,6.53M,-10.31%
2020-02-25,353.18 ,378.52 ,379.46 ,345.95 ,3.99M,-6.70%
2020-02-24,378.54 ,402.41 ,407.70 ,365.62 ,4.16M,-5.95%
2020-02-23,402.51 ,373.10 ,403.85 ,372.44 ,3.51M,7.88%
2020-02-22,373.12 ,377.85 ,380.21 ,367.63 ,2.99M,-1.25%
2020-02-21,377.85 ,371.49 ,387.69 ,367.35 ,3.88M,1.62%
2020-02-20,371.81 ,378.87 ,387.48 ,354.13 ,4.59M,-1.87%
2020-02-19,378.90 ,420.01 ,423.20 ,371.28 ,3.79M,-9.79%
2020-02-18,420.01 ,412.90 ,426.40 ,386.06 ,5.22M,1.77%
2020-02-17,412.71 ,412.72 ,416.89 ,368.69 ,6.80M,-0.01%
2020-02-16,412.74 ,439.03 ,457.63 ,385.78 ,5.42M,-6.00%
2020-02-15,439.07 ,493.60 ,494.65 ,425.78 ,4.24M,-11.05%
2020-02-14,493.60 ,476.97 ,497.71 ,466.29 ,3.14M,3.49%
2020-02-13,476.97 ,473.65 ,484.23 ,460.74 ,3.17M,0.69%
2020-02-12,473.70 ,461.93 ,481.49 ,461.91 ,3.13M,2.55%
2020-02-11,461.93 ,452.31 ,468.60 ,441.31 ,2.92M,2.13%
2020-02-10,452.31 ,449.79 ,461.85 ,436.87 ,3.11M,0.55%
2020-02-09,449.83 ,444.49 ,459.91 ,435.35 ,2.62M,1.20%
2020-02-08,444.48 ,439.57 ,453.51 ,425.78 ,2.53M,1.12%
2020-02-07,439.57 ,445.43 ,459.12 ,432.39 ,3.25M,-1.31%
2020-02-06,445.42 ,445.11 ,448.45 ,417.88 ,3.79M,0.06%
2020-02-05,445.16 ,380.93 ,445.37 ,378.83 ,4.21M,16.86%
2020-02-04,380.93 ,384.44 ,389.18 ,380.93 ,2.42M,-0.91%
2020-02-03,384.45 ,377.51 ,392.13 ,375.01 ,2.51M,1.84%
2020-02-02,377.50 ,380.12 ,388.18 ,369.68 ,2.31M,-0.69%
