date,price,open,high,low,vol,change
2020-05-18,9585.80 ,9678.40 ,9930.20 ,9524.40 ,1.34M,-0.95%
2020-05-17,9677.70 ,9376.60 ,9866.00 ,9327.80 ,1.18M,3.18%
2020-05-16,9379.50 ,9318.10 ,9579.00 ,9233.00 ,1.10M,0.66%
2020-05-15,9318.00 ,9778.60 ,9819.60 ,9223.20 ,1.56M,-4.71%
2020-05-14,9778.40 ,9298.70 ,9887.50 ,9265.80 ,1.77M,5.16%
2020-05-13,9298.70 ,8813.90 ,9384.60 ,8799.10 ,1.50M,5.50%
2020-05-12,8813.80 ,8569.80 ,8964.50 ,8542.80 ,1.35M,2.73%
2020-05-11,8579.80 ,8737.60 ,9129.60 ,8235.60 ,2.29M,-1.82%
2020-05-10,8738.80 ,9553.90 ,9569.40 ,8259.30 ,2.47M,-8.54%
2020-05-09,9554.60 ,9806.00 ,9910.50 ,9533.60 ,1.49M,-2.57%
2020-05-08,9806.20 ,9980.10 ,10018.20 ,9731.40 ,1.42M,-1.74%
2020-05-07,9979.80 ,9152.70 ,10033.00 ,9064.80 ,1.91M,9.05%
2020-05-06,9151.40 ,9000.60 ,9373.70 ,8923.60 ,1.62M,1.67%
2020-05-05,9001.00 ,8874.20 ,9078.70 ,8800.40 ,1.05M,1.42%
2020-05-04,8874.70 ,8885.50 ,8945.50 ,8553.20 ,1.12M,-0.12%
2020-05-03,8885.50 ,8966.20 ,9169.90 ,8742.20 ,1.15M,-0.90%
2020-05-02,8966.30 ,8821.60 ,8986.20 ,8771.30 ,890.34K,1.64%
2020-05-01,8821.60 ,8628.60 ,9040.30 ,8621.00 ,1.11M,2.23%
2020-04-30,8629.00 ,8770.60 ,9437.50 ,8425.50 ,2.04M,-1.62%
2020-04-29,8770.90 ,7746.70 ,8918.50 ,7729.70 ,1.83M,13.22%
2020-04-28,7746.90 ,7766.00 ,7770.10 ,7655.30 ,808.09K,-0.25%
2020-04-27,7766.00 ,7679.40 ,7768.50 ,7637.70 ,980.50K,1.13%
2020-04-26,7678.90 ,7540.40 ,7679.40 ,7520.50 ,921.59K,1.84%
2020-04-25,7540.40 ,7503.90 ,7684.60 ,7451.00 ,861.93K,0.49%
2020-04-24,7503.80 ,7491.30 ,7583.50 ,7423.50 ,951.95K,0.20%
2020-04-23,7488.50 ,7112.80 ,7655.40 ,7036.50 ,1.34M,5.28%
2020-04-22,7112.90 ,6842.50 ,7137.40 ,6821.80 ,914.18K,3.95%
2020-04-21,6842.50 ,6833.40 ,6919.30 ,6774.30 ,892.57K,0.13%
2020-04-20,6833.50 ,7122.90 ,7207.50 ,6771.20 ,1.26M,-4.06%
2020-04-19,7122.90 ,7230.90 ,7238.00 ,7079.10 ,5.93M,-1.49%
2020-04-18,7230.80 ,7035.90 ,7259.40 ,7031.50 ,796.45K,2.77%
