No,Name,Followers,TweetAccount,Desc
1,Justin Sun,2M,@justinsuntron,Founder Tron
2,John McAfee,1M,@officialmcafee,Security Compancy CEO
3,Vitalic Buterin,892.7K,@VitalikButerin,Founder Ethereum
4,Charlie Lee,831.3K,@SatoshiLite,Founder LTC
5,Naval,776.3K,@naval,Called Angel Philosopher
6,Marc Andreeseen,735.9K,@pmarca,Investor
7,Fred Wilson,662.7K,@fredwilson,Union Square Ventures Founder
8,Roger Ver,597K,@rogerkver,Bitcoin.com Chairman
9,Chris Dixon,574.2K,@cdixon,Investor
10,Andreas Antonopoulos,507.4K,@aantonop,"evangelist , Writer"
11,Changpeng Zhao  CZ Binance,490.1K,@cz_binance,Binance Founder
12,Erik Voorhees,362.9K,@ErikVoorhees,Shapeshift founder
13,Peter Brandt,327.6K,@PeterLBrandt,popular bitcoin chart analyst
14,Brian Armstrong,323.6K,@brian_armstrong,Coinbase cofounder
15,Pomp,313.4K,@Apompliano,Morgan Creek Digital cofounder
16,Nick Szabo,243.4K,@NickSzabo4,Smart Contract Concept Creator
17,Michael Arrington,239.6K,@arrington,Capital founder
18,Max Keiser,227.7K,@maxkeiser,The RT talk show host
19,Jameson Lopp,216.1K,@lopp,Bitcoin Core developer
20,Luke Martin,215.1K,@VentureCoinist,Youtube show Venturecoinist.tv
21,Tuur Demeester,204.4K,@TuurDemeester,Adamant Capital
22,Barry Silbert,200.6K,@barrysilbert,Digital Currency Group (DCG)
23,Tone Vays,197K,@ToneVays,crypto trader
24,Adam Back,187.7K,@adam3us,Blockstream’s CEO
25,Vinny Lingham,170.1K,@VinnyLingham,Civic founder
26,Charlie Shrem,167K,@CharlieShrem,former Bitinstant CEO
27,Gavin Andresen,154.6K,@gavinandresen,former Bitcoin Core develop
28,Balaji Srinivasan,149.5K,@balajis,Coinbase CTO
29,Ari Paul,139.3K,@AriDavidPaul,Blocktower Capital’s
30,Michael Novograts,135.5K,@novogratz,Galaxy Digital’s
31,Willy Woo,124.6K,@woonomic,Adaptive Capital partner
32,Chris Burniske,121.6K,@cburniske,Placeholder VC partner
33,Laura Shine,116.8K,@laurashin,host of Unchainedpodcast.com
34,Joseph Lubin,112.8K,@ethereumJoseph,Consensys founder
35,Ran Neuner,111K,@cryptomanran,Crypto Trader show host
36,Jihan Wu,110.1K,@JihanWu,Bitmain’s cofounder
37,Dr Craig S Wright,110.1K,@BotFaketoshi,bitcoin sv
