,period,username,date,retweets,favorites,hashtags,text
1,201831,justinsuntron,2018-11-10 07:47:30+00:00,413,1160,#Ethereum #TRON #TRX #ETH,Don't think #Ethereum transaction volume will ever catch up to #TRON's again. @VitalikButerin #TRX $TRX #ETH
2,201831,justinsuntron,2018-11-04 01:45:46+00:00,940,1562,#TRON #ethereum #TRX,#TRON reached 990k transaction yesterday(11/02/2018). Almost 2x to that of #ethereum. Guess when TRON will reach 1M Tx per day? Guess&amp;RT. I will randomly pick 5 winner for 1k $TRX each! #TRX
3,201831,justinsuntron,2018-10-23 08:55:40+00:00,671,2775,#TRONICS #Ethereum #TRX,#TRONICS can check out Marcus's views on the delay in the upgrade of #Ethereum's Constantinople hard fork. #TRX $TRX
4,201831,justinsuntron,2018-10-20 10:37:32+00:00,747,1081,#TRON #ETH #TRX,"Ethereum has 82,418 Txs pending today. It is the second day that #TRON has surpassed #ETH in daily Txs. 10/18 #TRX 599,677 vs. ETH 565,971; 10/19 $TRX 630,018 vs. ETH 601,119. All ETH developers need to migrate to TRON immediately with 0 cost! http://Developers.tron.network"
5,201831,justinsuntron,2018-10-19 20:58:13+00:00,815,1357,#TRON #Ethereum #TRX #ETH,It is the first time that #TRON has surpassed #Ethereum in daily transaction. #TRX 599354 vs. #ETH 565791 in October 18th. It's just the beginning! $TRX
6,201831,justinsuntron,2018-10-11 06:41:17+00:00,249,364,#TRON #TRONVM #Ethereum #TRX,"Cryptocurrency which sets the tone -#TRON. #TRONVM, advantages over #Ethereum and “vulnerabilities” of the project – find it in the interview. #TRX $TRX"
7,201831,justinsuntron,2018-10-10 09:44:52+00:00,432,845,#TRON #Ethereum #EOS #TRX,"The new developing kit is an all-in-one tool. It’s free and open source. It marks the start of smart contracts that can run on #TRON Mainnet. They will be 200x faster than #Ethereum, 100x cheaper than #EOS. #TRX $TRX http://globalcoinreport.com/tron-trx-new-development-kit-smart-contracts-era-entry"
8,201831,justinsuntron,2018-09-11 03:03:26+00:00,201,542,#TRON #Ethereum #TRX,#TRON continues to grow at speed already at a third of #Ethereum’s transaction rate. #TRX $TRX
9,201831,VitalikButerin,2018-11-13 22:17:28+00:00,2,7,,We can do a proper futarchy on ethereum by doing conditional markets on ETH/DAI.
10,201831,VitalikButerin,2018-11-13 01:49:09+00:00,2,14,,"Cobra is capable of changing he's mind; he's done so on BCH, I hope he can come to appreciate ethereum too "
11,201831,VitalikButerin,2018-11-13 01:46:23+00:00,1,7,,This whole quantum computing episode was before ethereum even existed 
12,201831,VitalikButerin,2018-11-12 13:58:24+00:00,1,2,,"""Singapore decided""? That phrasing is incredibly misleading, many people could easily mistake that for this being a SG government-approved thing. It is clearly not."
13,201831,VitalikButerin,2018-11-09 13:54:47+00:00,1,4,,"> 2. available to all includes you, which would make it free for you and thus not very sybil limited, 1 trusted party Ethereum foundation, not me. EF is a nonprofit, can't take funds out for personal gain."
14,201831,VitalikButerin,2018-11-08 02:11:25+00:00,1,17,,Evan got no share of the ethereum premine.
15,201831,VitalikButerin,2018-11-07 10:49:26+00:00,1,4,,"Sure, but if they're so ""ethical"" why didn't they build the decentralized insurance app on ethereum classic, or some weird bitcoin sidechain contraption?"
16,201831,VitalikButerin,2018-11-07 10:47:21+00:00,28,157,,I feel like we need someone to explicitly do a survey of applications being built on ethereum by/for people in emerging economies (especially those closer to seeing actual users) and do a special track or section about them next year or sooner.
17,201831,VitalikButerin,2018-11-05 15:23:09+00:00,3,3,,"What's a recent example of an average user being scoffed away from ethereum governance on technical grounds? I mean, I'm sure the rate of that happening is nonzero because the ethereum community is made up of humans, but I'd like to understand what you're complaining about."
18,201831,VitalikButerin,2018-11-05 14:48:32+00:00,1,2,,"PoS is not a governance mechanism! It's not like coins are your congressmen, it's more like coins are the military."
19,201831,VitalikButerin,2018-11-05 14:35:41+00:00,2,2,,Yay! I love taxing congestible things!
20,201831,VitalikButerin,2018-11-05 14:29:45+00:00,1,1,,"Ooh! Didn't know about that book, taking a look now :)"
21,201831,VitalikButerin,2018-11-05 14:20:20+00:00,6,21,,"Our ideologies need to take these complexities into account. The ability to think game-theoretically about cooperation and conflict and everything in between is also I think one of the great strengths of the crypto space that could be applied to ""the neo-radical movement""."
22,201831,VitalikButerin,2018-11-05 14:18:00+00:00,1,15,,"Thomas Schelling's ""Strategy of Conflict"" is underrated imo in describing the complexities of mixed cooperation/competition particularly."
23,201831,VitalikButerin,2018-11-05 14:15:45+00:00,2,12,,"Saving us from ""returning to the 1930s"" is definitely something I care about! I also think the future will not be *exactly* like the past. The 21st century is a complex one, with powerful non-state actors, mixed cooperation/competition, growing possibilities in info warfare...."
24,201831,VitalikButerin,2018-11-05 14:01:16+00:00,6,17,,"Agree! Though I think it's *governance*, and not *consensus*, that is more important to keep non-plutocratic. The consensus layer (PoW/PoS) is like the military, governance is more like Congress/senate. Though still, non-plutocratic consensus *and* governance would be ideal."
25,201831,VitalikButerin,2018-11-05 13:50:01+00:00,3,10,,"To be fair, the only private property that's formalized by ethereum itself is ETH; everything else (and I hope that ""everything else"" slice eventually dominates) is purely a matter of user-chosen standards."
26,201831,VitalikButerin,2018-11-05 13:47:58+00:00,4,5,,"Also there is real technical work being done on ""formalizing people"" better. Aside from your own work, here's one cool recent example:"
27,201831,VitalikButerin,2018-11-05 13:46:07+00:00,8,36,,"I would argue that formalizing people *badly* can potentially lead to worse consequences than just leaving the area as a TODO stub. Totalitarian regimes ""formalize people"" all the time. CC @VladZamfir So good that we're approaching that subject slowly and carefully."
28,201831,VitalikButerin,2018-11-05 10:33:26+00:00,2,5,,This is a big part of why collusion-resistant voting mechanisms (eg. using multi-party computation) are very important. Need to make sure that you can't prove who you voted for.
29,201831,VitalikButerin,2018-11-02 07:17:11+00:00,10,69,,"Actually, the subheadline is fine. > At Ethereum’s annual developer conference, its founder tells us why his technology can only be truly decentralized if it stops depending on him. ""Ethereum stops depending on me"" is the correct emphasis. But very far away from me leaving."
30,201831,VitalikButerin,2018-10-25 20:07:49+00:00,1,12,,"Why do you want to put the entire block header into the ethereum chain? This seems completely unnecessary. All that you need is the Merkle root and the signature, what other data is there? I'm trying to help here; I think you can easily optimize by a factor of ~100"
31,201831,VitalikButerin,2018-10-25 20:02:21+00:00,1,4,,"Ethereum Foundation uses crypto to pay people in many countries; very convenient, especially for one-time payments (eg. security bounties)"
32,201831,VitalikButerin,2018-10-25 19:32:06+00:00,2,23,,"And one plasma block per ethereum block is totally unnecessary; one per minute is fine, or even less. You can even adjust the rate based on the gas price. So all in all your estimate was off by at least two orders of magnitude."
33,201831,VitalikButerin,2018-10-25 19:30:26+00:00,1,18,,Also how is ~20 blocks/min even possible? Ethereum's own block rate is 4 blocks/min.
34,201831,VitalikButerin,2018-10-15 18:47:20+00:00,4,12,,Try
35,201831,VitalikButerin,2018-10-15 14:14:07+00:00,2,9,,"But Bitcoin UTXOs are also immutable scripts, and they're clearly far less powerful than ethereum contracts."
36,201831,VitalikButerin,2018-10-15 02:20:46+00:00,8,22,,@benjaminion_xyz 's slides on ethereum 2.0: 
37,201831,VitalikButerin,2018-10-10 20:56:26+00:00,9,34,,"The Ethereum Foundation only ever owned ~3m, and now has ~660k; the rest was spent on development."
38,201831,VitalikButerin,2018-10-08 23:26:00+00:00,32,474,,"I don't think that's a fair characterization; if you look more deeply at the actual processes of ethereum governance you'll find that while a technical elite does exist (as in all cryptocurrencies), my own involvement is much less pivotal than it seems from the outside."
39,201831,VitalikButerin,2018-10-08 00:11:12+00:00,14,73,,"I have had the idea in the back of my head that eventually a small PoW component could be reintroduced into ethereum, not for consensus but basically a block reward for STARK generation."
40,201831,VitalikButerin,2018-10-05 05:52:12+00:00,13,88,,I think ethereum can absolutely survive me spontaneously combusting tomorrow at this point.
41,201831,VitalikButerin,2018-09-30 01:25:12+00:00,7,16,,"The ethereum community seems so far to be moving closer to the pro-immutability direction. So you're predicting a change from the status quo *and* a trend reversal, which IMO does require a non-negligible burden of proof :)"
