,period,username,date,retweets,favorites,hashtags,text
1,201822,justinsuntron,2018-12-07 00:08:06+00:00,653,896,#ethereum #TRON #TRX,Plz leave #ethereum and join #TRON! We are hiring and expanding! #TRX $TRX https://tron.network/careers?lng=en&amp;location=America
2,201822,justinsuntron,2018-11-27 09:32:55+00:00,841,572,#Tron #TRX,#Tron has been able to increase the performance of its network by improving its Dapps products. Now its Tronbet performance has surpassed Ethereum IDEX by functionality and usage. #TRX $TRX https://oracletimes.com/tron-vs-ethereum-tronbets-performance-surpassed-ethereums-idex-by-functionality-and-usage/
3,201822,justinsuntron,2018-11-26 01:01:10+00:00,1166,1674,#Ethereum #TRON #TRX #ETH #TRON,"In bear market, #Ethereum developers should migrate your token to #TRON immediately. 1. 0 transaction fee, no gas in #TRX. 2. Compatible to #ETH, 0 migration cost. 3. 2000 TPS. 4. #TRON dex listing. You can easily increase your token value 100% with High liquidity. $TRX"
4,201822,officialmcafee,2018-12-13 17:08:39+00:00,2,4,,"Untrue in the extreme. Privacy coins will be number one. Few realize that if you send or receive Bitcoin, Ethereum and most others, the person on the other end can forever look into your wallet and know exactly what your balance is, and what is coming in and going out."
5,201822,officialmcafee,2018-11-19 14:55:09+00:00,2,3,,"Oh, It's real. Everyone gives money away to total strangers for free. The world's always been like this. The streets are full of people with garbage bags full of money. If you are low on cash you go up and ask any amount. Even millions of you ask. Ethereum giveaways are the same"
6,201822,VitalikButerin,2018-12-11 00:39:40+00:00,4,84,,"Sure, they can build on ethereum. What's the problem?"
7,201822,VitalikButerin,2018-12-10 16:57:21+00:00,1,2,,Use Ethereum for faster confirmations but also for simpler log querying (light clients can more easily get all hashes associated with some contract address)
8,201822,VitalikButerin,2018-12-10 16:17:43+00:00,71,349,,"13. Another interesting thing that blockchains give is the value of permanence. For example, an ERC721 collectible that you hold in your ethereum wallet is ""yours"" in a very real cryptographic sense that would not be the case if it was just stored in a centralized server."
9,201822,VitalikButerin,2018-12-09 12:52:25+00:00,3,26,,Sustainable scaling is ethereum 2.0. 1.x *is* stopgap measures.
10,201822,SatoshiLite,2018-11-27 21:01:17+00:00,270,1046,#PayWithLitecoin,"I decided last minute to speak at @SlushHQ Helsinki next week. Will be doing a fireside chat with @philchen913 to talk about the @htcexodus phone. The HTC Exodus will support Bitcoin, Ethereum, &amp; Litecoin out of the box. Mass adoption happens one phone at a time! #PayWithLitecoin"
