,period,username,date,retweets,favorites,hashtags,text
1,201921,justinsuntron,2019-07-12 02:45:01+00:00,1508,10607,#Bitcoin #Bitcoin #Blockchain,"Mr. President, you are misled by fake news. #Bitcoin &amp; #Blockchain happens to be the best chance for US! I'd love to invite you to have lunch with crypto leaders along with @WarrenBuffett on July 25. I guarantee you after this lunch, nobody will know crypto more than you!"
2,201921,justinsuntron,2019-07-12 02:44:13+00:00,810,2907,#Bitcoin #Bitcoin #Blockchain,"Mr. President, you are misled by fake news. #Bitcoin &amp; #Blockchain happens to be the best chance for US! I'd love to invite you to have lunch with crypto leaders along with @WarrenBuffett on July 25. I guarantee you after this lunch, nobody will know crypto more than you!"
3,201921,justinsuntron,2019-07-11 09:51:55+00:00,54,162,#TRON #BitTorrentSpeed #Bitcoin #Bitcoin #TRON #cryptocurrency #TRX,"#TRON weekly review 1. @TRON_JPN launched a long-term event, welcome to follow. 2. #BitTorrentSpeed has been officially launched. 3. @opera has added support for #Bitcoin &amp; #TRON blockchains for its #cryptocurrency wallet application in its beta version for Android. #TRX $TRX"
4,201921,justinsuntron,2019-07-11 04:01:45+00:00,110,382,#Bitcoin #Bitcoin #TRON #cryptocurrency #bitcoin #bitcoin #TRON #TRX #TRC10,".@opera browser has added support for #Bitcoin &amp; #TRON blockchains for its #cryptocurrency wallet application in its beta version for Android. It allows users to send/receive #bitcoin and #TRON (#TRX &amp; #TRC10 tokens), enables webpages to make transactions."
5,201921,officialmcafee,2019-07-14 19:27:02+00:00,25,30,,)
6,201921,officialmcafee,2019-07-14 19:26:09+00:00,0,32,,I mean ten times more than Bitcoin's rise. How can people not see this? The density of the human brain astonishes me sometimes.
7,201921,officialmcafee,2019-07-14 19:16:47+00:00,0,9,,It is impossible for Bitcoin to be less than $1 mil by the end if 202o. Use your fucking head.
8,201921,officialmcafee,2019-07-14 18:10:02+00:00,582,3050,,Bitcoin is at the mid 10's and people worry. LMFAO!! Why do you pay attention to weekly fluctuations? Look at the past few months FFS! It's rising drastically. I'm still positive about my $1 mil BTC price by the end of 2020. Alt coins like MTC and Apollo will rise ten times more.
9,201921,officialmcafee,2019-07-13 03:14:43+00:00,212,1038,,"Blow to ""Bitcoin"" as Fed warns about Libra??? There is no fv[&lt;!ng connection!! Libra is controlled by Facebook, and vulnerable. Bitcoin is controlled by no-one! The Fed, or anyone at all, can suck eggs as far as Bitcoin is concerned. Wake up Wall Street!! "
10,201921,officialmcafee,2019-07-13 01:03:39+00:00,0,4,,Dud I say Bitcoin??? There are hundreds of privacy coins. Bitcoin is not one of them.
