,period,username,date,retweets,favorites,hashtags,text
1,201922,officialmcafee,2019-08-12 22:26:01+00:00,1,25,,"You are an idiot if you thought anyone gives anything away for free. If it had really been me, I might have said: ""Send me half a Bitcoin. You will get Jack-shit back"""
2,201922,officialmcafee,2019-08-12 19:33:41+00:00,0,1,,No a fraud. Relax.
3,201922,officialmcafee,2019-08-11 11:08:44+00:00,0,15,,
4,201922,SatoshiLite,2019-08-12 23:10:11+00:00,0,15,,"There are 2 aspects of security: cost of miner machines protecting the network AND electricity cost to run the machines. Being scrypt dominant means that there’s no easy way to get enough machines to attack, so pretty secure. But total cost of all miners about 1/10 of Bitcoin."
5,201922,SatoshiLite,2019-08-12 19:54:25+00:00,158,804,,"Since Litecoin blocks are 4 times faster than Bitcoin’s, the network can handle a sudden decrease in hashrate much better. If 75% of hashrate disappears overnight, Litecoin just acts like Bitcoin for 2 wks (10 mins blks) and then diff retargets and everything is back to normal. "
6,201922,SatoshiLite,2019-08-11 06:21:23+00:00,18,309,,6/ But the code that was released was mostly written in 2018. The interesting thing about GitHub is that it keeps the commit the same in terms of who wrote it and when it was committed to the code base. So Bitcoin developers are credited for their work in the Litecoin code base.
7,201922,SatoshiLite,2019-08-11 06:21:23+00:00,20,294,,"5/ First reason is Litecoin releases lag Bitcoin releases by a few months. So when we do a release, we are releasing code that's been released in Bitcoin months ago. We actually did release Litecoin Core 0.17.1 May of this year: "
8,201922,SatoshiLite,2019-08-11 06:21:22+00:00,27,332,,"2/ It's no secret that we have purposefully kept Litecoin's code very close to Bitcoin's code. Since we are mostly just merging in Bitcoin changes, we only need a lead Litecoin Core developer doing the merges and the rest of us help with code reviews, testing, and gitian builds."
9,201922,rogerkver,2019-08-13 13:35:13+00:00,195,800,#MakeBitcoinCashAgain,Bitcoin Cash acceptance is coming to thousands of physical shops in Korea. #MakeBitcoinCashAgain
10,201922,aantonop,2019-08-10 16:00:48+00:00,57,175,,"Bitcoin Q&amp;A: Samourai, Wasabi, and privacy "
11,201922,ErikVoorhees,2019-08-13 21:34:11+00:00,0,2,,Which scam did I promote? Peter Schiff's been mad at me for promoting the bitcoin scam for a while now.
12,201922,ErikVoorhees,2019-08-11 20:31:19+00:00,89,221,#bitcoin #bitcoin #fiat #finance,The New Yorker: The Invention of Money https://www.newyorker.com/magazine/2019/08/05/the-invention-of-money #bitcoin #fiat #finance
13,201922,APompliano,2019-08-13 22:39:38+00:00,0,3,,they have a Bitcoin only fund too...
14,201922,APompliano,2019-08-13 22:36:15+00:00,306,1175,,"Interested in Bitcoin? Mine with @coinmine Use @samourai for wallet Earn interest with @TheRealBlockFi Get Bitcoin back with @trylolli Trade with @eToroUS Index with @BitwiseInvest And remember, Bitcoin is the killer app of blockchain technology "
15,201922,APompliano,2019-08-13 22:16:58+00:00,75,802,,What is the most bullish thing you could imagine happening for Bitcoin right now?
16,201922,APompliano,2019-08-13 14:40:28+00:00,4896,8346,,New Zealand has become the first country to legalize bitcoin as a replacement for the country's sovereign currency on worker's paychecks. Retweet this tweet so every nation state sees what is possible when you embrace innovation 
17,201922,APompliano,2019-08-13 14:31:20+00:00,3,52,,lol....Bitcoin is up over 200% this year. Not sure you can call it losses
18,201922,APompliano,2019-08-13 12:40:57+00:00,2,64,,"Just to be clear here...it is factually true. Both banks have published reports to their clients stating that bitcoin is an intriguing buy to them. You can argue why they are saying it, if they are right, or many other things, but you can't argue they didn't say that."
19,201922,APompliano,2019-08-13 12:14:05+00:00,1,81,,"First, Larry isn't a bitcoin advocate. Second, I reported the same news that CNBC &amp; others reported yesterday. And that news is accurate. We are now at the stage where it becomes popular to attack those with big audiences, so you can benefit from them. You're better than that."
20,201922,APompliano,2019-08-13 12:07:50+00:00,0,20,,"I've never made that claim. In fact, I consistently say 1-5% allocation is likely prudent for most people. Normally I talk investors down so they will put smaller % of their portfolio into bitcoin. That is the beauty of an asymmetric asset. You can risk less &amp; still benefit."
21,201922,APompliano,2019-08-13 11:51:30+00:00,572,2486,,Very important reminder as we enter the next Bitcoin bull market: - BTC is very volatile - You can lose all of your money - Only invest what is ok to lose - Twitter is not investment advice - Don't buy BTC with credit cards - Keep low time preference - Do your own research 
22,201922,APompliano,2019-08-12 18:13:30+00:00,6,108,,"Peter is a better human than all of his trolls combined. Long Bitcoin, Long Peter, and Short the trolls!"
23,201922,APompliano,2019-08-12 18:12:38+00:00,612,2522,,SERIOUS QUESTION: Do you trust a human that you have never met to make decisions about your money or an algorithm that is audited by thousands of people around the world every day? This is the decision you have to make when choosing between fiat and Bitcoin. Choose wisely.
24,201922,APompliano,2019-08-12 14:41:12+00:00,867,3532,,Looks like the banks are waking up to Bitcoin. Both JP Morgan and Goldman Sachs have recently suggested to buy Bitcoin. Every banker secretly wants to be a Bitcoiner!!
25,201922,APompliano,2019-08-12 13:17:48+00:00,176,727,,"What does Jeffrey Epstein, conspiracy theories, and Bitcoin all have in common? Much more than you would think. We are moving from a world of TRUST to a world of TRANSPARENCY, which will make us all better off. "
26,201922,APompliano,2019-08-12 10:11:57+00:00,43,608,,I'll be in Rome on Wednesday the 14th and would love to meet up with anyone interested in Bitcoin. Who should I be meeting?
27,201922,APompliano,2019-08-11 18:42:58+00:00,1,0,,"Printing money to extend an economic cycle that is obviously overheated is probably a bad idea. When even the Bankers (now JPM and BoA) agree with Bitcoiners, you know something is up. The JPM analyst Nikolaos Panigirtzoglou went from bitcoin bear to cautious bull recently too."
28,201922,APompliano,2019-08-11 18:29:26+00:00,536,2140,,JP Morgan published a report on Friday claiming the Fed will have to restart quantitative easing (print money) “sooner rather than later” to combat an upcoming illiquidity crisis. Bitcoin’s success formula: Step 1: Cut rates Step 2: Print money Step 3: Bitcoin halving 
29,201922,APompliano,2019-08-11 16:38:23+00:00,280,1798,,Bitcoin is a peaceful protest.
30,201922,APompliano,2019-08-11 15:23:28+00:00,0,6,,Who said anything about Bitcoin in that tweet?
