,period,username,date,retweets,favorites,hashtags,text
1,201913,justinsuntron,2019-10-26 02:25:47+00:00,174,1077,#Bitcoin #Bitcoin,Celebrating #Bitcoin back to 10000 
2,201913,rogerkver,2019-10-25 16:38:54+00:00,457,1314,#bitcoin #bitcoin #cryptocurrency #Libra,"Goldman Sachs, last 20 years: - $9.6+ billion in fines - 28 offences - Mortgage abuses - Securities abuses - Trading violations - Investor violations - Accounting fraud - Banking violations Yet congress is worried about #bitcoin #cryptocurrency #Libra"
3,201913,cz_binance,2019-10-26 17:01:17+00:00,21,241,,"Even though China will certainly create its own cryptocurrency, I wonder if bitcoin maximalists will be kind enough to thank President Xi today."
4,201913,cz_binance,2019-10-25 15:46:27+00:00,32,204,#altszn,"In Jan 2016, Chairman of Central Bank of China says Blockchain is important. Bitcoin companies in China suddenly all became blockchain companies. And thankfully (for me), price started to recover, and lead into the #altszn in 2017, as well as $BTC ATH again at $20,000 in Dec."
5,201913,cz_binance,2019-10-25 15:46:26+00:00,23,129,,"In Oct 2013, China CCTV first featured bitcoin, $BTC hit its ATH 2 months later in Dec at $1000. (A few months after this, I sold my house and went all-in on $BTC at $600. And 2 months after that, $BTC price hit $200, and stayed there for about 2 years.)"
6,201913,ErikVoorhees,2019-10-26 01:56:24+00:00,480,3947,,Can anyone tell me the last time Bitcoin moved up &gt;30% in one day? This is unreal.
7,201913,ErikVoorhees,2019-10-25 19:31:49+00:00,5,48,,Bitcoin Matrix | Robot Chicken | adult swim https://youtu.be/SASJRv_i_Oc via @YouTube
8,201913,PeterLBrandt,2019-10-26 20:50:08+00:00,10,93,,My update on Bitcoin has been posted to the @BitcoinLive1 site
9,201913,APompliano,2019-10-26 12:15:26+00:00,843,3554,,This week in crypto: 1. China going all in on blockchain 2. Bitcoin up 30%+ in one day 3. Bakkt hits volume all-time highs 4. Zuckerberg testifies in Congress 5. Morgan Creek raises $60M 6. Circle spins out Poloniex 7. Bitcoin is still not dead :) Another week of progress! 
10,201913,APompliano,2019-10-26 03:14:04+00:00,338,1793,,Important message as we enter the next Bitcoin bull market: - BTC is very volatile - You can lose all of your money - Only invest what is ok to lose - Twitter is not investment advice - Don't buy BTC with credit cards - Keep low time preference - Do your own research 
11,201913,APompliano,2019-10-26 02:50:35+00:00,980,5003,,Someone tell President @realDonaldTrump that there are only 21 million Bitcoin and China is planning to buy them all. This is going to be the real US - China competition. That should get him to pay attention. The guy hates losing and will try to buy them all 
12,201913,APompliano,2019-10-26 02:13:15+00:00,177,1429,,There is nothing more electric than Bitcoin in all of finance.
13,201913,APompliano,2019-10-26 02:05:23+00:00,406,3661,,"Bitcoin just broke $10,000"
14,201913,APompliano,2019-10-25 22:45:02+00:00,38,616,,"Bitcoin is better than the dollar too. The monetary policy and supply can’t be manipulated by anyone. If you want to learn more, subscribe here to read each morning. "
15,201913,APompliano,2019-10-25 18:29:31+00:00,196,2019,,"Just recorded an epic 2 hour podcast with @PeterSchiff where he confirmed the value of Bitcoin’s scarcity, non-seizability, and non-censorship. He dropped lots of about the macro economy &amp; the history of money too. Will be released Sunday morning!"
16,201913,APompliano,2019-10-25 16:52:16+00:00,51,253,,"Want to better understand what is happening with Bitcoin and cryptocurrencies? Read the daily letter that 39,000 other investors depend on each morning. Knowledge is power. Invest in yourself. http://offthechain.substack.com"
17,201913,APompliano,2019-10-25 16:36:48+00:00,183,1077,,One of the main topics at every Presidential debate should be Bitcoin and crypto. It is that important. Whichever country wins this race will hold a significant advantage for decades to come.
18,201913,APompliano,2019-10-25 16:31:20+00:00,295,1816,,"Bitcoin up ~ $1,000 today. Don’t see people complaining about the volatility. Volatility isn’t inherently bad. In fact, positive returns depend on volatility just like negative returns depend on volatility."
19,201913,APompliano,2019-10-25 12:15:32+00:00,0,8,,Taken out of context. We were talking about what I invest in outside Bitcoin if I remember correctly.
20,201913,APompliano,2019-10-25 12:08:05+00:00,14,79,,"New episode live with @robpetrozzo of Rally Road. We discuss fractional ownership of unique assets, how they select items, what’s the craziest thing he has looked at, and whether they’ll add Bitcoin &amp; crypto in the future. Listen and learn! "
21,201913,APompliano,2019-10-25 11:41:24+00:00,2839,8950,,"BREAKING: Chinese President Xi Jinping just publicly supported China going all-in on blockchain technology across their economy. This will be the space race of our generation. America has to embrace the technology, including Bitcoin, or we risk being left behind."
22,201913,lopp,2019-10-26 19:44:33+00:00,150,603,,If you can't afford to buy bitcoin because it's too expensive then you should educate yourself for free via 
23,201913,lopp,2019-10-26 02:19:34+00:00,205,775,,Bitcoin historically generates the bulk of its annual performance in 10 days. Miss those 10 days and the average return is -25%. Today was one of those days... 
24,201913,lopp,2019-10-25 16:01:00+00:00,10,44,,Great analysis of physical attacks against bitcoin holders by @Coinsurenz (at the 24:00 mark) https://vimeo.com/365979416
25,201913,VentureCoinist,2019-10-26 17:19:57+00:00,5,71,,"I should be specific in saying that as long as Bitcoin is trending up, I don't expect many alts to outperform it. Look at April-July for example. But if comparing $NEO's chance of outperforming a group of alts 2 weeks ago to now, it looks better."
26,201913,VentureCoinist,2019-10-26 17:16:30+00:00,51,497,,"If you didn't like the 'China news pumped Bitcoin' narrative, then you are going to absolutely hate this: I think it's logical to expect that $NEO (china ethereum meme coin) has a much greater chance of outperforming now."
27,201913,VentureCoinist,2019-10-26 12:23:27+00:00,0,7,,I don't know everything about @CryptoGainz1 LRAIC/bitcoin setup but I would bet it operates on a much smaller timeframe than this strategy. The @CoinistBot is setup for days-week long swings
28,201913,VentureCoinist,2019-10-25 17:52:59+00:00,0,1,,also the OP from trump was about cryptoassets in general. Xi's statements were about blockchain/cryptoassets in general as well. Bitcoin is going to be in the conversation regardless
29,201913,VentureCoinist,2019-10-25 17:48:41+00:00,0,0,,most people say blockchain instead of bitcoin at first.
30,201913,TuurDemeester,2019-10-26 01:54:52+00:00,0,7,,The Bitcoin bull has tossed me off many times.
31,201913,TuurDemeester,2019-10-26 01:02:29+00:00,153,836,,"All else equal, Bitcoin only needs another nine days like today (+22%) to trade at $50k. "
32,201913,TuurDemeester,2019-10-25 01:20:22+00:00,0,3,,Probably above Bitcoin
33,201913,TuurDemeester,2019-10-25 00:47:36+00:00,0,11,,Bitcoin based life insurance 
34,201913,adam3us,2019-10-26 18:28:35+00:00,4,183,#Bitcoin #Bitcoin,@saifedean goes all in on #Bitcoin! Nice move. It's gonna be a fun ride next few years.
35,201913,adam3us,2019-10-26 18:23:21+00:00,0,13,#bitcoin #bitcoin,"yah but the market decided, they have a sandbox to experiment with O(n^2) network scaling in. what more is to say. lightning is growing faster and the network effects of #bitcoin are insurmountable so it's over before it begun IMO, but it's a free world. @thecryptoconomy has it."
36,201913,adam3us,2019-10-26 12:39:46+00:00,0,1,,depends if they become activist investors or express themselves if service providers try co-opt or change Bitcoin in ways they disagree with. otherwise isn't that a tree falls in the forest argument? if they do not market signal Bitcoin's economy can't distinguish from lost keys.
