,period,username,date,retweets,favorites,hashtags,text
1,202012,justinsuntron,2020-04-24 00:21:29+00:00,50,194,,TRON is cuter than Ethereum! The Cutineers say so! 
2,202012,VitalikButerin,2020-05-03 18:26:23+00:00,0,0,,"Arguably they are starting to! Though even they still have a natural incentive to bolster their own ecosystems, not build independent pluggable tools. Oversupply of ecosystems and undersupply of tools is a big problem arguably even in the ethereum space."
3,202012,VitalikButerin,2020-04-30 15:21:34+00:00,0,3,,That's up to the ethereum community and not me. But I think the failure of EIP 999 has demonstrated that the ethereum community does find value in immutability.
4,202012,VitalikButerin,2020-04-23 19:54:55+00:00,75,278,,"Bitfly @etherchain_org, mother company of http://beaconcha.in, http://etherchain.org and much more has been doing a great job visualizing and making the ethereum network understandable. "
5,202012,VitalikButerin,2020-04-22 12:06:39+00:00,33,164,,Unitimes continues to do excellent Chinese translations of all sorts of ethereum-related content: https://www.unitimes.pro
6,202012,aantonop,2020-04-23 17:54:11+00:00,21,72,#WorldBookDay #TheInternetofMoney #bitcoin #bitcoin,"It’s #WorldBookDay! Check out Mastering Bitcoin, Mastering Ethereum, and #TheInternetofMoney series if you’re curious about #bitcoin and open blockchain technology: https://aantonop.io/amazonauthor"
7,202012,ErikVoorhees,2020-04-30 20:29:57+00:00,29,134,#bitcoin #bitcoin #ethereum,Andreessen Horowitz doubles down on crypto with new $515 million fund https://fortune.com/2020/04/30/andreessen-horowitz-doubles-down-on-crypto-with-new-500-million-fund/ #bitcoin #ethereum
8,202012,ErikVoorhees,2020-04-23 15:29:29+00:00,1,21,#bitcoin #bitcoin #ethereum,Better UX for all cryptocurrencies: Learn more about the FIO Protocol https://kb.fioprotocol.io/ @joinfio #bitcoin #ethereum
9,202012,arrington,2020-05-04 22:33:52+00:00,6,34,,"Congratulations to @NEARProtocol : NEAR Protocol raises $21.6M from A16Z and launches its MainNet, beating Ethereum 2.0 https://tcrn.ch/3fktjsP via @techcrunch @arringtonXRPcap"
10,202012,VentureCoinist,2020-04-29 15:38:11+00:00,0,3,,blue horseshoe told me it runs on the ethereum blockchain
11,202012,TuurDemeester,2020-05-03 19:09:58+00:00,0,3,,In the past I've compared Ethereum with straw versus Bitcoin's reinforced concrete - I guess comparing it to Lego works also. https://link.medium.com/tQIBanl5b6
12,202012,adam3us,2020-05-03 19:41:30+00:00,0,2,,It's on ethereum? Wut? BAT is an erc20? Lols and he was talking about scalability.
13,202012,CharlieShrem,2020-04-28 17:08:01+00:00,0,14,,".@IOHK_Charles dishes on the Bitcoin Cash vs Bitcoin schism and Ethereum vs Ethereum Classic chaos: ""You can't get people to build on your system if you have a catastrophic fight every 2 or 3 years."" https://apple.co/2VKxJli https://spoti.fi/3bLEVD5 @bitpay"
14,202012,AriDavidPaul,2020-05-02 10:50:29+00:00,0,3,,Ethereum classic testnet? Sink for excess global electricity?
15,202012,ethereumJoseph,2020-05-06 19:30:35+00:00,14,76,,Huge congrats to Eris Clearing on getting their BitLicense over the goal line––an important step forward for Ethereum. 
16,202012,ethereumJoseph,2020-05-01 22:08:10+00:00,50,188,,Thanks to @pbrody &amp; @jwolpert for a great conversation at the EY Global Blockchain Summit earlier this week. We discussed the Baseline protocol collaboration and what that vision means for enterprises using the Ethereum Mainnet. Watch the video here: https://bit.ly/3b1yqes
17,202012,ethereumJoseph,2020-04-28 15:15:00+00:00,6,42,#HyperledgerBesu #Ethereum,I'm joining @brianbehlendorf for a webinar on what's next for #HyperledgerBesu &amp; #Ethereum tonight at 8 PT/11 ET. Register here: https://bit.ly/2Sd0SDz
18,202012,ethereumJoseph,2020-04-27 22:05:56+00:00,190,554,#ETH2,"Ethereum 2.0 will bring improvements in scalability &amp; security, greater accessibility, and new opportunities for enterprises, devs, and general users to do more on Ethereum. The #ETH2 FAQ is a helpful starting point:"
19,202012,ethereumJoseph,2020-04-27 18:09:04+00:00,39,101,#Ethereum #DeFi #tachyonalum,Our @TachyonAccel alums @Transak_Finance keep shipping great new #Ethereum #DeFi features––their API now supports direct purchasing of most ERC-20 coins with fiat. Learn more about features &amp; dapp integration here: https://bit.ly/2KAA4Zy #tachyonalum
20,202012,ethereumJoseph,2020-04-21 19:02:11+00:00,35,124,,"We at ConsenSys are also extremely excited about the progress towards the launch of Ethereum 2.0. Proof of Stake is coming to Ethereum very soon. Get involved, get educated. This is an early opportunity to have a stake in the decentralized future. https://ethos.dev/beacon-chain/ 7/"
